Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0031,-0.0038,0.0062,0.0045,-0.328,0.001
1,0.001,-0.0005,-0.0032,-0.0002,0.0034,-0.3822,0.0119
2,0.002,0.0003,-0.0074,-0.0026,0.0064,-0.8502,-0.0108
3,0.003,0.001,-0.0138,0.0043,0.0127,-1.1605,-0.0019
4,0.004,-0.002,-0.0129,-0.0002,0.0202,-0.9771,-0.0044
5,0.005,-0.0035,-0.006,0.0007,0.0148,-0.915,0.003
6,0.006,-0.0059,0.0024,0.0001,0.0009,-0.7624,-0.0033
7,0.007,-0.0027,0.0194,-0.0019,-0.013,-0.3632,-0.0215
8,0.008,-0.0023,0.012,-0.0035,-0.0255,0.2203,-0.0139
9,0.009,-0.004,-0.0036,-0.0006,-0.02,0.2991,0.0019
10,0.01,-0.0036,0.0148,-0,-0.015,0.6491,-0.0039
11,0.011,-0.0018,0.017,0.0003,-0.0078,1.0921,0.0021
12,0.012,-0.0024,0.0104,0.0007,0.0012,1.0292,-0.0026
13,0.013,0.0006,0.0083,-0.0049,0.0023,0.8659,0.0021
14,0.014,-0.0028,0.0064,-0.004,0.0034,0.813,0.0009
15,0.015,-0.0049,0.008,-0.0018,-0.001,0.504,-0.0028
16,0.016,-0.0067,0.0033,-0.0024,0,-0.0125,-0.0037
17,0.017,-0.0075,-0.0008,-0.0006,0.0054,-0.3625,-0.0109
18,0.018,-0.0022,-0.002,0.0023,0.0061,-0.551,-0.0005
19,0.019,-0.0014,-0.0052,-0.0002,0.0057,-0.9516,-0.0019
20,0.02,0.0022,-0.0022,0.0029,0.0006,-1.1027,0.0043
21,0.021,-0.0019,0.0005,0,-0.0028,-0.9515,0.0053
22,0.022,-0.0013,-0.0004,-0.0035,-0.0068,-0.9007,-0.0042
23,0.023,0.0035,0.0033,0.0035,-0.0153,-0.6172,-0.0054
24,0.024,-0.0021,0.004,0.0005,-0.0161,-0.1448,-0.0065
25,0.025,-0.0014,-0.0018,-0.0003,-0.0148,0.3034,-0.0035
26,0.026,0.0007,0.0081,-0.0011,-0.0051,0.4765,-0.008
27,0.027,0.0013,0.004,-0.0018,-0.0086,0.9476,-0.0004
28,0.028,-0.0015,0.0028,-0.0024,-0.0028,1.1335,-0.0015
29,0.029,-0.0029,-0.0004,-0.0007,-0.0098,0.9535,-0.0081
30,0.03,-0.0006,-0.0035,-0.0023,-0.0087,0.8944,0.0029
31,0.031,0.0033,-0.0061,-0.0058,-0.0027,0.7447,-0.0079
32,0.032,0.0008,-0.0053,-0.0016,0.0011,0.3478,-0.0011
33,0.033,0.0012,0,-0.002,-0.0008,-0.1291,-0.0001
34,0.034,0.0016,0.0049,0.0015,0.001,-0.321,-0.0128
35,0.035,0.0013,0.0065,-0.0015,-0.0029,-0.725,-0.0146
36,0.036,0.0037,0.0001,-0.0011,0.0008,-1.0898,-0.001
37,0.037,0.004,0.0078,0.0025,0.0006,-1.0366,-0.003
38,0.038,0.0016,0.0068,0.0013,0.0062,-0.9003,0.0018
39,0.039,0.0026,-0.0054,0.0025,0.0026,-0.8553,0
40,0.04,-0.0024,-0.0137,-0.0001,0.009,-0.5269,-0.0154
41,0.041,-0.0003,-0.0275,0.001,0.0116,0.0419,-0.0054
42,0.042,-0.002,-0.0181,-0.0007,0.0137,0.4274,0.0073
43,0.043,-0.0014,-0.023,0.0035,0.0143,0.4952,0.0053
44,0.044,0.0022,-0.0091,-0.0007,0.0049,1.0649,0.0005
45,0.045,-0,0.0077,-0.0002,-0.013,1.1357,-0.0038
46,0.046,0.0012,0.0232,0.0013,-0.0056,0.9184,-0.0029
47,0.047,-0.0023,0.0211,-0.0009,0.0011,0.7206,-0.0087
48,0.048,-0.0019,0.0155,-0.0029,-0.0009,0.6569,-0.0184
49,0.049,-0.0016,0.0113,-0.0026,0.0044,0.1973,0.0001
50,0.05,0.0013,0.0028,0.0031,0.0063,-0.2796,-0.0139
51,0.051,-0.0012,-0.0017,-0.0011,0.0012,-0.3444,0.0062
52,0.052,-0.0022,-0.0086,-0.0004,-0.0063,-0.865,-0.0077
53,0.053,-0.0012,-0.0198,0.0016,-0.013,-1.0723,-0.0007
54,0.054,0.0018,-0.0181,-0.0027,-0.0041,-1.0043,-0.012
55,0.055,0.0038,-0.0055,0.0025,-0.0051,-0.9415,-0.0142
56,0.056,0.0019,-0.0038,-0.0053,-0.006,-0.7785,-0.0162
57,0.057,-0.0004,-0.0113,-0,-0.0087,-0.343,-0.0349
58,0.058,0.0013,-0.0071,0.0008,-0.0078,0.1813,-0.072
59,0.059,0.0006,-0.0058,-0.0052,-0.013,0.3924,-0.1515
60,0.06,0.0004,-0.0048,-0.003,-0.0109,0.7102,-0.0937
61,0.061,-0.0023,0.0047,0.0047,-0.0091,1.1128,0.0623
62,0.062,-0.0062,0.0084,-0.0026,-0.0074,1.0557,0.0841
63,0.063,-0.0108,0.0116,-0.0017,0.0003,0.9068,0.1038
64,0.064,-0.0112,0.0168,-0.0026,0.0127,0.771,0.0849
65,0.065,-0.0083,0.0232,0.0011,0.0042,0.5682,0.0342
66,0.066,-0.0035,0.0153,0.0004,0.0057,0.0246,0.0491
67,0.067,-0.0005,0.0101,0.0045,-0.0013,-0.3633,0.0626
68,0.068,-0.001,-0.0003,0.004,0.0125,-0.5737,0.0498
69,0.069,-0.0005,0.0011,-0.0008,0.0142,-1.0185,0.0381
70,0.07,0.0016,-0.0026,-0.0013,0.0191,-1.0732,0.0276
71,0.071,0.0013,-0.0016,-0.0008,0.0113,-1.0162,0.0181
72,0.072,0.0002,-0.0005,0.0027,0.0017,-1.0589,0.0094
73,0.073,0.0041,0.0003,0.0004,0.0053,-0.7488,0.0017
74,0.074,-0.0017,0.008,-0.0016,-0.0051,-0.1508,-0.0054
75,0.075,0.0035,0.0007,-0.0013,-0.0146,0.2759,0.0139
76,0.076,-0.0001,-0.0002,0.0018,-0.0058,0.5079,0.0196
77,0.077,0.0004,-0.0028,0.0006,-0.0048,0.8572,0.0144
78,0.078,0.0032,0.0009,0.0024,0.0108,1.1731,0.0192
79,0.079,0.0017,-0.004,-0.0008,0.0218,0.9949,0.0061
80,0.08,0.002,-0.007,-0.0005,0.0074,0.9374,0.0023
81,0.081,0.0016,-0.0111,-0.0031,-0.0019,0.7885,-0.0011
82,0.082,-0.001,-0.0054,-0.0021,-0.0137,0.392,-0.0107
83,0.083,0.0007,0.006,-0.0011,-0.0212,-0.0856,-0.0017
84,0.084,-0.0017,0.0077,-0.0004,-0.0197,-0.2788,-0.0042
85,0.085,-0.0011,0.0061,-0.0011,-0.0109,-0.6843,-0.0064
86,0.086,-0.0018,0.002,0.0005,-0.0098,-1.1567,-0.0039
87,0.087,0.0019,0.0007,-0.0009,-0.0067,-1.0892,-0.0179
88,0.088,0.0004,-0.0071,0.0018,-0.0059,-0.9109,-0.012
89,0.089,0.0015,-0.0061,-0.0014,-0.0101,-0.8537,-0.0235
90,0.09,0.0018,0.0059,0.0014,-0.0049,-0.5138,-0.0093
91,0.091,0.0036,0.0008,0.001,-0.0028,0.056,-0.0108
92,0.092,-0.001,-0.0222,0.0027,0.0002,0.2895,-0.0021
93,0.093,-0.0005,-0.0319,-0.0024,0.0065,0.5003,-0.0033
94,0.094,0.0035,-0.017,-0.0004,0.0006,1.073,-0.0017
95,0.095,0.0019,-0.0089,-0.0034,0.0028,1.147,-0.0002
96,0.096,0.0007,-0.0017,0.0006,0.0075,0.9326,-0.0076
97,0.097,0.0035,0.0049,0.0031,0.0044,0.868,-0.0001
98,0.098,0.0025,0.0069,0.0019,0.0049,0.6925,0.0029
99,0.099,0.0034,-0.0024,0.0031,0.0001,0.2152,-0.001
100,0.1,-0.001,-0.0007,-0.002,-0.0042,-0.2346,-0.0092
101,0.101,-0.0015,0.0008,0,-0.0059,-0.4108,-0.0079
102,0.102,0.001,-0.0006,0.0069,0.0019,-0.8877,-0.0086
103,0.103,-0.0002,-0.0018,0.0061,0.0142,-1.0807,-0.0167
104,0.104,0.0001,-0.0051,0.0002,0.0158,-1.0229,-0.0039
105,0.105,-0.0009,-0.0041,0.0008,0.0111,-0.9693,-0.0121
106,0.106,-0.0033,0.0004,0.0015,0.0123,-0.8239,-0.0103
107,0.107,0.0011,0.0099,0.0032,0.0134,-0.4288,-0.0059
108,0.108,0.0006,0.0187,-0.002,0.0122,0.1549,0.0006
109,0.109,-0.001,0.0154,0,0.0069,0.3896,-0.0024
110,0.11,0.0002,0.0081,-0.0005,0.0113,0.743,0.0009
111,0.111,-0.001,-0.0059,0.0001,0.0087,1.0644,-0.0034
112,0.112,0.0016,-0.0161,0.0006,0.0093,1.0075,-0.0039
113,0.113,-0.0036,-0.0216,0.0018,-0.0013,0.9546,-0.0087
114,0.114,0.0001,-0.0064,-0.0029,-0.0211,0.8097,-0.0006
115,0.115,-0.0006,0.0078,-0.0033,-0.0129,0.5899,-0.0034
116,0.116,0.0011,0.006,0.0008,-0.0151,-0.0074,0.0014
117,0.117,-0.0017,0.0009,-0.0007,-0.0084,-0.2648,-0.0096
118,0.118,-0.0012,-0.0067,-0.0019,-0.0023,-0.4987,-0.0017
119,0.119,-0.0008,0.0002,-0.0006,-0.0004,-0.9921,0.0054
120,0.12,0.0004,0.009,-0.0031,-0.0021,-1.0571,-0.0109
121,0.121,0.0007,0.0145,0.0022,0.0025,-0.9988,0.0004
122,0.122,-0.0003,0.0176,0,0.0038,-0.945,-0.0016
123,0.123,0.0021,0.026,-0.002,0.0027,-0.7032,0.0041
124,0.124,0.0051,0.0183,0.0023,-0.0028,-0.2203,0.0025
125,0.125,0.0013,0.0152,0.0018,-0.0058,0.2303,0.0101
126,0.126,-0.0012,0.0049,-0.0039,-0.0049,0.4074,0.0033
127,0.127,0.001,-0.002,-0.0016,-0.0006,0.8848,-0.0004
128,0.128,-0.0019,-0.0008,0.002,0.0047,1.0784,0.0052
129,0.129,0.0032,0.0024,0.0037,0.0068,1.0211,-0.0084
130,0.13,0.0012,0.0014,0.002,0.0051,0.8623,0.0046
131,0.131,0.0007,-0.0013,0.0035,0.0023,0.8134,0.0063
132,0.132,0.0035,-0.0005,0.0005,-0.0012,0.4187,-0.0014
133,0.133,0.001,-0.0012,0.0034,-0.008,-0.1644,0.0056
134,0.134,-0.004,0.0024,0.0037,-0.0089,-0.2439,-0.0029
135,0.135,0.0009,0.0066,-0.0009,-0.0061,-0.7375,0.0053
136,0.136,-0.0008,0.0095,-0.0014,0.0068,-1.0585,0.0002
137,0.137,0.0009,0.0028,-0.0019,0.0124,-1.0015,-0.0063
138,0.138,-0.0006,0.0001,0.0007,0.0006,-0.9484,0.0064
139,0.139,-0.0009,-0.0127,0.0019,-0.0099,-0.8992,-0.003
140,0.14,-0.0048,-0.0071,-0.0029,-0.0111,-0.5919,-0.0081
141,0.141,-0.0033,-0.0087,-0.0012,-0.0098,0.0058,0.0024
142,0.142,-0.0011,-0.0103,0.0017,-0.0065,0.2637,0.0147
143,0.143,0.0001,-0.0034,0.0032,-0.0011,0.4977,-0.0006
144,0.144,-0.0017,0.0029,0.0043,0.0053,0.9913,-0.0028
145,0.145,0.0006,0.0018,0.0004,0.0062,1.0566,0.01
146,0.146,0.0016,-0.0055,-0.0031,0.0069,0.8824,-0.002
147,0.147,0.0018,-0.014,-0.0028,0.0035,0.9343,0.0024
148,0.148,0.0006,-0.0084,0.0001,0.0104,0.6928,0.0091
149,0.149,0.0023,-0.0157,-0.0018,0.0113,0.2105,0.0026
150,0.15,-0.0023,-0.0182,-0.002,0.0084,-0.2353,-0.0047
151,0.151,0.0009,-0.0209,-0.001,0.0076,-0.4294,-0.0017
152,0.152,-0.0003,-0.008,-0,0.0007,-0.8377,0.0053
153,0.153,0.0025,0.0051,0.0013,0.0034,-1.1033,-0.0053
154,0.154,0.0007,0.0069,-0.0026,0.0094,-0.9598,-0.0124
155,0.155,-0.0017,0.0023,-0.0067,0.013,-0.9156,-0.0115
156,0.156,-0.0014,0.0037,-0.0092,0.015,-0.7958,-0.004
157,0.157,-0.0012,0.0049,-0.0062,0.0108,-0.3973,0.003
158,0.158,-0.0006,0.006,-0.0066,0.002,0.186,0
159,0.159,-0.0043,-0.0012,-0.0069,-0.0068,0.4205,0.0006
160,0.16,-0.0078,-0.0058,-0.0059,-0.0123,0.6329,0.0073
161,0.161,-0.009,-0.0033,-0.0076,-0.0238,1.082,-0.0052
162,0.162,-0.0051,0.002,-0.0075,-0.0221,1.0248,-0.0037
163,0.163,-0.0025,0.0013,-0.0036,-0.0125,0.9716,0.0098
