Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0028,0.0013,-0.0008,-0.0073,0.3081,0.0037
1,0.001,0.0025,0.0029,0.0012,-0.0008,0.4898,0.0091
2,0.002,0.0008,0.0008,-0.003,-0.0015,0.765,-0.0002
3,0.003,0.0018,0.0029,-0.0025,-0.0022,1.114,0.0089
4,0.004,0.0005,0.0026,0.001,0.0008,1.0458,0.0079
5,0.005,-0.0033,0.0031,0.0022,0.0053,0.8964,0.0107
6,0.006,-0.0004,0.0056,0.0002,0.0049,0.8393,0.0078
7,0.007,-0.0029,0.0015,-0.0017,-0.0053,0.5022,0.0017
8,0.008,-0.0025,-0.0078,-0.0013,-0.0278,-0.0697,-0.0006
9,0.009,-0.0028,-0.0256,0.001,-0.0634,-0.3022,0.0098
10,0.01,-0.0063,-0.013,-0.0008,-0.0385,-0.5097,0.005
11,0.011,-0.0032,-0.0062,0.0031,-0.0072,-0.9476,-0.0048
12,0.012,-0.006,0.0041,0.0095,0.0131,-0.9949,-0.0038
13,0.013,-0.0034,0.0025,0.0103,0.0242,-0.8273,0.0085
14,0.014,-0.0023,0.0078,0.0109,0.0278,-0.7705,0.0031
15,0.015,-0.0039,0.0095,0.0102,0.0252,-0.5463,0.0044
16,0.016,-0.0064,0.0056,0.0107,0.0337,-0.0305,-0.0082
17,0.017,-0.0031,0.012,0.0123,0.0316,0.3162,0.0067
18,0.018,-0.0042,0.0067,0.0065,0.0254,0.5004,0.0044
19,0.019,-0.0023,0.0058,0.0058,0.0278,0.894,0.0023
20,0.02,-0.0033,0.0106,0.0051,0.0263,1.0374,0.0104
21,0.021,-0.0029,0.0133,0.0046,0.0182,0.8797,-0.0005
22,0.022,0.0009,0.0082,-0.0006,0.0202,0.8227,0.0087
23,0.023,0.0014,0.0049,0.0043,0.0246,0.6923,-0.0029
24,0.024,0.0045,0.0093,0.0013,0.0162,0.2886,0.0044
25,0.025,0.0007,0.0055,0.0008,0.0156,-0.1881,0.0027
26,0.026,0.0002,-0,-0.0017,0.0151,-0.3785,0.0111
27,0.027,0.0025,0.0054,-0.0028,0.0146,-0.6633,-0.0017
28,0.028,0.0081,-0.0008,-0.0008,0.0092,-1.023,-0.0003
29,0.029,0.0074,0.0003,-0.0011,0.0103,-0.9651,-0.0051
30,0.03,0.0054,-0.0017,-0.0014,0.0058,-0.8249,0.0042
31,0.031,0.0013,-0.0008,-0.0037,-0.002,-0.7763,0.0002
32,0.032,0.0065,-0.0022,-0.003,-0.0006,-0.446,0.0054
33,0.033,0.0059,-0.0072,-0.0023,-0.0096,0.035,0.006
34,0.034,0.0065,-0.0063,-0.0054,-0.0079,0.3519,0.0011
35,0.035,0.0094,-0.0091,-0.0025,-0.0107,0.5209,0.0085
36,0.036,0.0037,-0.0048,-0.0082,-0.0197,0.9861,0.0051
37,0.037,0.0045,-0.0051,-0.0004,-0.0155,1.0388,-0.0036
38,0.038,0.0052,-0.0037,-0.0076,-0.0161,0.8547,-0.0028
39,0.039,-0.0005,-0.0099,-0.0049,-0.0187,0.7923,-0.0001
40,0.04,0.0003,-0.0069,-0.0057,-0.021,0.5451,-0.0031
41,0.041,0.0026,-0.0066,-0.0051,-0.0195,0.1036,-0.0021
42,0.042,-0.0038,-0.0106,-0.0044,-0.0183,-0.2884,-0.0101
43,0.043,-0.0011,-0.0034,-0.0051,-0.0158,-0.4434,0.0012
44,0.044,0.0011,-0.0024,-0.0067,-0.0175,-0.8678,0.0024
45,0.045,-0.0052,-0.0031,-0.0062,-0.0168,-1.1474,-0.0129
46,0.046,-0.0026,-0.0036,-0.0036,-0.0206,-0.8742,-0.007
47,0.047,-0.0047,-0.0041,-0.0015,-0.0189,-0.8168,-0.0127
48,0.048,-0.0039,-0.0023,-0.0003,-0.0217,-0.6778,0.0057
49,0.049,-0.0008,-0.0062,0.0055,-0.0227,-0.3155,-0.0315
50,0.05,-0.0059,-0.0025,0.0012,-0.0268,0.2133,-0.1107
51,0.051,-0.0038,-0.0074,-0.001,-0.0226,0.2832,-0.2809
52,0.052,0.0005,-0.0037,-0.0003,-0.0251,0.7259,-0.0099
53,0.053,-0.0023,0.0006,0.0002,-0.0238,1.124,0.0972
54,0.054,-0.0008,-0.0021,-0.0027,-0.0191,0.958,0.0636
55,0.055,0.0005,-0.0036,-0.0022,-0.0221,0.8064,0.0925
56,0.056,-0.0015,-0.0023,-0.001,-0.0216,0.7552,0.0647
57,0.057,-0.0011,-0.001,-0.0007,-0.0181,0.472,0.0397
58,0.058,-0.0027,-0.0067,-0.0026,-0.017,-0.0707,0.0614
59,0.059,-0.0017,-0.016,0.0019,-0.0116,-0.3027,0.0407
60,0.06,-0.0014,-0.0297,-0.0038,-0.0096,-0.5111,0.0586
61,0.061,-0.0012,-0.0203,0.0014,-0.0077,-0.9525,0.008
62,0.062,0.0005,-0.0151,0.0006,-0.0084,-1.0034,0.023
63,0.063,0.0029,-0.0074,-0.0024,-0.0034,-0.8383,0.009
64,0.064,-0.0015,-0.006,0.0016,-0.0016,-0.9738,-0.0035
65,0.065,0.0014,-0.0022,0.0051,-0.0035,-0.7483,0.0079
66,0.066,0.0019,0.0056,0.0047,0.0002,-0.2285,-0.0024
67,0.067,0.0023,0.0046,0.0049,0.0035,0.2638,0.007
68,0.068,-0.0006,0.0054,0.0039,0.0035,0.454,0.0155
69,0.069,0.0005,0.0079,0.0006,0.006,0.8554,0.0077
70,0.07,-0.0012,0.0072,-0.0015,0.0053,1.1122,0.0147
71,0.071,-0.0036,0.0052,-0.0019,0.0045,0.8656,0.0083
72,0.072,-0.0061,0.0094,0.0004,0.0038,0.9017,0.0026
73,0.073,-0.0008,0.011,0.0013,0.0075,0.7758,0.0078
74,0.074,-0.0015,0.0084,0.0014,0.0076,0.3744,0.0031
75,0.075,0.0021,0.0095,-0.0025,0.0088,-0.2075,-0.0012
76,0.076,0.0015,0.0074,0.005,0.0119,-0.2851,0.0028
77,0.077,-0.0014,0.0099,-0.0003,0.0084,-0.6338,-0.0007
78,0.078,-0.0029,0.0075,0.0004,0.0143,-1.0751,-0.0103
79,0.079,0.0001,0.0071,0.0029,0.0111,-1.0106,-0.0014
80,0.08,-0.0063,0.0051,0.0022,0.0131,-0.8459,-0.0039
81,0.081,-0.009,0.0052,0.0001,0.0133,-0.7914,-0.0014
82,0.082,-0.0149,0.0054,0.0005,0.0121,-0.4809,0.0009
83,0.083,-0.0127,0.0021,0.001,0.01,0.037,-0.0131
84,0.084,-0.0106,0.0042,0.0004,0.01,0.3881,-0.0036
85,0.085,-0.0037,-0.0005,0.0046,0.008,0.5777,-0.0051
86,0.086,-0.0011,0.0025,-0.0019,0.0064,0.979,-0.0004
87,0.087,0.0014,-0.0004,0.0023,0.008,1.026,-0.0042
88,0.088,0.002,0,0,0.0095,0.8759,-0.0052
89,0.089,0.0026,-0.0012,0.002,0.0116,0.8259,-0.006
