Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0001,0.0006,0.0044,-0.0024,-0.5102,0.0108
1,0.001,-0.0017,-0.0014,0.0014,0.0013,-0.3881,0.0051
2,0.002,-0.0057,0.0029,0.0041,-0.0022,-0.3571,0.0001
3,0.003,-0.0135,-0.0023,0.0017,-0.0017,-0.1868,-0.0044
4,0.004,-0.0259,0.0041,0.0024,0.0059,0.2271,0.0011
5,0.005,-0.014,-0.0001,-0.0011,-0.0014,0.6182,-0.0112
6,0.006,-0.0094,-0.0007,-0.0027,-0.0022,0.7595,0.0014
7,0.007,-0.0025,0,-0.0031,-0.0047,1.1714,-0.0086
8,0.008,-0.0037,-0.003,-0.0025,-0.0024,1.4392,-0.011
9,0.009,-0.0005,0.0011,-0.0012,-0.0031,1.2589,-0.0073
10,0.01,0.0046,-0.0004,0.0027,0.0012,1.1887,-0.0145
11,0.011,0.0037,-0.0064,-0.0019,-0.0064,1.0366,-0.0064
12,0.012,0.0028,-0.0038,0.0024,-0.0053,0.6609,-0.0078
13,0.013,0.0049,-0.0031,-0.0004,-0.0026,0.1175,-0.013
14,0.014,0.0055,0.0004,0.0011,-0,-0.1062,-0.0103
15,0.015,0.0059,-0.0012,-0.001,0.0007,-0.3087,-0.0246
16,0.016,0.0075,-0.0053,0.0038,0.0014,-0.7228,-0.0177
17,0.017,0.0069,-0.013,-0.0044,0.0019,-0.782,-0.015
18,0.018,0.0056,-0.0139,-0.0012,0.0106,-0.6441,-0.0192
19,0.019,0.0084,-0.0086,-0.0001,0.0044,-0.6065,-0.0229
20,0.02,0.0086,-0.0059,0.0008,0.0034,-0.3362,-0.018
21,0.021,0.0033,-0.0033,-0.0069,0.0044,0.1947,-0.0034
22,0.022,0.0026,-0.007,-0.0038,0.0035,0.4152,-0.0082
23,0.023,-0.001,-0.0021,0.0008,0.006,0.6129,-0.0125
24,0.024,0.0047,-0.0016,-0.0001,-0.0024,1.0445,-0.0133
25,0.025,0.004,-0.0022,-0.0038,-0.0013,1.2017,-0.0139
26,0.026,0.0019,0.0035,0.0026,0.0039,0.9218,-0.0095
27,0.027,0.0024,0.0013,0.0018,-0.0006,0.9538,-0.0191
28,0.028,-0.0005,0.0032,0.0025,0.002,0.7211,-0.0115
29,0.029,0.002,0.0037,0.0032,0.0027,0.2731,-0.012
30,0.03,-0.0011,0.0008,0.0037,-0.0022,-0.1422,-0.0124
31,0.031,0.001,0.0012,0.0042,-0.0005,-0.3074,-0.0088
32,0.032,-0.0009,0.0034,-0.0006,-0.0021,-0.743,-0.0109
33,0.033,0.0014,0.003,-0.001,-0.0056,-1.0342,-0.0061
34,0.034,0.0031,0.0039,-0.005,0.0013,-0.8766,-0.0004
35,0.035,0.0018,-0,-0.0003,-0.0017,-0.8283,-0.0077
36,0.036,-0.0016,0.0015,-0.0008,0.0048,-0.6975,-0.0061
37,0.037,0.0006,-0.0016,-0.0025,-0.003,-0.342,-0.0011
38,0.038,0.0053,0.0031,-0.004,0.0001,0.1822,0.0001
39,0.039,0.0036,-0.0027,-0.0037,0.001,0.3875,0.0027
40,0.04,0.0007,0.001,-0.0034,-0.0015,0.6997,-0.0019
41,0.041,0.0054,-0.0026,-0.0015,-0.0022,0.9811,0.0001
42,0.042,0.0024,0.0004,-0.0005,0.0014,0.9195,-0.0048
43,0.043,0.0007,-0.0037,-0.0015,-0.008,0.8624,-0.0051
44,0.044,0.0023,-0.0012,-0.0008,-0.0038,0.8102,-0.0053
45,0.045,-0.0008,-0.0024,-0.0015,-0.0001,0.5256,0.0025
46,0.046,-0.0004,-0.0012,-0.0026,0.0055,-0.0194,-0.0067
47,0.047,0.0006,0.0006,-0.0031,0.0004,-0.2534,-0.0077
48,0.048,-0.0039,0.0016,-0.0052,-0.0023,-0.4642,0.0003
49,0.049,-0.0008,0.0026,-0.0033,-0.0031,-0.9087,0.0057
50,0.05,-0.0048,0.0012,0.0006,-0.0023,-1.0784,-0.0006
