Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0053,0.0041,-0.0027,-0.0025,-0.3394,-0.0083
1,0.001,0.002,0.0012,-0.0006,0.0034,-0.4086,-0.0133
2,0.002,0.0047,-0.0069,0.0037,0.0026,-0.7485,0.0065
3,0.003,0.0019,-0.0045,-0.0002,-0.0009,-1.1807,-0.0344
4,0.004,0.0092,0.0066,0.0005,0.0073,-1.1075,-0.1216
5,0.005,0.0077,0.0045,0.0019,0.004,-0.9346,-0.1832
6,0.006,0.0047,-0.0048,0.0076,0.007,-0.9678,-0.0106
7,0.007,0.0021,0.0003,0.0055,0.0096,-0.6496,0.0626
8,0.008,0.007,-0.0042,0.0092,0.0054,-0.1252,0.0842
9,0.009,0.0005,-0.0001,0.0089,0.0075,0.2316,0.0634
10,0.01,0.0045,-0.0012,0.0096,0.0081,0.4263,0.0446
11,0.011,0.0037,-0.0002,0.0083,-0.0002,0.8323,0.0609
12,0.012,0.0042,-0.0011,0.0016,-0.0012,0.8835,0.0453
13,0.013,0.0023,0.0016,-0.0033,-0.0022,0.738,0.0312
14,0.014,0.0017,0.0041,0.0015,0.0006,0.6929,0.0434
15,0.015,0.0021,-0.0058,0.0096,0.0014,0.5732,0.0317
16,0.016,0.0009,-0.0044,0.0108,0.0051,0.1065,0.0213
17,0.017,0.002,-0.0081,0.0138,0.0044,-0.3356,0.0117
18,0.018,0.0009,-0.0049,0.0182,0.006,-0.3873,0.0031
19,0.019,0.0012,-0.0059,0.0206,0.0031,-0.8526,0.0109
20,0.02,0.0035,-0.0067,0.0103,-0.0016,-1.0329,0.0038
21,0.021,0.0009,-0.0075,-0.0032,0.0041,-0.9633,-0.0025
22,0.022,0.0012,-0.0067,-0.0046,0.0047,-0.899,0.0033
23,0.023,0.0035,-0.0003,-0.0059,0.004,-0.8399,-0.0018
24,0.024,0.002,0.004,-0.013,-0.0002,-0.3519,0.003
25,0.025,-0.0003,-0.0011,-0.0111,0.0003,0.1,-0.0013
26,0.026,-0.0013,0.001,-0.0094,-0.0054,0.2769,0.0027
27,0.027,0.0005,0.0027,-0.0057,-0.0122,0.6457,0.0063
28,0.028,0.0012,0.0032,-0.0043,-0.0129,0.9784,-0.0034
29,0.029,-0.0025,0.0028,-0.0029,-0.0051,0.9308,-0.0061
30,0.03,-0.0009,0.0006,-0.0016,-0.002,0.8079,-0.0032
31,0.031,0.0003,0.0018,-0.0034,-0.0012,0.7678,-0.0103
32,0.032,-0.0009,-0.0006,-0.0009,0.0066,0.5352,-0.0035
33,0.033,0.0016,0.0005,-0.0034,0.0075,0.0876,-0.0053
34,0.034,0.0033,0.0056,-0.0024,0.0011,-0.2302,-0.0107
35,0.035,-0.0004,0.0091,-0.0066,-0.0066,-0.5164,-0.0054
36,0.036,0.0018,0.0023,-0.0044,-0.0056,-0.8791,-0.0067
37,0.037,0.0006,-0.004,-0.0023,-0.0047,-1.0153,-0.0025
38,0.038,-0.0036,-0.0081,-0.0013,-0.0021,-0.8766,-0.0085
39,0.039,-0.003,-0.0011,-0.0077,0.0001,-0.8292,-0.0114
40,0.04,-0.0034,-0.0019,0.0022,-0.0006,-0.6425,-0.0142
41,0.041,-0.0036,0.0109,-0.0011,0.0036,-0.2121,-0.0018
42,0.042,-0.0016,0.009,-0.0016,-0.0016,0.1957,0.0034
43,0.043,-0.0005,0.0107,-0.0063,-0.0064,0.3535,-0.007
44,0.044,-0.0008,0.0121,-0.0013,-0.0059,0.7819,-0.0055
45,0.045,-0.0018,0.0134,-0.0034,-0.0042,1.0663,-0.0041
46,0.046,-0.0047,0.002,-0.0067,-0.0067,0.9021,-0.0163
47,0.047,-0.0058,-0.0056,-0.007,-0.0078,0.8478,-0.0043
48,0.048,-0.0015,-0.0262,-0.0049,-0.0013,0.7114,0.0035
49,0.049,-0.0031,-0.0053,-0.0017,0.0051,0.3505,-0.0088
50,0.05,0.0046,0.0137,-0.0038,0.0026,-0.1786,-0.0069
51,0.051,0.0014,0.0407,-0.0065,-0.0026,-0.2493,0.0009
52,0.052,0.0024,0.0224,-0.0058,-0.0061,-0.5668,-0.0058
53,0.053,0.0016,0.0125,-0.0044,-0.0143,-0.9689,-0.0068
54,0.054,-0.0025,0.0095,-0.0064,-0.004,-0.9113,-0.0034
55,0.055,-0.0046,-0.0206,-0.0031,0.0001,-0.8574,-0.0022
56,0.056,-0.0025,-0.0403,-0.0003,-0.0011,-0.8077,-0.0085
57,0.057,-0.0008,-0.0294,-0.0039,0.0044,-0.5254,-0.0005
58,0.058,-0.0013,-0.0129,-0.0011,0.0014,0.0178,-0.0032
59,0.059,0.0003,-0.01,-0.002,0.0041,0.251,-0.0021
60,0.06,0.0015,-0.0179,-0.0029,-0.0001,0.4612,0.0007
61,0.061,0.0027,-0.0106,0.0015,0.0006,0.9053,0.0015
62,0.062,0.0017,0.0006,0.0012,0.0012,0.9593,0.0066
63,0.063,0.0013,0.0067,-0.0033,-0.0005,0.7967,0.005
64,0.064,-0.0017,0.016,-0.0001,0.0083,0.8395,-0.0025
65,0.065,0.0009,0.0345,-0.0051,0.017,0.6167,0.0112
66,0.066,-0.0008,0.0272,-0.0014,0.0114,0.1776,-0.0054
67,0.067,-0.0024,0.016,-0.0055,0.0143,-0.2299,0.0058
68,0.068,-0.0022,0.014,-0.0058,0.0079,-0.3881,-0.0002
69,0.069,0.0017,0.0047,-0.0051,0.0019,-0.7219,-0.0018
70,0.07,0.0012,-0.0105,-0.0008,-0.0033,-1.0234,0.0034
71,0.071,-0.0004,-0.0246,-0.0012,-0.0082,-0.9,-0.0012
72,0.072,0.0057,-0.0485,-0.0036,-0.0065,-0.7871,0.0083
73,0.073,-0.0002,-0.0451,-0.0047,-0.0024,-0.7493,0.0019
74,0.074,-0.0009,-0.0241,-0.0007,0.0023,-0.3582,-0.0038
75,0.075,0.0026,-0.0103,-0.0032,-0.0019,0.1188,0.0034
76,0.076,0.0009,-0.0079,-0.0054,0.0009,0.3112,-0.0014
77,0.077,-0.0008,-0.0013,-0.0033,0.0034,0.6,0.001
78,0.078,0.0008,0.0008,-0.0023,0.0003,0.9659,0.0001
79,0.079,0.0029,0.0063,-0.0026,0.0006,0.914,0.0034
80,0.08,0,-0.0055,-0.0063,0.0041,0.8655,-0.0062
81,0.081,-0.005,-0.004,-0.0059,-0.0009,0.8208,-0.0024
82,0.082,0.0013,-0.0053,-0.0047,-0.0003,0.4921,0.0011
83,0.083,0.0021,-0.0165,-0.0058,0.0014,0.0098,-0.0024
84,0.084,0.0014,-0.015,-0.0054,0.0009,-0.3107,-0.0016
85,0.085,0.0021,-0.0026,-0.0004,0.0014,-0.4845,0.0046
86,0.086,-0.0023,0.0082,0.0006,-0.0004,-0.8999,-0.0077
87,0.087,0.0019,0.0097,0.0012,-0.0001,-1.0544,-0.0037
88,0.088,0.0013,0.011,-0.003,-0.0012,-0.8106,0.0075
89,0.089,0.0008,0.0289,-0.0002,0.0013,-0.8496,-0.0113
90,0.09,0.0019,0.0263,-0.0059,0.001,-0.6471,0.0007
91,0.091,0.0007,0.0327,-0.0022,-0.0013,-0.1756,-0.0061
92,0.092,0.001,0.0427,0.007,-0.0019,0.2726,-0.0044
93,0.093,-0.0008,0.026,0.0081,-0.002,0.3308,0.0009
94,0.094,0.0029,0.0105,0.0183,-0.0037,0.8037,0.0023
95,0.095,-0.0002,0.0044,0.0195,-0.0068,0.992,-0.0056
96,0.096,0.001,-0.0049,0.0205,-0.0128,0.8143,-0.0045
97,0.097,-0.0016,0.0002,0.0172,-0.0102,0.7572,-0.0111
98,0.098,0.0001,0.0016,0.0098,-0.0017,0.7047,-0.0057
99,0.099,-0.001,0.0029,0.0033,0.0015,0.3955,-0.0008
100,0.1,-0.0035,0.0216,0.0008,0.0046,-0.2013,-0.0056
101,0.101,-0.0058,0.0295,0.0014,0.0038,-0.2875,-0.0187
102,0.102,-0.0008,0.0317,-0.0007,0.008,-0.673,-0.0207
103,0.103,-0.0043,0.016,-0.0002,0.0058,-1.1614,-0.0159
104,0.104,-0.0013,-0.0146,0.0015,0.0009,-0.9663,-0.0206
105,0.105,0.0027,-0.0014,0.0009,0.0014,-0.7884,-0.0139
106,0.106,-0.003,-0.0132,0.0006,-0.0014,-0.7316,0.0023
107,0.107,-0.0024,-0.0458,0.0017,-0.0081,-0.4881,-0.0002
108,0.108,-0.0088,-0.0412,-0.0008,-0.0053,0.0812,0.0016
109,0.109,-0.0129,-0.0211,-0.0032,-0.0061,0.3141,-0.0004
110,0.11,-0.006,-0.0245,-0.0015,-0.0083,0.5243,-0.0091
111,0.111,-0.0051,-0.0342,-0.0057,-0.0047,0.969,0.0014
112,0.112,-0.0026,-0.0547,-0.0039,-0.0029,1.0236,0.0052
113,0.113,-0.0004,-0.0571,-0.0056,0.0011,0.8616,-0.0012
114,0.114,0.0031,-0.0397,0.0002,0.0027,0.8091,-0.0004
115,0.115,0.0014,-0.0148,-0.005,0.0039,0.6741,-0.0162
116,0.116,0.003,0.0082,-0.0056,0.0051,0.2348,-0.0498
117,0.117,0.0035,0.0289,-0.0061,0.0086,-0.1734,-0.1222
118,0.118,0.0046,0.0478,-0.0019,0.0098,-0.3322,-0.0699
119,0.119,0.0007,0.0305,-0.0054,0.0069,-0.7627,0.0719
120,0.12,0.0022,0.0058,-0.0011,0.0019,-1.0499,0.0917
121,0.121,0.0034,-0.0041,-0.0051,0.0054,-0.8883,0.0729
122,0.122,0.0005,0.0047,-0.0035,0.0023,-0.8361,0.0559
123,0.123,-0.0005,0.0183,0.0036,-0.0041,-0.701,0.0404
124,0.124,0.0005,0.0109,0.0109,0.0002,-0.3407,0.054
125,0.125,0.0035,-0.0003,0.0118,0.0071,0.1893,0.0413
126,0.126,0.0038,0.0058,0.0177,0.008,0.4009,0.0526
127,0.127,0.0055,0.0077,0.0215,0.0088,0.5921,0.0421
128,0.128,0.0091,0.0229,0.0151,0.0081,0.9962,0.0136
129,0.129,0.0079,0.0169,0.0093,0.0032,0.9406,0.0221
130,0.13,0.0107,-0.0109,0.0041,-0.0051,0.7933,0.0143
131,0.131,0.0064,-0.0146,0.0022,-0.0082,0.6592,-0.0069
132,0.132,0.0023,0.0399,0.0019,-0.0072,0.5371,-0.0004
