Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0029,-0.0006,-0.0089,-0.0009,-0.0259,-0.0081
1,0.001,0.0008,-0.0034,0.0052,-0.0014,-0.0189,-0.0042
2,0.002,-0.0002,-0.0019,0.0093,0.0033,-0.0027,-0.0037
3,0.003,0.0021,-0.0015,-0.0187,0.0028,0.0185,-0.0075
4,0.004,-0.0023,-0.0026,-0.0008,0.0011,0.0203,0.0017
5,0.005,0.0041,-0.0029,0.0153,-0.0024,0.0273,-0.0192
6,0.006,-0.0001,-0.0038,-0.0118,-0.0012,0.0335,-0.0638
7,0.007,0.002,0.0013,-0.0227,-0.0059,0.0389,-0.1597
8,0.008,-0,-0.0051,-0.0064,-0.0042,0.0278,0.0482
9,0.009,0.0005,-0.0008,-0.0511,-0.0059,0.025,0.0771
10,0.01,0.001,0.0014,-0.1471,-0.0001,0.0324,0.1031
11,0.011,-0.0006,-0.0049,-0.1323,-0.0008,0.033,0.0777
12,0.012,-0.0036,-0.0024,0.0063,-0.0044,0.039,0.0547
13,0.013,-0.0024,-0.0001,0.0611,-0.006,0.0392,0.034
14,0.014,-0.0014,-0.0036,0.0771,0.0016,0.0374,0.0519
15,0.015,0.0009,0.0006,0.0611,0.0005,0.0313,0.0347
16,0.016,-0.0001,-0.0045,0.0467,-0.0022,0.0409,0.0193
17,0.017,-0.0026,0.0004,0.0337,0.0019,0.0415,0.0328
18,0.018,-0.0016,-0.0001,0.0447,-0.0003,0.0396,0.0201
19,0.019,-0.0026,0.0028,0.034,-0.001,0.0358,0.0313
20,0.02,-0.0068,0.0013,0.0242,-0.0027,0.0196,0.0208
21,0.021,-0.015,0.0001,0.0153,-0.0022,-0.0053,0.0112
22,0.022,-0.0138,0.0005,0.0073,-0.0028,0.0306,0.0197
23,0.023,-0.0002,0.003,0.0142,-0.0025,0.0445,0.0119
24,0.024,0.0017,0.004,0.0076,0.0039,0.0572,0.0048
25,0.025,-0.0034,0.0003,0.0132,0.003,0.0605,-0.0016
26,0.026,0.0012,0.0006,0.0182,-0.0099,0.0421,-0.0072
27,0.027,0.0052,0.0062,0.0227,-0.0006,0.0123,0.0087
28,0.028,-0.001,0.004,0.0006,-0.0058,0.0005,-0.0055
29,0.029,0.0045,-0.0024,0.0123,-0.0013,-0.0029,-0.0097
30,0.03,0.0015,-0.0015,0.0086,0,0.0005,-0.0056
31,0.031,0.0042,-0.0009,0.0053,0.0011,-0.014,-0.0089
32,0.032,0.0067,0.004,0.0139,-0.0021,-0.0164,-0.0119
33,0.033,0.0088,-0.0002,-0.0107,-0.0012,-0.0136,-0.0145
34,0.034,0.0081,0.0003,-0.0075,-0.0004,-0.011,-0.0115
35,0.035,0.005,-0.0022,-0.0046,0.0021,-0.0085,-0.0039
36,0.036,0.0045,0.002,-0.0073,0.0057,-0.0099,-0.0102
37,0.037,0.004,0.0025,-0.0049,0.0007,-0.011,-0.0079
38,0.038,0.0061,0.002,-0.0114,0.0011,-0.0059,-0.0058
39,0.039,0.0006,-0.0031,-0.0092,-0.0018,-0.0178,-0.0072
40,0.04,0.0043,-0.0024,-0.0073,0.0038,-0.0121,-0.0084
41,0.041,0.0022,-0.004,-0.0021,0.0059,-0.0129,-0.004
42,0.042,0.0028,-0.0023,0.0055,0.0065,-0.0108,-0.0001
43,0.043,-0.0025,0.0002,-0.004,0.0033,-0.009,-0.0122
44,0.044,-0.0004,0.0044,-0.0002,0.0049,-0.0115,0.0066
45,0.045,0.0013,0.0016,0.003,0.0033,-0.0118,-0.0054
46,0.046,0.0042,0,-0.0041,0.0044,-0.0103,-0.0206
47,0.047,0.0037,-0.003,-0.0013,-0.0012,-0.0122,-0.0141
48,0.048,-0.0005,-0.0026,0.003,0.0009,-0.0094,-0.0119
49,0.049,0.0012,-0.0036,-0.0022,0.0015,-0.0052,-0.0132
50,0.05,-0.0045,0.0016,-0,0.0009,-0.0115,-0.0022
51,0.051,-0.0067,-0.0068,0.0006,-0.002,-0.0153,-0.0088
52,0.052,-0.0031,-0.0036,-0.001,-0.0006,-0.012,-0.0022
53,0.053,0.0012,-0.0066,-0.0086,-0.0003,-0.0106,-0.003
54,0.054,-0.0017,-0.0001,-0.0074,0.0025,-0.012,-0.0037
55,0.055,-0.0063,0.0007,-0.0103,-0.0001,-0.013,0.0011
56,0.056,0.0006,-0.0015,0.0002,0.0009,-0.0129,-0.0012
57,0.057,0.0015,-0.0008,-0.0093,0.0018,-0.0098,0.0043
58,0.058,-0.001,-0.0003,-0.0054,0.0004,-0.0051,-0.002
59,0.059,-0.0017,0.0014,0.0003,-0.002,-0.0087,0.0079
60,0.06,-0.0023,-0.0033,-0.0026,-0.001,-0.0108,-0.0052
61,0.061,0.0008,0.0009,-0.0089,0.0003,-0.0102,-0.0028
62,0.062,0.0025,0.0049,0.0041,-0.0036,-0.0095,-0.0043
63,0.063,-0,0.0034,0.0061,0.004,-0.009,-0.0086
64,0.064,-0.0012,0.0004,0.0046,0.0029,-0.0134,-0.0044
65,0.065,-0.0031,-0.0008,0.0064,0.0021,-0.009,-0.0104
66,0.066,-0.0006,0.0027,0.0025,0.0012,-0.0107,-0.0026
67,0.067,-0.0009,0.0015,-0.0036,0.0005,-0.0113,0.0069
68,0.068,0.0042,0.0035,-0.009,0.0012,-0.0102,0.0006
69,0.069,-0.0022,0.001,-0.0078,-0.003,-0.0123,0.0038
70,0.07,-0.003,0.0033,0.0027,-0.0025,-0.0136,-0.0035
71,0.071,-0.0023,0.005,-0.0097,-0.002,-0.0128,-0.0027
72,0.072,-0.0029,0.0024,-0.0012,0.0011,-0.0142,-0.0019
73,0.073,-0.0033,-0.0015,0.0004,-0.0018,-0.0133,0.0094
74,0.074,-0.0004,0.0011,-0.0009,0.0018,-0.0113,0.0109
75,0.075,-0.0029,-0.002,-0.0045,0.0039,-0.0136,0.0031
76,0.076,0.0002,0,0.0033,0.0095,-0.0183,0.0015
77,0.077,-0.0053,-0.0018,-0.0018,0.0026,-0.0185,0.0001
78,0.078,0.0016,-0.0008,0.0028,0.0017,-0.0197,-0.0033
79,0.079,0.0043,0.0015,0.0122,-0.0024,-0.02,-0.0065
80,0.08,0.0018,0.0022,0.0009,-0.0002,-0.0196,-0.0112
81,0.081,-0.0019,0.001,0.0087,-0.0079,-0.0233,0.0014
82,0.082,-0.0012,0.0011,0.0049,-0.0006,-0.0278,-0.0081
83,0.083,0.0005,0.0001,0.0036,-0.0014,-0.0276,0.0035
84,0.084,0.001,-0.0004,-0.0067,0.0011,-0.0247,-0.0136
85,0.085,-0.0025,0.0007,-0.0027,0.0034,-0.0222,0.0064
86,0.086,-0.0022,0.0009,-0.0015,-0.0015,-0.0284,-0.0019
87,0.087,0.0017,0.0027,-0.0093,-0.002,-0.0302,0.0002
88,0.088,0.0001,-0.0023,-0.0083,0.0009,-0.0283,0.0111
89,0.089,0.0031,-0.003,-0.0091,-0.0005,-0.0312,0.0087
90,0.09,0.0002,-0.0035,-0.0014,-0.0027,-0.0318,-0.0045
91,0.091,0.0005,-0.0064,-0.0067,0.0002,-0.0261,0.0037
92,0.092,-0.0018,-0.0029,-0.0022,-0.0016,-0.0116,-0.0042
93,0.093,-0.0015,-0.004,0.002,0.0008,0.0206,0.0025
94,0.094,0.0026,-0.0002,0.0041,-0.0002,0.0239,0.001
95,0.095,0.0021,-0.0037,0.0075,-0.0008,0.0356,-0.0048
96,0.096,0.0049,0.0032,0.0044,0.0031,0.0223,-0.0123
97,0.097,0.0028,0.0015,0.0041,0.0044,-0.0126,-0.0115
98,0.098,0.0002,0.0005,-0.0048,0.0028,-0.0247,-0.0219
99,0.099,0.0005,-0.0023,0.0089,0.0013,-0.0291,-0.0013
100,0.1,0.0033,0.0003,0.0069,0.0016,-0.0331,-0.0044
101,0.101,-0.0003,-0.0035,-0.0017,0.0045,-0.0369,-0.0019
102,0.102,0.0009,-0.0015,-0.0034,0.0003,-0.0356,-0.0044
103,0.103,-0.0039,-0.0045,0.0005,-0.0014,-0.0031,0.0065
104,0.104,0.0003,0.0007,0.0015,0.0002,0.01,0.0083
105,0.105,-0.0027,0.0027,0.0004,-0.0048,-0.0044,-0.0012
106,0.106,0.004,-0.003,-0.0028,0.0001,0.0144,-0.0266
107,0.107,-0.0006,0.0007,-0.0038,0.0018,0.0167,-0.081
108,0.108,-0.0084,0.0013,-0.0134,-0.0069,0.0254,-0.1976
