Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0188,-0.0027,-0.0039,0.0025,-0.2026,-0.0061
1,0.001,-0.0134,0.0012,0.0091,-0.0001,0.0872,-0.0176
2,0.002,-0.0052,-0.0056,0.0286,-0.0005,0.4333,0.0309
3,0.003,-0.004,-0.0011,0.0175,-0.0015,0.5648,-0.0761
4,0.004,0.0082,0.0048,0.014,-0.0057,0.7683,-0.1825
5,0.005,0.0128,0.004,0.005,-0.0074,1.0288,-0.0578
6,0.006,0.0109,0.0074,0.0021,-0.0057,0.9757,0.1587
7,0.007,0.0118,0.0068,0.009,-0.0114,0.8605,0.1269
8,0.008,0.0227,0.0027,0.0152,-0.0107,0.7552,0.1517
9,0.009,0.0207,0.0031,0.0167,-0.0126,0.5512,0.1252
10,0.01,0.0189,0.0043,0.0182,-0.0084,0.1704,0.0565
11,0.011,0.0097,0.0054,0.0128,-0.002,-0.1026,0.035
12,0.012,0.0061,-0.0004,0.014,-0.0012,-0.2538,0.0155
13,0.013,0.0028,0.0004,0.0124,-0.005,-0.5637,-0.0355
14,0.014,0.0033,-0.0033,0.0035,-0.003,-0.6069,-0.021
15,0.015,0.0089,0.0015,-0.0022,-0.0014,-0.5023,-0.0629
16,0.016,0.0137,-0.0016,0.0071,0.0014,-0.538,-0.1258
17,0.017,0.0098,-0.0011,0.0107,-0.0034,-0.3928,-0.0685
18,0.018,0.01,-0.0016,0.0114,0.0023,0.0073,0.0245
19,0.019,0.0079,-0.002,0.0182,0.0044,0.4046,0.0862
20,0.02,0.0123,-0.0008,0.0186,0.0023,0.4476,0.0735
21,0.021,0.0103,0.0002,0.0175,0.0027,0.7716,0.1031
22,0.022,0.006,0.0012,0.0059,0.0009,0.8893,0.0923
23,0.023,0.0062,-0.0026,0.0143,-0.0007,0.7577,0.0995
24,0.024,0.0047,0.0043,0.037,0.0005,0.7093,0.0592
25,0.025,0.0048,0.0012,0.0397,0.0032,0.5994,0.037
26,0.026,0.0049,0.0004,0.0243,0.0013,0.3216,0.0424
27,0.027,0.0037,0.0062,-0.0061,0.0029,-0.0816,0.0008
28,0.028,0.0031,-0.0037,-0.0419,0.0031,-0.2446,-0.005
29,0.029,-0.0013,0.0003,-0.0559,0.0005,-0.487,-0.0295
30,0.03,0.0027,0.0015,-0.0685,0.0049,-0.7056,-0.0429
31,0.031,-0.0015,0.0025,-0.0641,0.0065,-0.6658,-0.0392
32,0.032,-0.0022,-0.0006,-0.0529,0.0058,-0.5574,-0.0357
33,0.033,-0.0084,-0.0014,-0.0363,0.0082,-0.5241,-0.039
34,0.034,-0.0007,-0.0006,-0.0091,0.0078,-0.3161,-0.0121
35,0.035,-0.0018,-0.0012,0.0161,0.0065,0.0875,0.013
36,0.036,-0.0028,-0.0048,0.0323,0.0022,0.2579,0.0225
37,0.037,-0.0037,0.001,0.0172,0.0016,0.4111,0.0428
38,0.038,0.0076,0.0017,0.0089,0.0051,0.7398,0.0504
39,0.039,0.0024,-0.0003,0.0064,0.0028,0.7758,0.0522
40,0.04,0.0008,0.0002,-0.0002,0.0031,0.6496,0.0494
41,0.041,-0.0007,0.0042,-0.0062,0.0012,0.6067,0.0469
42,0.042,-0.0019,0.0027,-0.0078,0.0014,0.4368,0.0186
43,0.043,0.0012,0.0005,0.0177,0.0004,0.1054,-0.0015
44,0.044,0.0021,-0.0015,0.0576,0.0046,-0.2016,-0.0268
45,0.045,-0.0043,-0.0012,0.0521,-0.0024,-0.3205,-0.0299
46,0.046,-0.0001,0.0041,0.0084,-0.0016,-0.6425,-0.0626
47,0.047,0.002,-0.0012,-0.0208,0.001,-0.7696,-0.0578
48,0.048,-0.0029,0.0024,-0.0259,-0.0012,-0.6467,-0.0533
49,0.049,0.0013,0.0007,-0.04,-0.0048,-0.6064,-0.056
50,0.05,-0.0003,0.0012,-0.0354,-0.0043,-0.504,-0.0325
51,0.051,0.0012,-0.0013,-0.0312,-0.0014,-0.2329,-0.0114
52,0.052,-0.0018,-0.0001,-0.0203,-0.0039,0.1647,0.0136
53,0.053,0.0011,-0.0021,-0.0039,-0.0027,0.3231,0.0171
54,0.054,-0.0014,-0.0024,0.0231,0.0002,0.4658,0.0441
55,0.055,0.001,-0.0007,0.0628,-0.0008,0.7681,0.0547
56,0.056,0.0014,-0.001,0.0678,-0.0005,0.7248,0.0513
57,0.057,-0.0022,-0.004,0.0533,-0.0015,0.6129,0.0484
58,0.058,-0.0017,-0.0027,0.0312,0.0003,0.5107,0.0347
59,0.059,-0.0012,-0.0017,-0.0047,0.0037,0.3586,0.0223
60,0.06,-0.0023,-0.002,-0.0189,0.0058,-0.0489,-0.0112
61,0.061,-0.0012,0.0004,-0.0493,0.0002,-0.2234,-0.0255
62,0.062,-0.0029,0.0006,-0.0372,0.0055,-0.3809,-0.0385
63,0.063,0.0002,-0.0028,-0.0405,0.0034,-0.714,-0.0581
64,0.064,-0.0033,0.0023,-0.0566,0.0017,-0.7541,-0.0543
65,0.065,-0.0002,0.003,-0.0114,0,-0.6314,-0.0508
66,0.066,0.0019,0.0046,0.0595,-0.0015,-0.5912,-0.0477
67,0.067,0.0038,-0.0018,0.1251,-0.0018,-0.4237,-0.0228
68,0.068,-0.0001,0.0041,0.0644,-0.0015,-0.0937,-0.0063
69,0.069,0.0015,-0.0011,-0.006,-0.0071,0.2128,0.0208
