Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0028,-0.0049,-0.0017,-0.0042,0.2109,0.0181
1,0.001,-0.0023,0.0072,-0.0013,-0,0.0688,0.0104
2,0.002,0.0003,0.0135,0.0005,0.0028,-0.2731,-0.0062
3,0.003,0.0007,0.0072,-0.0047,0.0012,-0.5004,-0.0346
4,0.004,0.0004,0.005,-0.004,0.0042,-0.6168,-0.0454
5,0.005,0.0014,0.0031,-0.0047,0.0038,-0.9557,-0.0695
6,0.006,-0.0002,0.0044,-0.0016,0.0041,-1.08,-0.0779
7,0.007,0.0015,0.0081,-0.0068,-0.0012,-0.9302,-0.0912
8,0.008,-0.0009,0.0082,-0.0043,-0.0046,-0.8344,-0.062
9,0.009,-0.0001,0.0041,0.0006,0.0053,-0.6986,-0.0687
10,0.01,0.0006,0.007,-0.0024,0.0066,-0.4319,-0.0502
11,0.011,0.0033,0.0056,0.0004,0.0028,0.0048,-0.0246
12,0.012,0.0016,0.008,-0.0031,0.0017,0.0718,-0.0074
13,0.013,0.0006,0.0153,-0.0001,-0.0036,0.3417,0.0081
14,0.014,-0.0035,0.0139,0.0028,-0.0044,0.5852,0.0385
15,0.015,-0.0018,0.009,0.0046,-0.0036,0.5447,0.0348
16,0.016,-0.0023,0.0045,0.0049,0.0016,0.4293,-0.0047
17,0.017,-0.0017,0.011,0.0065,0.0064,0.3968,-0.0834
18,0.018,-0.002,0.0246,0.0058,0.008,0.1723,-0.2076
19,0.019,-0.0016,0.0261,0.0081,0.0015,-0.207,-0.0552
20,0.02,-0.0013,0.0128,0.0043,-0.0011,-0.3557,0.0465
21,0.021,-0.0016,-0.006,0.0055,-0.0033,-0.4888,0.0283
22,0.022,-0.0005,-0.0184,0.0034,-0.0082,-0.8675,0.0119
23,0.023,-0.0018,-0.0296,0.0024,-0.0112,-0.8008,-0.0332
24,0.024,-0.0001,-0.0235,0.004,-0.0083,-0.739,-0.0186
25,0.025,-0.0018,-0.0069,-0.001,-0.0026,-0.7688,-0.0553
26,0.026,-0.0023,0.0131,0.0038,-0.0004,-0.5584,-0.1114
27,0.027,-0.0021,0.0154,0.0008,-0.0053,-0.1532,-0.0791
28,0.028,0.0006,0.0127,0.0013,0.0029,0.2214,0.0444
29,0.029,-0.0036,0.0101,-0.0023,-0.0003,0.2733,0.0945
30,0.03,-0.003,0.0238,-0.0044,-0.0076,0.6663,0.0791
31,0.031,-0.0025,0.0178,-0.0005,-0.003,0.7183,0.0926
32,0.032,-0.0055,-0.0011,0.0052,0.0028,0.6688,0.0549
33,0.033,0.0009,-0.0036,0.0015,0.0021,0.537,0.089
34,0.034,-0.0037,-0.0016,0.0008,0.0013,0.4177,0.0784
35,0.035,-0.0147,-0.0038,-0.0009,0.0018,0.1665,0.0686
36,0.036,-0.0071,-0.0021,-0.0025,0.0022,-0.1907,-0.0088
37,0.037,-0.0057,-0.0073,0.0022,0.0026,-0.3301,0.0017
38,0.038,-0.0068,-0.0029,0.0079,0.0037,-0.5418,-0.0075
39,0.039,0.0034,0.001,-0.0005,-0.0019,-0.811,-0.0329
