Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0035,0.0113,0.0213,-0.0093,-0.193,-0.0012
1,0.001,-0.0023,0.0064,0.0234,-0.0054,0.19,0.0089
2,0.002,0.0015,0.0021,0.0321,-0.0119,0.6519,0.0181
3,0.003,-0.002,-0.0045,0.0307,-0.0019,0.7014,0.0434
4,0.004,0.0031,-0.0078,0.0186,0.0185,1.0899,0.066
5,0.005,0.0037,-0.0043,-0.0029,0.0268,1.229,0.0864
6,0.006,0.002,-0.0176,-0.0053,0.0183,1.0662,0.0406
7,0.007,0.0025,-0.0375,-0.0074,0.0056,1.0039,0.0691
8,0.008,0.005,-0.0505,-0.0092,-0.0013,0.8675,0.0631
9,0.009,0.0038,-0.0522,-0.0064,-0.0076,0.5276,0.048
10,0.01,0.0009,-0.0404,-0.0038,-0.0133,0.0358,-0.0096
11,0.011,-0.0016,-0.0258,-0.005,-0.0051,-0.1656,-0.033
12,0.012,-0.0039,-0.016,0.0006,-0.0038,-0.3474,-0.0118
13,0.013,-0.0016,-0.0106,-0.0063,-0,-0.8264,-0.044
14,0.014,-0.0009,0.0003,-0.007,0.0034,-0.7659,-0.0381
15,0.015,-0.0047,0.0131,-0.0052,0.0086,-0.5953,-0.0327
16,0.016,-0.0075,0.0183,-0.0101,0.0031,-0.5461,-0.0566
17,0.017,-0.0039,0.026,-0.0064,0.0092,-0.3109,-0.0519
18,0.018,-0.0027,0.0221,-0.0121,0.0183,0.1617,0.0081
19,0.019,-0.0039,0.0058,-0.0089,0.0167,0.4716,0.0166
20,0.02,0.0012,-0.0005,-0.006,0.0153,0.6344,0.0241
21,0.021,-0.0008,-0.0023,-0.013,0.0097,0.9901,0.0592
22,0.022,0.0009,-0.0038,-0.0071,0.0121,1.0239,0.0651
23,0.023,0.0037,-0.0019,-0.0072,0.0109,0.8792,0.0472
24,0.024,-0.004,-0.0031,-0.0074,0.0069,0.826,0.052
25,0.025,0.0016,-0.0016,-0.0074,0.0086,0.6336,0.0372
26,0.026,0.0026,-0.0026,-0.0074,0.0113,0.1981,0.015
27,0.027,0.0071,-0.0034,-0.005,0.0082,-0.2146,-0.021
28,0.028,0.0029,-0.0021,-0.006,0.0065,-0.2722,-0.0162
29,0.029,0.0066,0.0007,-0.0048,0.0075,-0.7058,-0.038
30,0.03,-0.0012,-0.0033,-0.0064,0.0111,-0.9952,-0.0655
31,0.031,0.0018,0.0006,0.0007,0.0135,-0.8358,-0.0544
32,0.032,-0.0008,0.0014,-0.0051,0.0064,-0.6907,-0.0507
33,0.033,0.0017,-0,-0.0053,0.0032,-0.559,-0.0475
34,0.034,-0.0005,-0.0062,-0.0053,0.0022,-0.282,-0.0281
35,0.035,0.0015,-0.0001,-0.0054,-0.0005,0.1839,-0.0056
36,0.036,-0.0002,-0.0021,-0.0032,0.0001,0.3715,0.0094
37,0.037,-0.0007,-0.004,-0.001,0.0064,0.6555,0.0284
38,0.038,0.0009,-0.0021,-0.002,-0.0031,0.9114,0.0455
39,0.039,0.0005,0.0009,-0.0046,0.0081,0.8555,0.0608
40,0.04,-0.0006,0.0005,-0.0053,0.0185,0.717,0.0383
41,0.041,-0.0032,0.0009,-0.0058,0.0114,0.6702,0.0473
42,0.042,-0.0028,-0.001,-0.0098,-0.0025,0.4839,0.0282
43,0.043,0.0009,-0.0012,-0.0063,-0.0155,-0.0113,0.0058
44,0.044,0.0021,-0.005,-0.0054,-0.0239,-0.3633,-0.0211
45,0.045,-0.0043,0.0009,-0.0024,-0.0223,-0.4265,-0.0174
46,0.046,-0.0016,0.0031,-0.0051,-0.0235,-0.8294,-0.0401
47,0.047,0.0027,-0.0017,-0.0027,-0.0147,-0.9827,-0.0486
48,0.048,0.0005,0.0026,-0.002,-0.0114,-0.8333,-0.0508
49,0.049,-0.0002,-0.0037,-0.0055,-0.0083,-0.6973,-0.0527
50,0.05,0.0028,-0.0011,-0.0048,0.002,-0.5739,-0.0367
51,0.051,0.0033,-0.0017,-0.0015,0.0034,-0.1743,-0.014
52,0.052,-0.0024,0.0003,-0.0017,-0.0054,0.3017,0.0132
53,0.053,-0.0031,-0.0026,-0.0005,0.0002,0.3657,0.0241
54,0.054,0.0005,0.0026,-0.0056,0.0033,0.7694,0.047
55,0.055,-0,0.009,-0.0033,0.0024,0.9239,0.0556
56,0.056,-0.004,0.0048,0.0003,-0.0017,0.7758,0.0527
57,0.057,-0.0025,0.0026,-0.0039,-0.001,0.7277,0.0452
58,0.058,-0.0037,0.0061,-0.0056,-0.0045,0.6044,0.0427
59,0.059,-0.0033,-0.0022,-0.0103,-0.0002,0.3487,0.0241
60,0.06,-0.0007,-0.0032,-0.0061,-0.0066,-0.1446,-0.0033
61,0.061,0.0025,-0.0042,-0.0034,0.0029,-0.3556,-0.0287
62,0.062,0.0004,-0.0087,-0.004,0.0041,-0.5461,-0.0384
63,0.063,0.0001,-0.0111,-0.0054,0.0118,-0.9489,-0.059
64,0.064,0.0018,-0.0162,-0.0059,0.0108,-0.8923,-0.0562
65,0.065,-0.0026,-0.0055,-0.0036,0.0081,-0.744,-0.0536
66,0.066,-0.0009,0.0174,-0.0071,0.0073,-0.6958,-0.0331
67,0.067,-0.0004,0.0271,-0.0112,0.0079,-0.4935,-0.0356
68,0.068,-0.0026,0.0122,-0.009,0.0059,0.0495,-0.0081
69,0.069,0.0003,-0.0068,-0.0072,0.0116,0.2825,0.025
70,0.07,-0,-0.0191,-0.0088,0.0109,0.4927,0.0294
71,0.071,0.0017,-0.0212,-0.0095,0.0215,0.9368,0.057
72,0.072,-0.0007,0.0014,-0.0083,0.0199,0.9908,0.0603
73,0.073,0,0.0221,-0.0118,0.0102,0.8283,0.0567
74,0.074,-0.0017,0.0193,-0.0113,-0.0087,0.6801,0.0475
