Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0053,0.0031,0.0087,0.0047,0.0188,0.0341
1,0.001,0,0.0046,0.0108,0.0001,0.0087,0.022
2,0.002,-0.0045,-0.0015,0.0189,-0.0025,0.0113,0.0113
3,0.003,-0.0019,-0.0024,0.0248,-0.0019,-0.0135,0.0015
4,0.004,0.0004,0.006,0.0221,0.0029,-0.0168,-0.0074
5,0.005,-0.0031,0.0004,0.0086,0.0058,0.01,0.0155
6,0.006,-0.0025,0.0056,-0.005,0.0028,0.0062,0.008
7,0.007,-0.0053,0.001,-0.0099,0.0053,0.0027,0.0013
8,0.008,-0.0047,0.0018,-0.0076,0.0102,-0.0004,-0.0163
9,0.009,-0.0035,0.004,-0.0084,0.0036,0.0075,0.0204
10,0.01,-0.0046,-0.0038,-0.0064,0.0027,0.0096,0.0057
11,0.011,-0.0035,-0.0008,-0.0069,0.0019,0.0159,0.0097
12,0.012,-0.0018,-0.0035,-0.0052,-0.0002,0.0176,0.0291
13,0.013,-0.0021,0.0024,-0.0118,-0.0045,-0.0031,-0.0257
14,0.014,-0.0063,0.0017,-0.0102,-0.0121,0.0048,-0.1424
15,0.015,-0.0144,-0.0003,-0.0087,-0.0049,-0.0026,-0.125
16,0.016,-0.0066,0.0002,-0.0086,-0.0076,-0.0094,0.0123
17,0.017,-0.0035,-0.0015,-0.0114,-0.0051,-0.0399,-0.1535
18,0.018,0.001,-0.0021,-0.0065,-0.0015,-0.1054,-0.4419
19,0.019,0.0035,0.0021,-0.011,-0.0022,-0.0766,-0.321
20,0.02,0.0028,0.0026,-0.011,-0.0006,0.018,0.0751
21,0.021,-0.0007,-0.0021,-0.0045,0.0022,0.0301,0.1267
22,0.022,0.0023,0.002,-0.0045,0.0026,0.0412,0.1732
23,0.023,0.0006,0.0061,-0.0073,0.0047,0.0305,0.1285
24,0.024,-0.0019,-0.0017,-0.005,-0.0001,0.0395,0.088
25,0.025,0.0002,0.0015,0.0009,0.004,0.0134,0.123
26,0.026,-0.001,0.0025,-0.0033,0.0011,0.0209,0.0894
27,0.027,-0.0067,0.0016,-0.0068,0.0025,0.0277,0.1181
28,0.028,-0.0092,0.0008,-0.0045,0.0055,0.0083,0.0902
29,0.029,-0.0023,0.0015,-0.0003,0.0074,0.0024,0.0651
30,0.03,-0.0014,-0.0034,0,0.0038,0.0393,0.0867
31,0.031,0.0011,-0.0004,-0.0014,0.0025,0.0246,0.0658
32,0.032,0.0047,-0.0044,-0.005,0.0004,0.0113,0.0469
33,0.033,0.0011,-0.0029,-0.0015,0.0046,0.0072,0.0299
34,0.034,0.0028,-0.0017,-0.0044,0.004,0.0106,0.0144
35,0.035,0.001,0.0031,-0.0042,0.0004,0.0008,0.028
36,0.036,-0.0005,-0.0038,-0.0024,-0.0008,0.0036,0.0153
37,0.037,-0.0009,-0.0065,-0.0015,0.0047,-0.0046,0.0037
38,0.038,0.0011,-0.0005,0.0008,-0.0006,-0.0069,-0.0066
39,0.039,0,0.0017,-0.0031,0.0029,-0.0003,-0.0159
40,0.04,0.001,0.0023,-0.0054,0.0059,-0.0024,0.0099
41,0.041,-0.0021,0.0054,-0.0002,0.003,-0.0005,-0.0133
42,0.042,0.0014,0.0001,-0.0028,-0.0006,-0.0022,-0.0061
43,0.043,0.0025,0.0022,-0.0006,0.0044,-0.0037,-0.0124
44,0.044,0.0037,0.0005,0.0003,0.0024,-0.005,-0.0065
45,0.045,0.0011,0.0011,-0.0005,0.0029,0.0038,-0.0114
46,0.046,0.0028,0.0006,-0.0005,0.0012,0.0007,0.0032
47,0.047,0.0011,0.0028,-0.0037,-0.0014,-0.0003,-0.001
48,0.048,0.0012,-0.0019,-0.0038,-0.0017,0.0042,-0.0047
49,0.049,-0,-0.0024,0.0021,-0.0056,0.0001,-0.001
50,0.05,0.0022,0.0004,0.0016,-0.005,-0.0036,-0.0106
51,0.051,-0.0016,-0.0021,-0.0031,-0.0019,-0.0084,-0.0191
52,0.052,0.0031,-0.001,0.0013,-0.0023,-0.0099,-0.0215
53,0.053,0.0014,-0.0049,-0.0015,-0.0041,-0.008,-0.0087
54,0.054,0.0019,-0.0034,0.0002,-0.0017,-0.0112,-0.0142
55,0.055,0.0014,-0.0094,-0.0048,0,-0.0087,-0.0232
56,0.056,0.0017,-0.0069,-0.0028,0.0002,-0.0021,-0.0134
57,0.057,0.0056,0.0046,-0.0012,0.0026,-0.0065,-0.0146
58,0.058,-0.0012,0.0063,-0.0029,0.0016,0.003,-0.0128
59,0.059,-0.002,-0.0013,-0.0035,-0.0021,0.0068,-0.0056
60,0.06,0.0022,0.0027,-0.0065,0.0047,-0.0101,-0.0089
61,0.061,0.0029,0.0039,-0.0063,0.0001,0.0024,-0.0053
