Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0016,-0.0027,0.0011,-0.0015,-0.0066,-0.0134
1,0.001,-0.0032,0.0004,-0.0019,-0.0012,0.0112,-0.0004
2,0.002,0.001,-0.0036,-0.0048,-0.0049,-0.026,-0.0257
3,0.003,-0.0021,-0.001,-0.0052,-0.0007,-0.1053,-0.0797
4,0.004,0.002,-0.0032,-0.0022,-0.0025,-0.116,-0.1333
5,0.005,-0.0027,-0.0051,-0.0018,-0.003,-0.0014,-0.0264
6,0.006,0.0015,0,-0.0043,-0.0018,0.0439,0.0496
7,0.007,-0.0002,0.0036,-0.0046,0.002,0.0571,0.0354
8,0.008,-0.0007,0.0066,-0.0096,-0.0016,0.0441,0.0227
9,0.009,0.0004,0.0026,-0.0047,0.0044,0.0322,0.0338
10,0.01,0.0016,0.0051,-0.0042,0.0002,0.0215,0.0233
11,0.011,-0.0026,0.0073,-0.0001,0.0008,0.0306,0.0137
12,0.012,-0.0021,0.0009,-0.0016,0.0028,0.0388,0.0221
13,0.013,-0.0016,-0.0017,-0.002,-0.0015,0.0306,0.0296
14,0.014,0.0014,-0.0008,0.0009,-0.0044,0.0232,0.0222
15,0.015,-0.0025,-0.0001,0.0027,-0.0059,0.0165,0.0156
16,0.016,-0.004,0.0006,0.0037,-0.0009,-0.001,0.0097
17,0.017,-0.0044,0.0001,0.0013,-0.0003,0.0146,0.0044
18,0.018,-0.0108,-0.0003,0.0014,-0.0033,0.0097,-0.0003
19,0.019,-0.0152,-0.0018,0.0037,0.0007,0.0139,-0.0047
20,0.02,-0.0074,-0.0014,0.0054,0.0011,0.0019,-0.0085
21,0.021,-0.0064,-0.0061,0.0023,0.0032,0.0054,-0.012
22,0.022,0.002,-0.0055,-0.0006,0.0035,0.0021,-0.0216
23,0.023,-0.0013,0.0033,0.0019,0.0016,0.0048,-0.0008
24,0.024,-0.0003,-0.0029,0.0015,0.0025,0.0074,0.0073
25,0.025,-0.003,-0.0039,0.0052,0.0028,-0.0049,-0.0049
26,0.026,0.0029,-0.0008,0.0029,0.0057,0.0016,-0.0114
27,0.027,0.0035,-0.0016,0.0049,0.0009,0.0036,-0.0012
28,0.028,0.0054,-0.0041,0.0023,0.0026,0.0017,0.0081
29,0.029,0.0037,-0.0003,0.0019,0.0008,0.0067,0.0064
30,0.03,0.0031,0.0017,-0.0004,0.0033,0.0021,-0.0165
31,0.031,0.0045,-0.0025,0.0009,0.0002,-0.002,-0.0655
32,0.032,-0.0016,-0.0019,0.0015,-0.0027,-0.0082,-0.058
33,0.033,0.0026,0.0028,-0.0012,-0.0017,-0.0114,0.0389
34,0.034,0.0032,0.0011,-0.0009,0.0006,-0.0019,0.0249
35,0.035,-0.0004,0.0007,0.0021,0.0036,-0.0081,0.0373
36,0.036,0.0001,0.0002,0.004,0.0045,-0.0048,0.0257
37,0.037,-0.0004,-0.0028,0.0007,0.0013,-0.0058,0.0154
38,0.038,0.0021,-0.0016,-0.0032,-0.0035,0.0007,0.006
39,0.039,-0.001,0.0009,-0.0047,-0.0005,-0.0018,0.0146
40,0.04,0.0053,0.0006,-0.0035,-0.001,0.0005,0.0224
41,0.041,0.0008,-0.0017,-0.0015,0.0025,0.0025,0.0154
42,0.042,0.0049,-0.001,-0.004,0.0036,0.0009,0.009
43,0.043,0.0012,0.0002,-0.005,0.0024,-0.0078,0.0034
44,0.044,0.0018,0.0013,0,-0.0033,-0.0065,-0.0017
