Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0031,0.0018,-0.0004,-0.0041,0.0075,0.0063
1,0.001,0.0012,-0.0023,0.0013,-0.0034,0.0011,-0.0058
2,0.002,0.0007,0.0018,-0.0019,0.0002,0.0019,-0.0138
3,0.003,0.0002,-0.0039,0.0031,-0.0014,0.0055,-0.0058
4,0.004,-0.001,-0.0032,-0.0033,0.0004,-0.0022,-0.0122
5,0.005,-0.003,-0.0011,-0.0008,-0.0063,-0.001,-0.0179
6,0.006,-0.0054,-0.0052,-0.0014,0.0002,0.0019,-0.0119
7,0.007,-0.0015,-0.0011,0.0006,-0.0039,-0.0108,-0.0269
8,0.008,-0.001,0.0015,0.0001,-0.0001,-0.0089,-0.0241
9,0.009,0.0012,-0.0015,0.0076,-0.0007,-0.0104,-0.0214
10,0.01,0.0001,0.0006,0.0045,0.0024,0.0002,0.0031
11,0.011,0.0026,-0.0035,0.0052,0.0088,0.0071,0.0003
12,0.012,0.0016,-0.0063,0.001,0.0029,0.0007,-0.0022
13,0.013,0.0026,-0.0027,0.0061,-0.0007,-0.0025,-0.0046
14,0.014,-0.0004,0.0043,0.0026,-0.0042,-0.0035,-0.0065
15,0.015,0.0008,0.02,-0.0005,-0.0046,-0.0027,0.0052
16,0.016,0.0033,0.0088,-0.001,-0.0097,0.0066,0.0116
17,0.017,0.003,0.0028,-0.0005,-0.006,0.0028,0.0026
18,0.018,0.0007,-0.0027,0.0007,-0.0002,0.0082,0.0045
19,0.019,-0.0035,-0.0077,-0.0022,0.0006,-0.0033,0.0002
20,0.02,-0.004,-0.0121,0.002,0.0026,-0.0049,-0.0064
21,0.021,0.0001,-0.0024,0.0003,0.0032,0.0019,-0.0098
22,0.022,-0.0004,-0.0035,-0.0032,0.0049,0.003,-0.0018
23,0.023,0.0008,-0.0002,-0.0043,0.0044,-0.0048,-0.0171
24,0.024,-0.0004,0.0028,0.0021,0.0013,-0.0019,-0.0189
25,0.025,0.0022,0.0093,0.0029,-0.0025,-0.0122,-0.0084
26,0.026,-0.0031,-0.0001,-0.003,-0.0039,-0.0027,-0.0026
27,0.027,-0.0037,0.0011,-0.0008,-0.0026,-0.0065,-0.0074
