Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0012,0.0012,0.0045,0.0029,0.0038,0.0181
1,0.001,0.0022,-0.0013,-0.0004,-0.0013,0.0151,0.0038
2,0.002,0.0025,-0.001,0.0026,-0.0099,0.0044,-0.009
3,0.003,0.0027,0.002,-0.0015,-0.0134,0.0004,0.0028
4,0.004,0.0034,0.0016,-0.001,-0.0101,-0.0057,0.0043
5,0.005,0.0041,0.0019,-0.004,-0.0069,-0.0088,-0.0081
6,0.006,0.0012,0.0008,-0.0011,-0.0131,-0.0056,-0.0063
7,0.007,0.0038,0.0024,-0.0001,-0.0071,-0.001,-0.0107
8,0.008,-0.0014,0.0022,0.0022,-0.0063,-0.0068,-0.02
9,0.009,-0.0007,-0.0002,-0.0008,-0.0014,0.0018,-0.0136
10,0.01,-0,-0.0013,0.0034,-0.0009,-0.0014,-0.0057
11,0.011,0.0005,-0.0027,0.0038,0.0008,-0.0107,-0.0026
12,0.012,-0.0023,0.0011,0.0043,0.0034,0.0032,-0.0033
13,0.013,-0.0007,0.0016,0.0012,0.0064,-0.006,-0.0025
14,0.014,-0.0037,0.005,0,0.0075,-0.0008,0.0027
15,0.015,-0.0024,-0.0001,0.001,0.0077,0.0069,0.0076
16,0.016,-0.0005,-0.0065,0.0062,0.0025,0.0058,0.0018
17,0.017,0.0019,-0.0007,0.0025,0.0061,0.0071,0.0069
18,0.018,0.0002,-0,0.0018,0.0054,0.0102,0.0075
19,0.019,-0.0027,0.0006,-0.0013,0.0024,0.003,0.0057
20,0.02,-0.0024,-0.0025,-0.0053,-0.0005,-0.0091,-0.0032
21,0.021,-0.0005,0.0015,0.0024,-0.003,-0.0007,-0.0144
22,0.022,-0.0001,0.002,0.0014,-0.0041,0.0161,-0.0037
23,0.023,0.0003,0.0031,0.0004,-0.0037,-0.0041,-0.0024
24,0.024,0.0029,-0.0008,-0.0024,-0.0094,-0.0068,-0.0211
25,0.025,0.0019,-0.0003,0.0002,-0.0068,-0.0044,-0.0074
26,0.026,-0.0005,0.0057,0.0023,0.0002,-0.0065,-0.0097
27,0.027,0.0009,0.0031,-0.0013,-0.0007,-0.0004,0.0014
28,0.028,-0.0024,-0.0006,-0.003,0.0035,0.0014,0.0034
29,0.029,0.0037,0.0029,-0.0025,0.0042,-0.0003,-0.0059
30,0.03,-0.0005,0.0023,-0.003,-0.0023,0.0072,-0.011
31,0.031,0.0017,0.0028,-0.0052,-0.0064,0.0057,0.0089
32,0.032,0.0024,-0.003,-0.0023,-0.0027,0.0068,0.006
33,0.033,0.0024,0.0036,-0.0015,-0.005,0.0054,0.019
34,0.034,-0.0007,0.0029,-0.0057,-0.0001,0.0063,0.0115
35,0.035,-0.0001,-0.0007,-0.0017,0.0029,0.0051,0.0048
36,0.036,0.0014,-0.0002,0.0009,-0.0012,-0.0089,-0.0054
37,0.037,0.001,0.0015,0.002,0.0065,0.0052,0.0075
38,0.038,-0.0054,-0.0063,-0.0009,0.0033,-0.0042,-0.0078
39,0.039,-0.0062,0.0015,0.0042,0.0043,0.0041,-0.0057
40,0.04,-0.0003,-0.0016,0.0021,0.0034,0.0025,0.0035
41,0.041,0.0004,0.003,-0.001,0.0026,-0.01,-0.0218
42,0.042,0.001,-0.0012,-0.0005,0.0019,-0.0084,-0.0758
43,0.043,-0.0007,-0.0006,0,0.0012,-0.0099,-0.1451
44,0.044,-0.0012,-0.0026,0.0042,-0.0018,-0.0223,-0.0028
45,0.045,-0.0007,0.0017,0.0025,0.001,0.0029,0.0575
46,0.046,-0.0038,-0.0047,-0.0011,0.0025,0.0063,0.0387
47,0.047,-0.0009,0.0047,0.0058,0.0022,-0.0036,0.0217
48,0.048,0.0033,0.0035,0.0028,0.001,-0.0124,0.0366
49,0.049,0.0015,-0.002,0.0036,0.0006,0.0066,0.05
50,0.05,-0.001,0.0032,0.001,0.0058,0.0088,0.0371
51,0.051,0.0011,-0.0013,-0.0012,0.0021,0.0107,0.0482
52,0.052,-0.0028,-0.0005,-0.0005,-0.0028,0.0005,0.0169
53,0.053,0.0007,0.0002,-0.0022,0.0029,-0.0089,0.0073
54,0.054,-0.0024,0.0009,-0.0017,-0.0008,0.0028,-0.0014
55,0.055,0.0005,-0.0021,-0.0022,-0.0001,0.0041,0.0063
56,0.056,-0.0014,0.0044,-0.0083,0.0016,-0.0056,-0.0008
57,0.057,-0.0038,-0.0015,-0.004,0.0021,-0.0195,-0.0072
58,0.058,-0.0029,-0.0008,-0.0018,-0.0004,-0.0139,-0.0128
59,0.059,-0.0054,-0.0015,0.0002,-0.0034,0.0079,-0.0075
60,0.06,-0.01,0.0016,0.0019,-0.0072,-0.001,-0.0027
61,0.061,-0.0158,-0.0001,-0.0022,-0.0014,-0.0091,0.0017
62,0.062,-0.0058,0.0004,0.0014,-0.0051,-0.0263,0.0135
63,0.063,-0.0018,-0.0007,0.0002,-0.003,-0.0596,0.0027
64,0.064,-0.0056,-0.0027,0.0005,0.0012,-0.1314,-0.007
65,0.065,0.0022,0.0024,0.0015,-0.0028,-0.0374,0.0018
