Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0033,-0.0052,-0.0197,0.0048,0.0011,-0.0135
1,0.001,-0.0005,0.0012,-0.023,0.0125,-0.0004,-0.0073
2,0.002,-0.0002,0.0113,-0.0217,0.0055,-0.0018,-0.0054
3,0.003,-0.0006,0.0152,-0.0253,-0.0389,0.0082,0.0063
4,0.004,0.0079,0.0142,-0.024,-0.0751,0.0029,0.0006
5,0.005,0.0027,0.0103,-0.0238,-0.1032,-0.0014,0.0051
6,0.006,0.0033,0.0046,-0.0237,-0.0439,0.0071,-0.0019
7,0.007,0.0015,0.0055,-0.0228,0.0108,0.0013,-0.0081
8,0.008,0.0066,0.0009,-0.0212,0.0178,0.0147,0.0088
9,0.009,0.0016,0.0033,-0.0168,-0.0142,0.0051,0.0063
10,0.01,-0.0001,0.0026,-0.0063,-0.0428,0.0132,0.0084
11,0.011,0.0015,-0.001,0.001,-0.0684,0.0235,-0.0019
12,0.012,0.0009,-0.0053,0.0106,-0.0339,0.0024,-0.0038
13,0.013,-0.0061,-0.0012,0.019,0.0322,-0.0424,0.0045
14,0.014,-0.0113,-0.0038,0.024,0.0415,-0.1384,-0.0123
15,0.015,-0.0121,-0.0016,0.0196,0.0499,-0.0133,-0.0145
16,0.016,-0.0096,-0.0005,0.0071,0.0575,0.0366,-0.0245
17,0.017,-0.0012,-0.0031,0.0136,0.0924,0.0211,-0.0115
18,0.018,-0.0044,-0.0007,0.025,0.0727,0.0345,0.0002
19,0.019,-0.0035,0.0002,0.0323,-0.0035,0.0464,-0.0044
20,0.02,-0.0081,0.0003,0.0266,-0.0756,0.0117,-0.0004
21,0.021,-0.0022,0.0004,0.0216,-0.1971,0.0217,-0.0042
22,0.022,0.0014,0.0031,0.0218,-0.2452,0.0308,-0.001
23,0.023,0.0033,0.002,0.0218,-0.1368,0.0218,0.0019
24,0.024,0.0089,0.0009,0.0053,-0.0666,0.0293,0.0102
25,0.025,0.0036,-0.0034,0.0024,-0.0034,0.0219,0.0132
26,0.026,0.0041,-0.0017,0.0158,0.0081,0.0025,0.0078
27,0.027,0.0023,-0.0058,0.0243,-0.0021,0.0196,0.0067
28,0.028,0.0074,-0.0043,0.0218,0.0262,0.0036,0.0108
29,0.029,0.0024,-0.0039,0.0287,0.0346,0.0178,0.0037
30,0.03,0.004,-0.0036,0.0266,0.0421,-0.0042,-0.0067
31,0.031,0.0034,-0.0026,0.0322,0.0348,0.0075,-0.0274
32,0.032,0.0018,0.0026,0.037,0.0282,-0.0034,-0.0719
33,0.033,0.0059,0.0077,0.0374,0.0222,-0.0002,-0.1679
34,0.034,0.003,-0.0029,0.036,0.0378,-0.015,-0.0425
35,0.035,-0.0028,-0.0014,0.0413,0.0614,0.0041,0.0412
36,0.036,-0.0035,-0.0055,0.0507,0.0478,0.0018,0.0257
37,0.037,0.0028,-0.0018,0.0514,0.0513,0.0039,0.0393
38,0.038,0.0002,-0.0028,0.0371,0.0473,-0.0021,0.0513
39,0.039,0.0024,-0.0018,0.0091,0.0307,0.0072,0.0394
40,0.04,0.0003,0.0009,-0.0109,0.0036,-0.0012,0.0288
41,0.041,0.0007,0.0034,-0.0073,0.0286,0.0003,0.0192
42,0.042,0.0024,0.0055,-0.004,0.0252,0.0073,0.0447
43,0.043,0.0028,0.009,-0.0067,0.0278,0.0011,0.0211
44,0.044,0.0024,0.0047,-0.0092,0.0413,-0.0044,0.0138
45,0.045,0.0052,0.0052,-0.0114,0.0631,0.0029,0.02
46,0.046,0.0026,-0.0026,-0.0045,0.0834,0.0003,0.0141
47,0.047,0.0035,0.0006,-0.0063,0.0966,-0.0038,0.0088
48,0.048,0.0011,0.0016,-0.0078,0.079,-0.0044,-0.0056
49,0.049,0.0024,-0.003,-0.0057,0.0452,-0.0078,-0.0013
50,0.05,0.0007,-0.0005,-0.0099,-0.0273,-0.0118,0.0026
51,0.051,0,-0.0027,-0.0108,-0.1618,-0.0076,-0.0082
52,0.052,-0.0014,-0.0047,-0.0091,-0.0688,-0.0027,0.0016
53,0.053,0.0005,0.0048,-0.0054,-0.0182,0.0068,0.0044
54,0.054,0.0026,0.0007,-0.0019,-0.0029,-0.0026,0.0071
55,0.055,-0.0016,-0.003,-0.0097,0.0109,0.0037,0.0047
56,0.056,0.0001,-0.004,-0.0081,0.0233,-0.0086,0.0069
57,0.057,0.0006,-0.0009,-0.0085,-0.0111,-0.0068,-0.0032
58,0.058,-0.0019,0.0018,-0.007,-0.1042,0.001,0.0172
59,0.059,-0.0031,0.0009,-0.0089,-0.1408,-0.0029,0.0144
60,0.06,-0.0011,0.0002,-0.0089,-0.0827,0.0034,0.0021
61,0.061,-0.0029,0.0051,-0.0046,-0.0303,-0.0089,0.0043
62,0.062,-0.0012,0.0055,-0.0081,-0.0393,0.003,-0.0098
63,0.063,0.0011,0.0014,-0.0115,-0.0131,-0.0015,0.0069
64,0.064,-0.0031,-0.0011,-0.0092,-0.0359,-0.0055,-0.0132
65,0.065,-0.0014,-0.0014,-0.0074,-0.0142,-0.0092,-0.005
66,0.066,0.0003,-0.0011,-0.0088,0.0053,-0.0035,-0.0073
67,0.067,-0.0054,0.0024,-0.0124,0.0111,0.0019,-0.0227
68,0.068,0.0016,0.0028,-0.0077,0.0061,0.0066,-0.0123
69,0.069,0.0025,0.0016,-0.0066,-0.0081,-0.0011,-0.0177
70,0.07,0.0034,0.0041,-0.0112,-0.0123,-0.0124,-0.0091
71,0.071,0.0012,0.0051,-0.0029,0.0076,-0.0015,-0.0043
72,0.072,0.0076,0.0047,-0.0077,0.0328,0.0001,-0.0028
73,0.073,0.0018,0.0017,-0.0081,0.0423,-0.001,0.001
74,0.074,-0.0019,-0.003,-0.0019,0.0274,0.0022,-0.0044
75,0.075,0.0017,-0.0025,-0.0053,0.0194,0.0052,0.0114
76,0.076,0.0034,-0.0053,-0.0099,0.0367,0.0116,0.0049
77,0.077,0.0006,-0.0027,-0.0078,0.0432,0.0056,0.0111
78,0.078,-0.0051,-0.0024,-0.0104,0.0128,0.0048,-0.0019
79,0.079,-0.0119,-0.0035,-0.0034,-0.0001,0.0012,-0.0034
80,0.08,-0.0073,-0.0024,-0.0095,0.02,0.0016,-0.0048
81,0.081,-0.0046,-0.0027,-0.0085,0.0308,-0.0072,0.0022
82,0.082,-0.0024,0.0024,-0.0076,0.0538,-0.0084,-0.0064
83,0.083,-0.0059,0.0004,-0.0054,0.0565,-0.0029,-0.0119
84,0.084,-0.0016,-0.0026,-0.0069,0.0155,-0.0082,-0.0128
85,0.085,0.0037,-0.0009,-0.0085,0.0212,0.0019,-0.0134
86,0.086,0.0044,0.0007,-0.0049,0.0054,-0.0051,-0.0003
87,0.087,0.0061,0.0019,-0.0118,-0.0476,-0.0015,-0.0019
88,0.088,0.0066,0.0007,-0.0108,0.0022,-0.0071,0.0033
89,0.089,0.003,0.0033,-0.0081,0.0471,-0.0041,0.005
90,0.09,0,0.0009,-0.0124,0.0178,0.0003,-0.0044
91,0.091,0.0004,-0.0041,-0.0162,-0.0301,0.0044,0.0146
92,0.092,0.0046,-0.002,-0.0156,-0.0622,0.0064,0.0173
93,0.093,0.003,0.0023,-0.0088,-0.0328,-0.0001,0.0101
94,0.094,0.0035,0.0052,-0.0097,-0.0485,0.0039,0.0036
95,0.095,0.0038,-0.0005,-0.0124,-0.1111,0.0031,-0.0022
96,0.096,0.0027,-0.0011,-0.0089,-0.102,-0.0034,-0.0002
97,0.097,-0.003,-0.0018,-0.0139,-0.0473,-0.001,0.0049
98,0.098,-0.0022,-0.0022,-0.0099,-0.0259,0.0025,-0.0057
99,0.099,0.0001,0.0007,-0.0117,0.0321,-0.0082,0.0039
100,0.1,0.0036,0.0002,-0.0145,0.0241,-0.0099,-0.0149
101,0.101,-0.0006,0.0014,-0.0143,0.0025,-0.0004,-0.0121
102,0.102,-0.0035,-0.0014,-0.0081,0.0085,-0.0017,-0.0048
