Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0053,0.0002,0.0024,-0.0003,0.0062,0.0011
1,0.001,0.0024,-0.0073,-0.0003,0.0046,-0.005,-0.0008
2,0.002,-0.0001,-0.0041,0.0073,-0.0048,0.0026,-0.0106
3,0.003,-0.003,-0.0032,0.0102,-0.006,-0.0069,-0.0011
4,0.004,-0.0033,-0.0023,0.0074,-0.0172,0.0045,-0.0058
5,0.005,-0.0068,-0.0059,0.0131,-0.0216,-0.0091,-0.0127
6,0.006,-0.007,-0.0022,0.0107,-0.0146,0.0043,-0.0079
7,0.007,-0.0006,0.002,0.0042,-0.0082,-0.0074,-0.0062
8,0.008,0.0003,0.0004,0.0017,-0.0091,-0.0057,-0.0028
9,0.009,0.0046,-0.001,-0.002,-0.01,-0.0043,-0.0073
10,0.01,0.0009,0.0041,-0.0027,-0.0091,0.0019,0.0018
11,0.011,0.0003,0.0049,-0.0031,-0.0048,-0.0058,-0.0009
12,0.012,0.0009,0.0044,-0.0026,0.0053,-0.0005,0.0004
13,0.013,0.0004,-0.0007,-0.0051,0.004,-0.0013,0.0051
14,0.014,-0.0031,-0.007,-0.0008,-0.0022,0.0115,0.0076
15,0.015,0.0012,0.0008,-0.0013,-0.001,0.0021,0.0025
16,0.016,-0.0039,0.0019,-0.006,0.0001,-0.0029,-0.0022
17,0.017,-0.0003,-0.0026,-0.0054,-0.0025,-0.0014,0.0009
18,0.018,-0.0044,-0.005,-0.0058,-0.0015,-0.0001,-0.0008
19,0.019,-0.0026,0.0003,-0.0022,0.0055,0.001,-0.0003
20,0.02,-0.003,0.0011,-0.001,0.0048,-0.0023,0.0039
21,0.021,-0.0008,-0.0031,-0.0014,0.004,-0.0053,-0.0048
22,0.022,-0.0019,0.0022,0.0005,0.0064,-0.0045,0.0014
23,0.023,0.0007,0.003,-0.0005,0.0045,-0.0021,-0.0088
24,0.024,0.0018,-0.0011,-0.0029,0.0015,-0.0014,0.0008
25,0.025,0.0035,-0.0016,-0.0015,0.0012,-0.0008,0.012
26,0.026,-0.0007,-0.0062,-0.0048,0.0038,-0.0051,0.0132
27,0.027,0.0036,-0.0018,-0.0044,-0.0022,-0.0024,0.0006
28,0.028,-0.0004,-0.0012,-0.0064,0.0004,0.0023,0.0089
29,0.029,0.0011,-0.0006,-0.0045,0.0043,0.0039,0.0041
30,0.03,-0.0049,-0.0036,0.0001,0.0121,-0.005,0.0026
31,0.031,0.0011,0.0004,0.0058,0.0091,0.0011,-0.0013
32,0.032,0.0004,-0.0043,0.0079,0.0084,0.0019,-0.0025
33,0.033,0.0011,-0.0012,0.0059,0.0059,0.007,0.0066
34,0.034,0.0028,-0.0016,0.0053,0.0081,-0.0016,-0.0049
35,0.035,0.0011,-0,0.0048,0.0046,-0.0007,0.0055
36,0.036,-0.0003,0.0003,0.0032,-0.0023,0.0043,0.0038
37,0.037,0.0027,0.0068,0.0053,-0.0031,-0.0004,-0.0102
38,0.038,0.003,0.0059,0.0006,-0.0022,-0.0083,-0.0086
39,0.039,-0.0027,-0.0018,-0.0063,-0.0106,-0.0094,0.0096
40,0.04,-0.0018,-0.0007,-0.0107,-0.0096,-0.005,0.0116
41,0.041,-0.0011,0.0002,-0.0065,-0.0105,-0.0043,0.0001
42,0.042,-0.0018,0.0011,-0.0043,-0.0151,-0.0022,-0.0022
43,0.043,-0.0023,0.0018,-0.0036,-0.0142,-0.003,0.003
44,0.044,0.0028,0.0019,0.0018,-0.0075,-0.0066,-0.0047
45,0.045,0.0045,-0.0029,0.0048,-0.0068,-0.005,-0.0034
46,0.046,0.0029,-0.0034,-0.0016,-0.0018,0.0036,0.0069
47,0.047,0.0059,-0.0017,0.0042,0.0039,-0.0104,0.0025
48,0.048,-0.0005,-0.0032,0.0035,-0.003,-0.0012,0.0057
49,0.049,-0.005,0.0011,0.0015,-0.0021,-0.0064,-0.0024
50,0.05,-0.0025,-0.0006,0.0031,0.0021,-0.005,-0.0163
51,0.051,-0.0003,0.0009,0.0014,-0.0031,0.01,0.0112
52,0.052,0.0017,-0.0003,-0.0033,0.0033,-0.0207,-0.0488
53,0.053,-0,0.0044,0.0024,0.0057,-0.0865,-0.177
54,0.054,-0.0005,0.0013,0.0045,0.0141,-0.1523,-0.2307
55,0.055,-0.0001,-0.0016,0.0009,0.0129,-0.0229,-0.0122
56,0.056,-0.0043,-0.0021,0.0004,0.0076,0.0692,0.0761
57,0.057,-0.0083,-0.0018,-0.0001,0.0102,0.0521,-0.1667
58,0.058,-0.0058,-0.0014,0.0004,0.0143,0.0669,-0.1981
59,0.059,-0.0028,-0.005,-0.0027,0.0058,0.0251,-0.0489
60,0.06,-0.0024,-0.0046,0.002,0.0047,0.0373,0.1393
61,0.061,-0.0021,0.0018,0.0036,0.0037,0.0256,0.1136
62,0.062,-0.0073,-0.0047,0.0007,-0.0028,0.0357,0.1345
63,0.063,-0.0142,-0.0038,-0.0019,-0.0122,0.026,0.113
64,0.064,-0.0169,-0.0045,-0.0022,-0.0158,0.0001,0.0569
65,0.065,-0.0091,0.0032,-0.0019,-0.0147,0.039,0.1062
66,0.066,-0.006,0.0062,-0.0037,-0.0032,0.0175,0.0901
67,0.067,0.0004,0.0035,0.0015,-0.0078,0.0238,0.0754
68,0.068,0.0046,-0.0008,-0.0023,-0.0173,0.0063,0.0622
69,0.069,0.0024,0.0029,-0.0043,-0.0136,0.0115,0.0274
70,0.07,0.0003,-0.0021,-0.0001,-0.0212,0.0067,0.0168
71,0.071,0.0045,-0.009,0.0063,-0.0159,0.0024,0.026
72,0.072,0.005,-0.0098,0.0037,-0.0113,-0.0175,0.0001
