Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0031,0.0019,0.001,0.0029,0.0065,-0.0016
1,0.001,0.0011,0.0011,0.0061,-0.0029,0.0095,0.002
2,0.002,0.0015,0.0019,0.0081,-0.0007,-0.0021,-0.0059
3,0.003,-0.0023,0.0013,0.0086,-0.0028,0.0053,-0.0069
4,0.004,0.0024,0.003,0.0069,-0.0011,-0.0017,-0.0061
5,0.005,-0.0069,0.0014,0.0104,0.0006,0.0018,-0.0104
6,0.006,-0.0028,-0.0032,0.0035,0.002,-0.0015,-0.011
7,0.007,-0.0016,0.0011,0.0005,-0.0041,-0.0069,-0.0127
8,0.008,0.0017,0.0087,0.0015,-0.0049,-0.0042,-0.0165
9,0.009,0.0027,0.0077,0.0057,-0.0012,0.0034,-0.0076
10,0.01,-0.0036,0.0013,0.0051,0.0008,0.0002,-0.004
11,0.011,0.0006,-0.0028,0.0016,0.0049,0.0064,-0.0118
12,0.012,-0.003,0.0025,0.0059,0.0031,-0.0015,0.0016
13,0.013,0.0006,0.0032,0.0007,0.0108,0.0035,-0.0041
14,0.014,0.0001,0.0038,0.0015,0.0161,-0.0012,-0.006
15,0.015,0.0018,0.0033,-0.0001,0.0149,-0.0056,0.0014
16,0.016,0.0033,-0.0023,0.0005,0.0102,-0.002,-0.0058
17,0.017,0.0022,-0.0029,-0.0041,0.0076,0.0084,-0.0024
18,0.018,0.0002,0.0007,-0.0034,0.0126,-0.0024,-0.0016
19,0.019,-0.0017,0.0102,-0.0028,0.0061,0.0043,0.0011
20,0.02,-0.0048,0.0007,-0.0012,-0.0017,0.0003,-0.0131
21,0.021,-0.0043,-0.008,-0.0071,0.0013,-0.0009,-0.0073
22,0.022,-0.0018,-0.0068,-0.0044,0.0021,-0.002,-0.0058
23,0.023,0.0022,-0.0077,-0.0036,0.0012,-0.0031,-0.0144
24,0.024,0.0007,-0.0048,-0.0084,0.008,-0.0007,-0.0071
25,0.025,-0.0015,-0.0055,-0.0013,0.0015,-0.0016,-0.0005
26,0.026,0.0043,-0.0064,-0.0028,0.0027,0.0014,0.0003
27,0.027,-0.0004,-0.0041,-0.0018,0.0051,-0.0008,-0.0038
28,0.028,-0.0021,-0.006,-0.0026,-0.0002,0.0072,-0.001
29,0.029,-0.0025,-0.0028,-0.0018,0.0018,-0.0008,-0.0086
30,0.03,0.001,-0.0011,-0.0053,0.0013,0.002,-0.0097
31,0.031,-0.0011,-0.0045,-0.0069,-0.0005,0.0045,-0.0092
32,0.032,0.0001,-0.0032,-0.0027,-0.004,-0.0084,-0.0117
33,0.033,-0.0024,-0.002,-0.0012,-0.0052,0.0154,-0.0014
34,0.034,-0.0007,-0.0023,-0.0041,-0.0099,-0.034,-0.0246
35,0.035,0.001,0.0023,-0.0029,-0.0093,-0.1397,-0.0738
36,0.036,0.0003,0.0029,0.0013,-0.0168,-0.1537,-0.1793
37,0.037,0.001,0.0012,-0.0003,-0.0115,0.0267,-0.0113
38,0.038,0.0016,0.0069,-0.005,-0.0106,0.0507,0.0995
39,0.039,-0.0016,0.0031,-0.0066,-0.0114,0.0722,0.0781
40,0.04,0.0006,0.001,-0.0002,-0.0182,0.0513,0.0588
41,0.041,-0.0022,0.0005,-0.0027,-0.0154,-0.0043,0.008
42,0.042,0.0013,-0,-0.0005,-0.0076,0.0456,0.0531
43,0.043,0.0001,0.0005,0.003,-0.0024,0.03,0.0386
44,0.044,-0.0019,-0.0026,0.0035,-0.0032,0.0434,0.0504
45,0.045,-0.0037,-0.0037,0.0017,-0.0007,0.0305,0.0383
46,0.046,-0.0089,-0.0047,-0.0018,0.0014,0.0188,0.048
47,0.047,-0.0157,-0.0092,-0.0015,0.0007,0.0288,0.038
48,0.048,-0.0054,-0.005,-0.0019,0.0076,-0.0185,-0.0224
49,0.049,-0.0067,-0.0044,-0.0037,0.0102,0.0244,0.0163
50,0.05,-0.0055,-0.0079,-0.0006,0.0092,0.0164,0.023
51,0.051,-0.0044,-0.009,-0.0003,0.007,0.0091,0.0163
52,0.052,0.005,-0.0061,-0.0022,0.0033,0.0026,0.0103
53,0.053,0.0037,-0.0058,-0.0019,0.005,0.0083,0.0152
54,0.054,0.0005,-0.0096,-0.0029,0.0054,0.003,-0.0572
55,0.055,0.0015,-0.0038,-0.0071,0.0038,0.0076,-0.2121
56,0.056,0.006,0.0076,-0.0088,0.0079,-0.0143,-0.1885
57,0.057,0.0034,0.0058,-0.0093,0.005,-0.034,-0.0053
58,0.058,0.0012,0.0102,-0.0016,-0.0028,0.006,0.068
59,0.059,0.0018,0.0005,-0.0049,-0.0038,0.0008,0.0896
60,0.06,0.0013,-0.0032,-0.0039,-0.0028,-0.0039,0.0688
61,0.061,0.0077,-0.0022,0.0024,-0.0036,-0.0344,0.0133
62,0.062,0.0017,0.0029,-0.0019,-0.0011,0.0095,0.0633
63,0.063,0.0024,0.0056,0.0002,-0.0018,0.0038,0.0478
64,0.064,0.0043,0.0165,0.0037,0.0002,0.009,0.0338
65,0.065,0.0013,0.0088,0.0052,-0.0003,0.0043,0.0462
66,0.066,0.0018,-0.0093,0.0046,0.0061,-0.0262,0.0117
67,0.067,0.0012,-0.0069,0.005,0.0069,0.0017,0.0015
68,0.068,0,-0.0004,0.007,0.0061,0.0053,0.0299
69,0.069,-0.0055,0.0056,0.0057,0.0012,0.0021,0.0214
70,0.07,-0.0033,-0.0038,0.0031,-0.0005,-0.0007,0.0137
71,0.071,-0.0026,-0.0021,0.0062,-0.0001,0.0074,0.0068
72,0.072,0.0004,-0.0068,0.004,0.0024,-0.0097,0.0006
73,0.073,-0.0001,-0.0028,0.0065,0.0027,0.0015,-0.0049
74,0.074,0.0034,0.0009,0.0011,-0.0012,-0.0004,0.0007
75,0.075,0.0012,0.0018,0.0017,-0.0028,-0.0022,-0.0133
76,0.076,0.0032,0.0069,0.0037,0.0002,0.003,0.0002
77,0.077,-0.0011,0.0005,0.0031,-0.0002,0.0016,-0.0033
78,0.078,-0.0005,0.0063,0.0059,0.0033,0.0112,-0.0065
79,0.079,0.002,0.004,0.0073,0.0063,-0.0025,-0.0029
80,0.08,0.0023,0.0033,0.0042,0.0007,-0.0043,-0.0054
81,0.081,0.0026,0.0027,0.007,0,-0.0025,-0.0023
82,0.082,0.0029,0.001,0.0033,-0.002,0.0022,-0.0142
83,0.083,0.0039,-0.0067,0.003,0.001,-0.0017,-0.0072
84,0.084,0.0029,-0.0077,-0.0009,0.005,0.0021,-0.0128
85,0.085,-0.0013,0.008,-0.0015,0.0035,-0.0081,-0.0179
86,0.086,0.0029,0.0281,-0.0037,-0.0007,-0.0068,-0.0125
87,0.087,-0.0011,0.0306,0.0002,0.0009,-0.003,-0.0045
88,0.088,0.0014,0.0232,-0.0003,0.0004,0.0004,-0.0136
89,0.089,0.0002,0.0076,-0.0006,-0.0017,0.0016,-0.0142
90,0.09,0.0023,0.0015,-0.001,-0.0037,-0.0045,-0.0146
91,0.091,-0.0012,-0.004,-0.002,-0.0018,-0.0138,-0.0151
92,0.092,-0.0042,-0.0023,-0.0016,-0.002,-0.0023,-0.0119
93,0.093,-0.0038,-0.0068,-0.0019,-0.0016,-0.0097,-0.0139
94,0.094,0.002,-0.0081,-0.0005,-0.0029,0,-0.0097
95,0.095,0.0012,-0.0117,0.0033,-0.0057,-0.0111,0
96,0.096,0.0005,-0.0172,0.0017,-0.0037,-0.0064,-0.0083
97,0.097,-0.0043,-0.0181,-0.0051,-0.0005,-0.0023,-0.0021
98,0.098,-0.0038,-0.0171,-0.0023,-0.0001,-0.001,0.0058
99,0.099,-0.0032,-0.0178,-0.0031,-0.001,0.0093,0.0054
100,0.1,-0.0016,-0.0108,-0.0024,0.0029,0.0106,-0.0021
101,0.101,-0.0019,-0.0061,-0.0003,0.0025,-0.0005,0.014
102,0.102,-0.0031,-0.0001,-0.0008,0.0028,-0.0016,0.0036
103,0.103,-0.0027,0.0021,-0.0012,0,0.0028,-0.0057
104,0.104,0.0012,0.0086,0.0035,0.0043,-0.0034,-0.0033
105,0.105,0.0028,0.0028,-0.0006,-0.0009,0.0044,-0.0082
106,0.106,0.0025,0.0021,-0.0001,-0.0015,-0.005,0.0026
107,0.107,0.0005,0.0086,0.0015,-0.0019,0.0038,-0.0098
108,0.108,0.0002,0.0027,0.0019,0.0022,0.0006,-0.0009
109,0.109,0.0019,-0.0009,0.0022,-0.0025,-0.0066,-0.0051
110,0.11,0.0009,0.0055,-0.0002,-0.0066,0.0055,0.0049
111,0.111,0.0002,0.008,-0.0005,-0.0049,-0.0029,0.0014
112,0.112,-0.0014,0.0027,0.0013,-0.0033,0.0047,0.0048
113,0.113,-0.0026,0.0034,-0.0024,0.0018,-0.0022,0.0019
