Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0014,-0.001,0.0013,-0.0003,0.0004,-0.0023
1,0.001,0.0005,-0.0016,0.0038,-0.0014,-0.0006,0.0016
2,0.002,-0.0026,-0.0032,-0.0015,-0.0023,0.0057,0.0025
3,0.003,-0.0005,-0.0047,-0.0035,0.001,0.0031,0.0099
4,0.004,0.0014,-0.0041,-0.0019,0.0031,0.0023,0.0003
5,0.005,0.0005,-0.001,-0.0048,0.0007,0.0128,-0.0087
6,0.006,0.0029,0.0054,-0.0064,-0.0044,0.002,-0.0079
7,0.007,-0.0001,0.0027,-0.0042,-0.0006,-0.0076,-0.0052
8,0.008,0.0019,0.0019,-0.0055,-0.0026,-0.0015,-0.001
9,0.009,-0.0005,0.0013,0.0002,-0.0055,-0.0071,-0.0072
10,0.01,0.0006,0.002,-0.0041,-0.0049,-0.0081,-0.0082
11,0.011,-0.0004,-0.001,0.0042,-0.0052,-0.0054,-0.0049
12,0.012,-0.0002,0.0066,0.0031,-0.0073,-0.0064,-0.0095
13,0.013,0.0023,-0.0028,-0.0064,-0.0118,-0.0027,-0.0127
14,0.014,0.0013,0.0009,-0.0003,-0.0059,0.002,-0.0053
15,0.015,0.0012,0.0041,-0.0081,-0.0065,-0.0011,0.0046
16,0.016,0.0001,0.0051,-0.0029,0,-0.0018,-0.0055
17,0.017,-0.0035,0.0024,0.0015,0.0095,-0.0086,0.0003
18,0.018,-0.0029,-0.0001,0.0023,0.0156,0.0015,-0.0034
19,0.019,-0.0006,0.0006,0.0015,0.0053,0.0026,-0.0049
20,0.02,-0.0002,0.0013,-0.0006,0.004,0.0012,0.003
21,0.021,0.004,0.0018,-0.005,0.0003,0.0065,-0.0053
22,0.022,0.0012,0.0013,-0.0022,0.0036,0.0156,-0.0067
23,0.023,-0.0013,-0.0002,-0.0058,-0.0016,0.0015,-0.0081
24,0.024,-0.0001,0.0039,-0.0017,-0.0007,0.0031,-0.0144
25,0.025,0.0028,0.0022,-0.0058,-0.0015,-0.0021,-0.017
26,0.026,-0.0002,0,-0.0029,-0.0033,0.0007,-0.01
27,0.027,0.0009,-0.0015,-0.0025,0.0005,0.002,-0.014
28,0.028,0.0005,-0.0018,-0.0048,0.0012,-0.0023,-0.0139
29,0.029,-0.0038,0.001,-0.0037,0.0017,-0.0036,-0.0195
30,0.03,-0.0054,-0.0015,-0.0073,-0.0011,0.0039,-0.0092
31,0.031,-0.0007,-0.0047,-0.0043,-0.0006,-0.0016,-0.0081
32,0.032,-0.0002,-0.0018,-0.0024,-0.0036,-0.0101,-0.021
33,0.033,-0.0007,0.0024,-0.005,-0.0023,0.0045,0.0039
34,0.034,-0.0042,0.0028,-0.0054,-0.002,-0.0261,-0.0508
35,0.035,-0.0102,0.0013,-0.0005,-0.0036,-0.0916,-0.1671
36,0.036,-0.016,-0.001,0.0001,-0.0019,-0.1567,-0.4162
37,0.037,-0.0107,-0.0013,0.003,-0.0017,-0.0273,0.052
38,0.038,-0.0071,-0.0064,0.0046,0.0006,-0.0089,0.1145
39,0.039,-0.0029,-0.017,-0.0012,-0.0004,-0.1258,-0.1748
40,0.04,-0,-0.0244,0.0056,0.0033,-0.1098,-0.1213
41,0.041,-0.0016,-0.0256,0.0047,0.0018,0.0426,0.0223
42,0.042,0.0006,-0.0167,0.0071,0.0014,0.1024,0.2383
43,0.043,0.0002,-0.0111,0.0077,0.001,0.0831,0.1967
44,0.044,0.002,-0.0162,0.004,-0.0009,0.0656,0.1591
45,0.045,0.0016,-0.0264,0.0009,-0.0032,0.0801,0.125
46,0.046,0.0005,-0.0166,-0.0032,-0.0015,0.038,0.0943
47,0.047,0.0018,-0.0053,0.0045,-0.0034,0.0251,0.0665
48,0.048,0.0019,0.0022,0.0076,-0.0036,0.0362,0.0902
49,0.049,0.0024,0.0062,0.0044,-0.0073,0.046,0.0672
50,0.05,0.0037,0.0049,0.0089,-0.013,0.0362,0.0867
51,0.051,0.0022,0.0058,0.0063,-0.0166,0.0101,0.0309
52,0.052,0.001,0.0088,0.0131,-0.0073,0.0331,0.014
53,0.053,0.002,0.0132,0.0121,-0.001,0.0258,0.0595
54,0.054,0.0006,0.0088,0.0162,-0.0043,0.0191,0.0454
55,0.055,0.001,0.0124,0.0183,0.0093,0.0246,0.0327
56,0.056,0.004,0.0102,0.0075,0.0148,0.0192,0.0211
57,0.057,-0.0009,0.0118,-0.0001,0.0029,0.0143,0.0108
58,0.058,0.0007,0.0112,0.0012,0.0013,-0.0077,0.0015
59,0.059,-0.001,0.0085,-0.0025,0.0108,-0.0194,-0.0411
60,0.06,0.0014,0.0096,0.0006,0.0044,0.0133,0.0136
61,0.061,-0.0056,0.0091,-0.0066,0.0054,-0.0086,-0.0074
62,0.062,-0.0108,0.0109,-0.0021,-0.0019,-0.0046,-0.0007
63,0.063,-0.0135,0.0069,-0.0149,-0.0028,-0.0225,-0.053
64,0.064,-0.011,0.0053,-0.0092,-0.0087,0.0073,-0.0171
65,0.065,-0.0041,0.0002,-0.0041,-0.0003,0.0034,-0.0102
