Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0012,-0.0001,0.0127,0.0027,0.0004,-0.004
1,0.001,0.0012,0.0009,0.0118,-0.0002,-0.0016,-0.0013
2,0.002,-0.0014,-0.0002,0.011,-0.0028,0.0077,0.0081
3,0.003,0.0038,0.0027,0.0059,-0.0108,0.0115,-0.0083
4,0.004,0.0001,0.0023,-0.0045,-0.0093,-0.0074,-0.0415
5,0.005,-0.0006,-0.002,-0.0027,0.0007,0.0006,0.0116
6,0.006,0.0011,-0.0004,-0.0065,-0.0051,0.0126,0.0043
7,0.007,0.0016,0.0043,-0.0099,-0.0057,0.0146,0.0232
8,0.008,0.0021,0.0011,-0.0063,-0.0082,0.0043,0.0172
9,0.009,0.0009,0.0015,-0.0091,-0.0032,0.0096,0.0116
10,0.01,0.0012,-0.0001,-0.0042,-0.0019,0.011,0.016
11,0.011,0.003,-0.0023,-0.0081,-0.0114,0.0032,0.0201
12,0.012,-0.0002,-0.0052,-0.0115,-0.0177,0.007,0.008
13,0.013,0.0018,-0.0033,-0.0047,-0.0084,0.0006,0.0043
14,0.014,-0.0001,0.0012,-0.0086,-0.0047,-0.0028,0.0012
15,0.015,-0.0046,0.0016,-0.009,-0.0012,0.0001,0.0102
16,0.016,0.0023,0.001,-0.0067,0.0038,-0.0027,0.0129
17,0.017,-0.0022,0.0034,-0.0069,0.0101,-0.0004,0.0103
18,0.018,-0.0014,0.0012,-0.0037,0.0111,0.0016,0.0078
19,0.019,-0.0036,0.0049,-0.001,0.0094,0.0063,0.0016
20,0.02,0.0042,0.0001,-0.0037,0.0102,0.0077,-0.0042
21,0.021,0.0031,0.0042,-0.0063,0.0111,-0.0001,0.0108
22,0.022,0.0057,0.0025,-0.0035,0.0036,-0.0097,0.0085
23,0.023,-0.002,0.0059,-0.0065,-0.0016,0.0089,0.0137
24,0.024,0.0031,0.0016,-0.0059,-0.0085,0.0113,0.0016
25,0.025,0.0004,-0.0002,-0.0053,-0.009,0.0038,0.0089
26,0.026,0.0046,0.0054,-0.004,-0.0078,-0.003,0.0017
27,0.027,-0.0007,0.0047,-0.0041,-0.0023,-0.0012,0.0052
28,0.028,0.0057,-0.0018,-0.0052,-0.0069,-0.0032,-0.0028
29,0.029,0.0031,0.0023,-0.0061,-0.0108,0.0016,-0.002
30,0.03,-0.0032,0.0014,-0.0092,-0.0242,-0.0013,-0.0026
31,0.031,-0.0025,-0.0008,-0.0078,-0.021,-0.003,-0.0074
32,0.032,0.0038,-0.0002,-0.0065,-0.0129,0.0009,0.0052
33,0.033,-0.0021,-0.0033,-0.0033,0.0044,-0.003,-0.008
34,0.034,0.0001,-0.0005,-0.0019,0.0069,-0.0064,0.0069
35,0.035,-0.002,-0.0041,0.004,0.0136,-0.0055,0.0045
