Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0011,0.0023,0.0006,-0.0021,-0.0057,0.0064
1,0.001,-0.0043,0.0013,0.0018,-0.0035,0.0112,0.0042
2,0.002,-0.0053,0.0004,0.0006,-0.003,0.0041,0.002
3,0.003,-0.0013,-0.0006,-0.0005,-0.0001,0.0063,0.0043
4,0.004,-0.0037,-0.003,-0.0032,0.0004,0.0002,-0.0004
5,0.005,0.0024,0.0023,0.0006,-0.0005,0.002,-0.002
6,0.006,0.003,0.0002,0.0041,-0.0008,0.007,0.001
7,0.007,0.002,-0.0031,0.001,-0.0013,-0.0006,0.0015
8,0.008,0.0037,0.0039,-0.0002,0.0004,0.0009,0.0047
9,0.009,0.0018,0.0031,0.0016,-0.0001,-0.0003,0.0018
10,0.01,0.0066,-0.0009,-0.0008,-0.0032,-0.0105,-0.0007
11,0.011,0.0083,-0.0015,-0.0005,0.0019,-0.0063,0.0045
12,0.012,0.0096,-0.0006,0.0013,-0.0015,-0.0001,-0.0007
13,0.013,0.0109,0.0012,0.0019,-0.0019,0.0075,0.0098
14,0.014,0.0058,-0.0004,0.0051,0.0034,0.0066,0.0052
15,0.015,0.0096,0.0032,-0.0014,-0.0014,0.0038,0.0038
16,0.016,0.0076,0.0012,-0.0023,0.0003,-0.0021,-0.0075
17,0.017,0.0098,-0.0007,0.0019,0.0009,0.0015,-0
18,0.018,0.0052,-0.0016,-0.0004,-0.0037,0.0034,-0.0042
19,0.019,0.0032,0.0037,-0.0025,0.0006,0.009,-0.0006
20,0.02,0.0064,0.0001,0.0005,0.0023,0.0081,0.0003
21,0.021,0.0049,0.0022,-0.0001,-0.0001,0.0002,0.0095
22,0.022,0.0017,0.0006,0.0024,0.0003,0.0012,0.003
23,0.023,0.0024,0.0047,-0.0007,0.0032,-0.0033,-0.0049
24,0.024,-0.0002,0.0001,0.0013,-0.0009,-0.0042,-0.002
25,0.025,0.0025,0.0032,0.0002,-0.0025,-0.0065,-0.003
26,0.026,0.0012,0.0004,0.0034,-0.001,-0.0046,0.0009
27,0.027,0.002,-0.001,-0.0006,0.0003,0.0036,0.0076
28,0.028,0.0027,0.0021,0.0009,-0.0017,0.0002,-0.0067
29,0.029,-0.0006,0.0015,-0.0004,-0.0045,0.0009,0.0054
30,0.03,0.0017,0.0004,-0.0035,0.0013,0.0017,-0.005
31,0.031,0.0011,-0.0021,-0.0047,-0.0029,0.0042,0.0113
32,0.032,-0.0008,-0.0017,-0.0037,0.0055,-0.0002,-0.0092
33,0.033,-0.0024,0.0008,-0.0027,0.0045,0.0049,0.0095
34,0.034,-0.0009,0.0001,0.0009,-0.0007,-0.0017,-0.0031
35,0.035,0.0001,-0.0027,-0.0042,-0.0015,0.0006,0.0077
36,0.036,0.0031,-0.0052,0.0007,-0.0023,-0.0017,0.0173
37,0.037,0.0006,-0.0005,-0.001,-0.0001,0.0001,-0.0072
38,0.038,0.0024,-0.001,-0.0006,-0.0008,0.0016,-0.0043
39,0.039,-0.0003,-0.0005,-0.0053,0.0022,-0.0073,-0.0133
40,0.04,-0.0015,0,-0.0023,0.0005,-0.0263,-0.0489
41,0.041,-0.0027,0.0012,-0.0006,-0.003,0.0145,0.0232
42,0.042,-0.0041,-0,0.0008,-0.0081,-0.0732,-0.1324
43,0.043,-0.0004,0.001,-0.0014,-0.0088,-0.1353,-0.376
44,0.044,0.0082,-0.0007,-0.0011,-0.0093,-0.1229,-0.2104
45,0.045,-0.0008,0.001,-0.0014,-0.0087,-0.0083,0.0572
46,0.046,0.0023,-0.0021,0.0024,-0.0052,0.0674,0.0921
47,0.047,0.0031,-0.0033,-0.0001,-0.0002,0.0529,0.0585
48,0.048,0.0003,-0.0023,-0.0023,-0.0066,0.0399,-0.1491
49,0.049,0.001,-0.0033,0.0005,-0.0092,0.0508,-0.1213
50,0.05,0.0002,-0.001,0.0047,-0.007,-0.0636,0.0503
51,0.051,-0.0019,-0.0052,0.0051,-0.009,0.043,0.1607
52,0.052,-0.0015,-0.0022,0.0016,-0.0008,0.0563,0.139
53,0.053,-0.001,-0.0109,0.0046,0.0023,0.0432,0.1194
54,0.054,0.0036,-0.0247,0.0093,0.0012,0.0313,0.1016
55,0.055,0.0018,-0.0301,0.0035,0.002,0,0.0854
56,0.056,0.0022,-0.0249,0.0042,0.0028,-0.0659,0.0432
