Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0009,-0.0006,0.0032,0.0019,-0.0032,-0.0045
1,0.001,-0.002,0.0064,-0.0018,-0.0056,0.0041,-0.0101
2,0.002,-0.0015,0.0018,0.0046,-0.0125,0.0032,0.0015
3,0.003,0.0038,0.001,0.0021,-0.0166,-0.001,0.0165
4,0.004,0.0017,0.0017,-0.0048,-0.0204,0.0058,0.0022
5,0.005,0.0024,0.0024,0.0036,-0.0178,0.0013,0.004
6,0.006,0.002,0.0008,-0.0019,-0.011,0.0124,0.0023
7,0.007,0.0016,-0.002,-0.0049,-0.0184,-0.0015,0.0037
8,0.008,0.0002,-0.0004,-0.0003,-0.021,0.004,0.0076
9,0.009,0.0025,0.0019,0.0022,-0.016,0.0024,0.0063
10,0.01,-0.0002,0.0008,-0.0015,-0.0098,0.0039,0.0071
11,0.011,0.0057,0.0011,-0.0008,-0.0088,-0.0054,-0.0022
12,0.012,0.0032,-0.0027,-0.0002,-0.0009,0.0011,0.0046
13,0.013,0.0012,-0.0062,0.005,-0.0017,0.0003,0.0017
14,0.014,0.0033,-0.0039,0.0001,-0.0006,-0.0026,-0.0077
15,0.015,0.0018,-0.005,0.0007,0.0021,0.0038,-0.0015
16,0.016,-0.001,-0.0014,-0.001,0,0.0062,0.0016
17,0.017,0.0007,-0.0025,0.0048,0.0037,0.004,0.0005
18,0.018,-0.0022,0.003,-0.0051,0.0044,0.0035,0.0067
19,0.019,0.0027,-0.0053,-0.0037,0.005,-0.0035,0.004
20,0.02,-0.0002,0.0003,-0.0025,-0.0006,0.0104,0.0059
21,0.021,0.0004,0.0013,0.0031,0.0032,0.0042,0.0063
22,0.022,-0.0041,0.004,0.0001,0.0054,0.0023,0.0154
23,0.023,-0.0009,0.0015,-0.0007,-0.0002,0.0039,0.019
24,0.024,-0.0037,0.0037,0.0019,-0.0069,0.0083,0.0023
25,0.025,-0.004,-0.0012,0.0013,-0.0094,0.0095,-0.0002
26,0.026,-0.0042,0.0045,-0.0007,-0.0033,0.0056,0.0015
27,0.027,-0.0012,0.0008,-0.0002,0.0021,0.0132,0.0067
28,0.028,-0.0007,0.0043,0.0004,-0.0042,0.0037,0.0013
29,0.029,-0.0051,0.0038,0.002,-0.0031,-0.0001,-0.0006
30,0.03,-0.0033,0.0021,0.0051,-0.0008,0.01,-0.0049
31,0.031,-0.0027,-0.0014,0.0004,0.0041,0.0002,-0.0015
32,0.032,-0.0041,0.0046,0.0021,0.0037,0.0013,0.0013
33,0.033,-0.0036,-0.0013,0.0005,0.0009,0.0021,-0.0021
34,0.034,-0.0055,0.0009,0.0053,-0.0005,-0.0052,-0.0127
35,0.035,-0.0029,0.0002,0.0084,0.0056,-0.0026,-0.0034
36,0.036,-0.0025,-0.0004,0.0055,0.0081,-0.0002,-0.0049
37,0.037,0.0006,0.0025,0.002,0.0059,0.0018,0.0024
38,0.038,-0.001,-0.0016,-0.0001,-0.0019,0.0039,0.0079
39,0.039,-0.002,-0.0011,-0.0004,-0.0039,0.0057,-0.002
40,0.04,-0.0023,-0.0008,-0.0015,0.0004,0.0013,0.0139
41,0.041,-0.0032,0.0012,-0.0025,-0.0001,-0.0006,-0.0111
42,0.042,-0.0038,-0.003,-0.0027,-0.0015,0.0039,-0.0017
43,0.043,-0.0036,-0.0025,-0.001,0.0007,0.0007,0.0007
44,0.044,-0.0047,-0.0021,-0.0028,0.0027,-0.0047,-0.0024
45,0.045,-0.0045,-0.0033,-0.0039,-0.003,0.0057,-0.0004
46,0.046,-0.0026,-0.0053,-0.0032,-0.0021,0.004,-0.0341
47,0.047,0.0006,-0.0018,0.0001,0.0031,-0.0003,-0.1063
48,0.048,0.0002,-0.0048,-0.0011,-0.0033,-0.0193,-0.1988
49,0.049,-0.004,-0.0028,-0.0039,-0.0126,-0.0599,-0.0596
50,0.05,-0.0056,-0.0032,-0.0063,-0.0113,0.0162,0.069
51,0.051,-0.0021,-0.0064,-0.0017,-0.0057,-0.015,0.0514
52,0.052,-0.0017,-0.0128,-0.0011,-0.0027,0.0319,0.0657
53,0.053,-0.0014,-0.0268,0.0018,0.0037,-0.0456,0.0511
54,0.054,-0.0033,-0.0247,0.0013,0.0062,-0.0557,0.0129
55,0.055,-0.0056,-0.0153,-0.0017,0.0054,0.0292,0.0467
56,0.056,-0.0093,-0.0069,-0.0046,0.006,0.0173,0.0358
57,0.057,-0.0123,-0.0024,0.0005,0.0029,-0.0347,0.007
58,0.058,-0.0094,-0.0011,-0.0015,0.0057,-0.0441,0.0152
59,0.059,-0.0037,0.0051,0.0027,0.001,-0.121,-0.1016
60,0.06,-0.0045,0.0106,-0.0013,-0.0084,-0.1101,-0.3515
61,0.061,-0.0008,0.0075,-0.0018,-0.0124,-0.0812,-0.17
62,0.062,0.004,0.0083,-0.0014,-0.0036,0.0475,0.1241
63,0.063,0.0069,0.0124,-0.0003,-0.0026,0.0652,0.0837
64,0.064,0.0063,0.0086,-0.0021,-0.0015,0.081,0.1186
65,0.065,0.0087,0.0106,-0.0067,-0.0079,0.0043,0.0849
66,0.066,0.0074,0.0122,0.0028,-0.0121,-0.0373,0.0545
67,0.067,0.0053,0.0034,0.0068,-0.0021,0.0756,0.0809
68,0.068,0.0002,0.0071,0.0031,-0.0007,0.0597,0.0558
69,0.069,0.0021,0.006,-0.0002,0.0004,0.0452,0.0775
70,0.07,0.0062,0.0049,-0.0012,-0.0052,0.0322,0.0567
71,0.071,0.0078,0.0076,-0.0004,-0.0042,0.0432,0.0379
72,0.072,0.0112,0.0101,-0.0029,0.0022,0.0324,0.0543
73,0.073,0.0051,0.0079,-0.0066,0.0014,0.0225,0.0387
74,0.074,0.0058,0.0029,-0.0031,0.0051,0.0307,0.0247
75,0.075,0.0064,-0.0001,0.0011,0.0002,-0.0239,0.0369
76,0.076,0.0056,0.0016,-0.0065,-0.0003,-0.0451,0.0024
77,0.077,0.005,0.0063,-0.0035,0.0025,0.0515,0.0127
78,0.078,0.0021,0.002,-0.0062,0.002,0.0096,0.0033
79,0.079,0.0036,-0.0032,-0.002,0.007,0.0218,0.0119
80,0.08,0.0032,0.0003,-0.0027,0.0089,0.0101,0.0042
81,0.081,0.0043,0.0046,-0.0021,0.0084,0.0201,-0.0028
82,0.082,0.0033,0.0017,-0.0026,0.0007,-0.0084,-0.009
83,0.083,0.0043,0.0022,-0.001,0.0017,0.0001,-0.0145
84,0.084,-0.0002,-0.0008,0.0015,0.0026,-0.0077,-0.009
85,0.085,0.0003,0.002,0.0026,0.0017,-0.0007,-0.0135
86,0.086,0.0008,0.001,0.0046,0.001,-0.0072,-0.0088
87,0.087,0.002,-0.0042,0.0036,0.0017,-0.0015,-0.0123
88,0.088,-0.0027,-0.0035,0.0003,0.0047,-0.0068,-0.0085
89,0.089,-0.0032,-0.0028,-0.0001,0.0018,-0.0021,-0.0114
90,0.09,-0.0015,-0.0045,0.0002,-0.003,-0.0065,-0.0139
91,0.091,-0.001,0.0008,0.0047,0.0013,0.0053,-0.0108
92,0.092,-0.0031,-0.0012,0.0063,-0.0004,-0.0055,-0.0081
93,0.093,-0.0011,-0.0054,0.0068,0.0063,-0.0023,-0.0143
94,0.094,0.0008,-0.0013,0.0032,-0.0022,-0.011,-0.0119
95,0.095,0.0012,-0.0038,-0.0011,-0.0032,0.0136,-0.006
96,0.096,-0.0025,-0.0007,-0.0006,-0.0042,-0.0357,-0.0309
97,0.097,-0.0028,-0.0027,-0.0054,0.0004,-0.0848,-0.0846
98,0.098,0.0001,-0.0017,-0.0038,-0.0022,0.0122,0.0017
99,0.099,-0.0034,0.0007,-0.0055,-0.0015,0.026,-0.0095
100,0.1,-0.0021,-0.0009,-0.0008,-0.0022,0.0134,0.0011
101,0.101,-0.0017,0.0005,-0.0013,-0.0005,0.0249,0.011
102,0.102,-0.0035,-0.0007,0.0015,0.0036,0.0147,0.0028
103,0.103,0.0011,-0.0013,0.004,0.0041,0.0056,-0.0044
104,0.104,0.0016,0.002,0.007,-0.0001,-0.0026,0.0036
105,0.105,-0.0012,0.0017,0.0073,0.0016,0.0056,-0.0019
106,0.106,-0.0017,0.0014,0.0048,0.0011,0.013,0.0043
107,0.107,-0.0013,-0.0011,0.0009,-0.0011,0.0067,-0.0006
108,0.108,-0.0032,-0.0049,0.0013,-0.0049,0.0126,0.014
109,0.109,0.0004,-0.0054,0.0056,-0.0013,-0.0031,0.001
110,0.11,-0.0017,-0.0041,-0.0009,0.0056,0.0017,-0.0106
111,0.111,0.0022,-0.0052,0.0016,0.0046,-0.0024,0.0002
112,0.112,-0.0025,0,0.0023,0.0038,0.0018,-0.0094
113,0.113,-0.004,-0.0048,0.0016,0.0013,-0.0014,-0.0001
114,0.114,-0.0011,-0.0042,-0.0014,0.005,0.0021,-0.0079
115,0.115,0.0015,-0,-0.0043,0.0043,-0.0003,-0.0099
116,0.116,0.0013,-0.0015,-0.0007,0.0048,-0.0026,-0.0118
117,0.117,0.0052,0.0028,-0.0019,0.0112,-0.0001,-0.0055
118,0.118,0.0017,-0.0012,-0.0022,0,0.0024,-0.0145
119,0.119,0.0021,-0.0069,-0.0047,0.0016,0.0007,-0.0023
120,0.12,-0.0043,0.0047,0.0006,-0.0053,-0.0047,-0.0032
121,0.121,-0.0015,0.0064,0.0013,-0.0216,0.0008,0.0153
122,0.122,-0.0023,0.0019,0.0033,-0.028,-0.0005,0.0029
123,0.123,-0,0.0033,0.0003,-0.0137,0.001,0.0008
124,0.124,0.0035,0.0021,-0.0025,-0.0118,-0.0001,0.0108
125,0.125,-0.0034,0.0053,-0.002,-0.0033,-0.003,0.0125
126,0.126,-0.0006,-0.002,-0.0007,0.0012,0.0043,0.0073
127,0.127,-0.0032,0.0026,0.0057,0.0108,-0.004,0.0025
128,0.128,-0.0025,0.0001,0.0049,0.0096,0.0017,0.0063
129,0.129,-0.0004,0.0023,0.0025,0.004,0.0048,0.0024
130,0.13,0.0013,0.0002,0.0047,0.0009,-0.0016,-0.0127
131,0.131,0.0008,0.0019,0.0041,-0.0055,-0.0057,-0.0068
132,0.132,-0.0008,-0.0034,-0.0016,0.0004,-0.0078,-0.0051
133,0.133,0.0023,0.0031,0.0007,-0.0003,-0.0057,-0.0003
134,0.134,0.0011,0.0022,-0.0013,0.0018,-0.0062,-0.0021
135,0.135,0.002,-0,-0.0008,0.0012,-0.0033,-0.0148
136,0.136,0.003,0.0006,-0.0024,0.0017,0.0025,0.0001
137,0.137,-0.0021,0.0001,0.0024,-0.0008,0.0031,0.0018
138,0.138,0.0014,0.0017,-0.0006,-0.002,0.0037,-0.0041
139,0.139,0.0041,0.0071,-0.0015,0.0012,0.0071,0.0029
140,0.14,-0.0017,0.0013,-0.002,0.0075,0.0028,0.0076
141,0.141,0.0005,-0.0009,0.0016,0.0066,0.0079,0.0057
142,0.142,-0.0016,-0.003,-0.0014,0.0057,-0.0028,-0.0016
143,0.143,-0.0011,-0.0047,-0.0052,0.002,-0.0104,0.0043
144,0.144,-0.0028,-0.0007,-0.0016,0.0026,0.0047,-0.0038
145,0.145,-0.0003,0.0008,-0.0038,-0.0017,-0.0014,-0.0114
146,0.146,-0.0025,-0.0004,0.0018,-0.0022,0.0041,0.0004
147,0.147,0.0021,-0.0025,0.0041,0.0013,-0.0078,-0.0016
148,0.148,-0.0021,-0.0022,-0.0023,0.0009,0.015,0.0086
149,0.149,0.0007,0.0001,0.0019,0.0006,-0.0214,0.0263
150,0.15,0.0042,0.0018,-0.0003,-0.0052,-0.0743,-0.0112
151,0.151,-0.0001,0.0011,0.0033,-0.0111,-0.1236,-0.0911
152,0.152,0.0039,0.0027,0.0039,-0.0027,-0.1553,-0.2627
153,0.153,-0.0029,0.0034,0.0022,-0.0017,-0.1019,-0.2862
154,0.154,-0.0057,0.0047,-0.0003,-0.007,0.0047,0.0494
155,0.155,-0.0015,0.0016,0.0048,-0.0115,0.0806,0.0967
156,0.156,-0.0022,-0.0013,-0.0001,-0.0124,0.0663,0.1394
157,0.157,-0.0016,-0.0064,-0.0006,-0.0071,0.0535,0.0991
158,0.158,-0.0059,-0.0171,-0.0011,-0.0064,0.0645,0.0625
