Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0012,-0.0004,-0.0085,-0.0036,-0.0157,-0.0101
1,0.001,0.003,-0.0015,-0.0076,-0.0018,-0.0084,-0.0084
2,0.002,-0.0033,-0.0035,-0.0051,0.001,-0.0018,-0.0135
3,0.003,-0.0075,-0.0009,-0.0013,0.0036,-0.0078,-0.0274
4,0.004,-0.0081,-0.0012,0.0092,-0.0001,-0.0023,-0.0033
5,0.005,-0.0044,-0.0008,0.0197,0.0065,-0.0274,-0.0526
6,0.006,-0.0086,-0.0021,0.0209,0.0093,-0.0813,-0.1581
7,0.007,-0.016,-0.0059,0.0244,0.0116,-0.1348,-0.354
8,0.008,-0.0148,0.0017,0.0297,0.0121,-0.0843,-0.0556
9,0.009,-0.0063,0.0047,0.018,0.0034,0.0126,0.1414
10,0.01,-0.003,0.002,0.0103,0.0087,0.0537,0.1043
11,0.011,-0.004,-0.0005,0.0033,0.0156,0.0408,0.0707
12,0.012,-0.0066,0.0032,-0.0079,0.016,0.0747,0.0995
13,0.013,-0.0057,0.0039,-0.0124,0.0182,-0.0397,0.0181
14,0.014,-0.0005,-0.0018,-0.0082,0.0126,0.006,0.0421
15,0.015,0.0002,-0.004,0.0006,0.0074,0.0472,-0.0694
16,0.016,0.0033,-0.0075,0.0016,0.0002,0.0592,-0.21
17,0.017,0.0016,-0.0044,0.011,-0.0027,0.0016,-0.1533
18,0.018,0.0021,-0.0027,0.0047,-0.0123,-0.0501,0.0982
19,0.019,0.0033,-0.0042,0.0036,-0.0113,0.0538,0.133
20,0.02,-0.0006,0.0009,-0.0058,-0.0037,0.012,0.0994
21,0.021,-0.0001,-0.0011,-0.0095,-0.0069,0.0243,0.069
22,0.022,0.0068,-0.0042,-0.0062,-0.0079,-0.0786,0.0416
23,0.023,0.0016,-0.0082,-0.0052,0.0014,0.0462,0.0656
24,0.024,0.0007,-0.0159,-0.006,0.0049,-0.0043,0.0429
25,0.025,-0.0001,-0.0327,-0.0085,0.0014,0.0412,0.0628
26,0.026,0.0036,-0.0301,-0.0137,0.0003,-0.0556,0.0441
27,0.027,0.0071,-0.0188,-0.0115,-0.0083,-0.0178,0.0272
