Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.001,0.0008,-0.002,0.0044,0.0025,0.0076
1,0.001,0.0011,0.0009,0.0048,0.0055,-0.0018,-0.0003
2,0.002,-0.0031,0.0001,0.0003,0.0042,0.0051,0.0047
3,0.003,-0.0001,0.0024,-0.0022,0.0071,-0.0014,-0.0039
4,0.004,0.0005,0.0033,0.0016,0.0079,-0.0006,-0.0118
5,0.005,-0.0045,0.0018,-0.0047,0.0141,0.003,0.0016
6,0.006,-0.0037,0.0029,-0.0004,0.0163,0.0064,-0.0005
7,0.007,0.0046,-0.0009,-0.0025,0.0138,0.0058,-0.0058
8,0.008,-0.0024,0.002,-0.0045,0.0122,-0.0008,-0.0025
9,0.009,-0.0013,-0.0006,-0.0023,0.0084,0.0078,-0.0103
10,0.01,0.0039,0.0061,-0.0028,0.0087,0.0065,0.0046
11,0.011,-0.0024,0.0029,-0.0022,0.0113,-0.0039,-0.0098
12,0.012,-0.0032,0.0036,-0.0046,0.0075,0.011,-0.0008
13,0.013,-0.0038,0.0009,-0.0057,0.0004,0.0007,0.0005
14,0.014,-0.0017,0.0045,-0.0017,0.0054,0.0061,-0.0136
15,0.015,-0.0033,0.0008,0.0041,0.0025,0.0142,0.0027
16,0.016,-0.0027,0.0012,0.0004,-0.0036,0.0034,0.0002
17,0.017,-0.0011,-0.0077,0.0025,0.0047,-0.0037,-0.0185
18,0.018,0.0001,-0.0265,-0.0044,0.0035,0.0124,-0.0065
19,0.019,-0.0037,-0.0671,0.0002,0.0063,-0.0213,-0.0402
20,0.02,-0.0001,-0.0494,-0.0006,0.0125,-0.0452,-0.1123
21,0.021,0.0003,-0.0333,-0.0027,0.0097,0.0205,-0.122
22,0.022,-0,-0.0092,-0.0033,-0.002,0.0108,0.0198
23,0.023,-0.0018,0.0038,-0.0049,-0.0239,0.0019,0.0393
24,0.024,-0.0008,0.0075,-0.0065,-0.0152,0.0249,0.0569
25,0.025,-0.0031,0.0109,-0.0029,-0.0072,-0.0814,0.0395
26,0.026,-0.0012,0.0204,-0.004,0.005,-0.0051,-0.0978
27,0.027,-0.004,0.023,0.0008,0.0026,0.0084,-0.1891
28,0.028,-0.0021,0.0253,-0.0009,0.0003,0.0206,-0.0711
29,0.029,0.0011,0.0178,0.0032,-0.0017,-0.0825,0.096
30,0.03,0.004,0.0153,-0.0015,-0.0002,0.0421,0.1171
31,0.031,-0.001,0.0091,0.0042,-0.0018,0.0249,0.0956
32,0.032,-0.0017,-0.0003,0.002,-0.0089,0.0094,0.0762
33,0.033,-0.0033,0.0046,0.0027,-0.0053,0.0228,0.0587
34,0.034,-0.005,0.006,-0.0003,0.0024,-0.0652,0.0125
35,0.035,-0.0034,0.0072,0.0014,-0.005,-0.0307,0.0534
36,0.036,-0.0076,0.0082,-0.0021,-0.019,0.0211,0.0403
