Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0023,-0,-0.0022,-0.0068,-0.0009,0.0007
1,0.001,0.0071,0.0006,-0.0012,-0.0012,0.0121,0.0053
2,0.002,0.001,-0.0013,-0.0022,-0.0043,0.0004,0.0016
3,0.003,-0.0021,-0.0043,-0.0009,0.0002,-0.003,0.0052
4,0.004,-0.003,-0.0026,0.0003,-0.0076,0.0068,-0.0044
5,0.005,0.0017,-0.002,-0.0009,-0.0004,-0.0078,-0.007
6,0.006,-0.0007,0.001,-0.0019,0.0041,-0.0103,-0.004
7,0.007,-0.0027,-0.0018,-0.0024,-0.0088,-0.0077,-0.0015
8,0.008,-0.0005,0.0001,-0.0012,-0.0144,-0.0053,-0.0215
9,0.009,-0.0045,-0.0008,-0.0037,0.0041,-0.007,-0.0184
10,0.01,-0.0038,0.0029,-0.002,0.0113,-0.005,-0.0009
11,0.011,-0.0042,0.0018,0.0003,0.0177,-0.0164,-0.007
12,0.012,-0.0036,0.0031,-0.0022,0.0276,-0.0056,-0.0044
13,0.013,-0.0073,-0.0019,-0.0012,0.0255,-0.004,-0.0021
14,0.014,-0.0056,0.003,0.0004,0.0269,0.0048,-0.0036
15,0.015,0.0015,0.0048,-0.0026,0.016,-0.0075,0.0011
16,0.016,0.0068,0.0054,0.0012,0.009,0.0044,-0.0001
17,0.017,0.0005,0.0007,0.0006,0.01,-0.003,0.0064
18,0.018,0.0049,-0.0009,-0.0024,-0.005,0.0067,-0.0038
19,0.019,0.0028,-0.0025,0.0004,-0.0192,-0.0096,0.0089
20,0.02,0.0009,0.0043,0.0013,-0.0211,-0.0027,-0.0058
21,0.021,-0.0006,-0.0041,0.0023,-0.006,-0.0083,-0.0111
22,0.022,0,-0.0008,0.0065,-0.0081,-0.0024,-0.005
23,0.023,-0.0024,-0.0059,0.0012,-0.0101,-0.0005,-0.0032
24,0.024,-0.0044,-0.005,0.006,-0.0017,-0.008,0.0014
25,0.025,-0.0004,-0.0024,0.0017,-0.0125,-0.0009,0.0001
26,0.026,-0.0018,0.0014,-0.0001,-0,-0.0045,-0.0086
27,0.027,-0.0039,-0.0006,-0.0027,-0.0018,0.0012,-0.0029
28,0.028,-0.0057,-0,0.0015,0.0057,0.0065,0.0086
29,0.029,-0.0038,-0.0017,0.0009,-0.0013,0.0001,-0.0021
30,0.03,-0.0046,0.0009,-0.0007,-0.005,0.006,0.0019
31,0.031,-0.0049,-0.006,-0.0004,-0.0106,0.0023,0.0007
32,0.032,-0.0078,-0.0007,-0.0001,-0.0116,0.0003,0.0061
33,0.033,-0.0029,-0.0015,-0.0012,-0.0071,0.0097,0.0112
34,0.034,0.0014,0.0027,0.0011,-0.0012,0.0082,0.0174
35,0.035,-0.0014,0.0021,-0.0006,0.0009,-0.0031,0.0061
36,0.036,0.0012,0.0041,0.0006,0.0057,-0.0016,0.0013
37,0.037,-0.0018,0.0024,0.0007,0.0151,-0.0085,-0.0002
38,0.038,-0.0014,0.0065,0.0034,0.0245,0.0028,0.0133
39,0.039,0.0012,0.0017,0.0036,0.0255,-0.0048,0.0038
40,0.04,-0.0019,0.0022,0.0018,0.0285,-0.0008,-0.0116
41,0.041,-0.0039,-0.003,0.006,0.0313,0.0053,-0.0058
42,0.042,-0.0008,0.0027,0.005,0.0292,-0.0027,-0.006
43,0.043,-0.0004,-0.005,0.0019,0.0188,0.0005,0.003
44,0.044,0.0013,-0.002,0.0058,0.0226,0.0118,-0.0024
45,0.045,-0.0017,0.0064,0.0042,0.0163,-0.0022,0.0019
46,0.046,-0.0007,0.0008,0.0019,0.0059,-0.0004,0.0056
47,0.047,0.0032,0.0018,0.0015,-0.0149,-0.0022,-0.0061
48,0.048,0.0057,0.0026,-0.0004,-0.0356,-0.0008,0.0012
49,0.049,0.0045,0.0051,0.0013,-0.0436,0.0032,0.0077
50,0.05,0.0025,0.0014,-0.0018,-0.0458,0.0042,0.0036
51,0.051,0.0006,0.0049,-0.0015,-0.0391,0.0008,0.0088
52,0.052,-0.0018,-0.0021,-0.006,-0.0369,-0.0045,-0.0073
53,0.053,-0.0061,-0.0013,-0.0043,-0.0238,-0.0185,-0.0368
54,0.054,-0.0033,-0.0072,-0.0048,-0.0154,0.0118,-0.0012
55,0.055,-0.011,-0.0109,-0.0013,-0.0047,0.0072,-0.0063
56,0.056,-0.0142,-0.0103,-0.0025,0.0049,0.0109,-0.0111
57,0.057,-0.0132,-0.0086,-0.0021,0.0011,-0.0435,-0.0232
58,0.058,-0.0029,-0.0091,-0.0003,-0.0045,-0.0045,-0.0634
59,0.059,-0.0015,-0.0149,-0.0013,-0.0015,-0.0117,-0.1432
60,0.06,-0.0004,-0.0155,-0.0044,0.0069,0.0203,-0.2001
61,0.061,0.0006,-0.012,0.0014,0.0146,-0.044,-0.0438
62,0.062,-0.0025,-0.0089,0.0022,0.0115,-0.001,0.0675
63,0.063,0.0039,-0.0095,0.0043,0.0123,0.022,0.0871
64,0.064,0.003,-0.011,-0.0034,0.0147,0.0288,0.068
65,0.065,0.0022,-0.0068,-0.0024,0.014,-0.0422,0.0171
66,0.066,0.0015,0.0007,-0.0016,0.0146,-0.0138,0.0319
67,0.067,0.002,0.0037,0.0043,0.0187,0.029,0.0176
68,0.068,0.0036,0.0028,0.005,0.0202,-0.0878,-0.1714
69,0.069,0.001,0.0069,0.0029,0.0144,-0.1373,-0.3059
70,0.07,0.0006,0.0046,0.0034,0.0196,-0.0908,-0.084
71,0.071,0.0009,0.0052,-0.0007,0.0175,0.034,0.1834
72,0.072,0.0051,0.0081,0.0061,0.0144,0.0837,0.1464
73,0.073,0.001,0.0085,0.0015,0.0055,0.0375,0.1129
74,0.074,0.0056,0.0099,0.0023,-0.0109,0.0509,0.0826
75,0.075,0.0039,0.0037,-0.0046,-0.022,0.013,0.0551
76,0.076,0.0043,0.0078,0.0057,-0.024,-0.0214,0.0791
77,0.077,0.0027,0.0071,-0.0012,-0.0258,0.0511,0.0564
78,0.078,-0.0004,0.0076,-0.0023,-0.0241,0.0413,0.0762
79,0.079,-0.0007,0.0018,-0.0033,-0.0225,0.0324,0.0574
80,0.08,0.0034,0.0102,0.002,-0.0184,0.0244,0.0404
81,0.081,-0.0018,0.0045,-0.0006,-0.002,0.0313,0.025
82,0.082,0.0002,0.0034,-0.003,0.0045,0.0247,0.0386
83,0.083,-0.0029,0.0042,-0.0008,0.0025,0.0188,0.026
84,0.084,0.0023,0.005,0.0041,0.0119,0.0134,0.0144
85,0.085,0.0003,0.0012,0.0024,0.017,0.0181,0.0246
86,0.086,-0.0002,-0.0008,0.0008,0.0095,0.0048,0.0151
87,0.087,0.0015,-0.0039,-0.0028,0.0109,0.0009,0.0064
88,0.088,0.0019,0.0001,-0.0006,0.0097,0.0045,-0.0013
89,0.089,0.0031,-0.0004,0.0023,0.002,0.0077,0.0058
90,0.09,0.0011,0.0026,0.0013,0.0051,-0.0011,-0.0133
91,0.091,0.0007,0.0005,0.0023,0.0059,0.0016,-0.0075
92,0.092,-0.0016,-0.0037,-0.0001,0.0016,-0.0055,-0.0232
93,0.093,0.0001,0.0015,0.0017,-0.01,-0.0077,-0.0087
94,0.094,-0.0006,-0.0021,0.0035,0.0051,-0.0055,-0.0129
95,0.095,-0.0005,-0.0004,0.0009,0.007,-0.0073,-0.0088
96,0.096,-0.0012,0.0025,-0.0022,0.0013,0.0046,-0.005
97,0.097,-0.0006,-0,-0.004,-0.0039,-0.0122,-0.0146
98,0.098,-0.0033,-0.0031,-0.0014,0.0005,-0.001,-0.0056
99,0.099,0.0012,-0.0034,-0.0045,0.0074,-0.0029,-0.0135
100,0.1,-0.0004,-0.0024,0.0011,0.0036,0.0027,-0.0009
101,0.101,0.0025,-0.0014,0.0003,0.0025,-0.0056,-0.0072
102,0.102,0.006,0.003,0.0008,-0.0006,-0.001,-0.0049
103,0.103,0.0039,0.0035,-0.001,-0.0033,-0.0105,-0.0102
104,0.104,-0.0025,0.0061,0.0028,-0.0092,-0.0115,-0.0082
105,0.105,0.0002,0.0031,0.004,-0.0055,-0.0082,-0.0186
106,0.106,0.0028,0.0034,0.0042,-0.0091,-0.011,-0.0142
107,0.107,-0.0009,0.0016,-0.0007,0.0003,-0.0082,-0.0102
108,0.108,-0.0016,-0.0007,-0.0026,-0.0012,-0.0072,-0.0247
109,0.109,0.0027,0.0003,-0.0032,-0,-0.0139,-0.0183
110,0.11,0.0011,-0.0027,-0.0019,0.001,0.0003,-0.0087
111,0.111,-0.0024,-0.0006,0.001,-0.002,0.0024,-0.0101
112,0.112,-0.0002,-0.001,-0.002,0.0008,0.0006,-0.0081
113,0.113,-0.0005,-0.0041,-0.0046,-0.0016,0.0024,-0.0061
114,0.114,0.0006,-0.0029,-0.0015,-0.0068,-0.0018,0.001
115,0.115,0.0023,0.0007,-0.0013,-0.0046,-0.0028,-0.0057
116,0.116,0.002,-0.0014,-0.0049,-0.014,-0.0062,0.0087
117,0.117,-0.001,-0.0001,-0.0019,-0.0321,-0.0029,0.0072
118,0.118,0.001,0.0025,-0.0047,-0.0248,0.0025,-0.001
119,0.119,-0.0008,0.0009,-0.0037,-0.0136,0.0016,0.0007
120,0.12,-0.0004,0.002,-0.0005,-0.0076,-0.0094,-0.0032
121,0.121,-0.0007,0.0015,0.0023,0.0128,-0.0078,-0.0141
