Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0002,0.0007,0.0069,0.0014,-0.0061,-0.0051
1,0.001,-0.0028,-0.0042,0.0017,0.0049,-0.0048,-0.0127
2,0.002,0.0035,-0.0036,-0.001,0.0082,-0.0011,-0.003
3,0.003,0.008,0.0052,-0.0052,0.0038,-0.0001,-0.0039
4,0.004,0.0071,0.0064,-0.0058,0.0088,-0.0032,-0.0024
5,0.005,0.0033,0.0008,-0.0037,0.0051,0.0014,-0.0031
6,0.006,0.0026,-0.0022,-0.0032,0.0018,-0.0045,-0.0038
7,0.007,0.0042,0.0006,-0.0003,0.0045,-0.0095,-0.0043
8,0.008,0.0036,0.0014,0.0002,0.0028,-0.0127,-0.0057
9,0.009,-0.0021,-0.0007,-0.0002,0.0023,-0.0066,-0.0141
10,0.01,-0.0058,-0.0027,-0.0005,0.0033,-0.0028,0.0052
11,0.011,0.0019,-0.0021,-0.0031,-0.0019,0.0021,-0.0028
12,0.012,0.0029,0.0031,0.0022,-0.0041,0.0015,-0.0003
13,0.013,-0.0027,0.0064,0.0011,-0.0012,-0.0029,-0.0056
14,0.014,-0,0.0071,0.011,0.0044,-0.0058,0.0099
15,0.015,0.0008,0.004,0.0041,0.0006,0.002,0.012
16,0.016,-0.0014,-0.0024,-0.0022,0.0068,-0.0036,0.0028
17,0.017,-0.0034,-0.0049,0.001,0.0041,-0.0026,0.0044
18,0.018,0.0008,-0.007,-0.0042,0.0018,-0.0035,0.012
19,0.019,0.0048,0.0008,-0.0033,0.0023,-0.001,0.0079
20,0.02,0.0012,-0.0044,0.0026,-0.0047,-0.0018,-0.0009
21,0.021,-0,-0.0088,0.0019,0.0016,-0.0039,-0.002
22,0.022,0.0003,-0.0129,-0.0002,0.0022,-0.0108,-0.001
23,0.023,0.0013,-0.0122,0.0015,0.0073,-0.0247,-0.0149
24,0.024,0.0016,-0.0169,0.0055,0.0078,0.0058,-0.0048
25,0.025,0.0059,-0.011,-0.0013,0.0106,0.0013,0.0118
26,0.026,0.0018,-0.0088,-0.004,0.012,0.0129,0.0051
27,0.027,-0.0039,-0.001,-0.0048,0.0061,0.0092,0.0029
28,0.028,-0.0046,-0.0019,0.0021,-0.0055,0.0058,0.0046
29,0.029,-0.0039,0.0045,-0.0064,-0.0039,0.0085,-0.0039
