Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0024,0.0001,0.0034,0.0038,-0.0071,-0.0007
1,0.001,-0.002,0.0014,-0.0019,0.0064,-0.0044,0.0067
2,0.002,-0.0002,-0.0011,0.0001,0.0038,0.0083,-0.0092
3,0.003,-0.0041,-0.0027,0.0018,0.0121,-0.0194,-0.0425
4,0.004,0.0023,0.0004,0.0012,0.0174,-0.0388,0.02
5,0.005,-0.0036,0.003,-0.0004,0.01,0.0156,0.0109
6,0.006,0,0.0021,-0.0001,-0.0004,0.023,0.018
7,0.007,0.0035,-0.0016,-0.0048,-0.0099,0.0156,0.0104
8,0.008,0.0051,-0.0012,0.0009,-0.0086,0.0217,0.0035
9,0.009,0.0045,-0.0039,0.0015,-0.0075,0.0156,-0.0027
10,0.01,-0.0003,-0.0057,0.0007,0.0019,0.0103,0.0127
11,0.011,0.0026,-0.008,0.0048,0.008,0.0148,-0.0021
12,0.012,0.0021,-0.0041,-0.0016,0.0134,0.0015,0.0105
13,0.013,0.0035,-0.0037,0.0042,0.0102,0.0131,-0.0018
14,0.014,-0.0008,-0.0024,-0.0011,0.0074,0.0094,-0.0129
15,0.015,0.0055,0.0018,-0.0005,-0.0037,0.0062,0.003
16,0.016,0.008,0.0071,-0.0048,-0.0234,0.0089,-0.0061
17,0.017,0.0026,0.0107,-0.0043,-0.0152,0.006,-0.0037
18,0.018,-0.0009,0.0038,-0.0038,-0.0127,0.0083,-0.006
19,0.019,0.0007,0.0046,0.0004,-0.0104,0.0103,0.0092
20,0.02,0.0035,0.0072,0.0008,-0.0042,0.0002,-0.0014
21,0.021,0.0009,0.0003,0.0022,0.0013,-0.0054,-0.0001
22,0.022,0.0021,-0.0005,-0.0021,-0.0071,-0.0037,0.0145
23,0.023,-0.0008,-0.0047,0.0019,-0.0085,0.0099,0.0118
24,0.024,0.0017,0.0006,-0.0029,0.0011,0.0006,-0.0017
25,0.025,-0.0029,-0.0042,0.0064,0.0022,0.0088,0.0028
26,0.026,-0.0024,-0.0025,0.0022,0.0031,-0.0051,-0.0145
27,0.027,0.0005,0.0004,0.0009,0.0041,-0.0032,-0.0083
28,0.028,0.002,-0.0011,0.0018,-0.0005,-0.0049,-0.0108
29,0.029,-0.0002,-0.0014,-0.0035,0.0002,-0.0065,-0.0093
30,0.03,0.0018,-0.0042,-0.0043,0.0085,-0.0105,-0.0147
31,0.031,-0.0024,-0.0023,-0.0002,0.0074,-0.0116,-0.0166
32,0.032,-0.0013,0.0021,0.0007,0.0117,-0.0099,-0.0139
33,0.033,-0.0007,-0.0025,-0,0.0126,-0.0043,-0.0047
34,0.034,-0.0012,0.0018,0.0005,0.0133,0.0071,-0.0088
35,0.035,0.003,-0.0046,-0.0026,0.0038,-0.0006,-0.0101
36,0.036,-0.0058,-0.0004,-0.0021,0,0.0033,-0.0115
37,0.037,0.003,-0.0026,-0.0017,-0.0077,-0.0004,-0.011
38,0.038,0.002,0.0023,-0.0029,-0.0025,-0.0107,-0.0104
39,0.039,0.003,-0.006,-0.0033,0.0039,-0.0258,-0.0055
40,0.04,0.0003,-0.0091,-0.0015,0.0029,-0.0316,-0.0164
41,0.041,0.0011,0.0003,-0.0032,0.0036,-0.0591,-0.0395
42,0.042,0.0004,-0.0034,-0.0016,0.0084,-0.1181,-0.0886
43,0.043,0.0011,-0.0044,0.0009,0.0027,-0.0573,0.0177
44,0.044,0.0006,-0.0014,-0.0016,0.0004,0.0596,0.093
45,0.045,-0.0022,0.0031,0.0034,0.0011,0.0424,0.1057
46,0.046,-0.0057,0.0039,-0.0002,-0.0031,0.0571,0.0671
47,0.047,-0.0053,0.0002,0.0003,-0.0048,0.0153,0.0321
48,0.048,-0.0005,0.0008,-0.0015,-0.0063,-0.0222,0.0624
49,0.049,-0.0022,0.0038,0.0062,-0.0066,0.0578,0.0523
50,0.05,-0.0062,-0.005,0.0051,-0.0018,0.0264,0.0432
51,0.051,-0.0004,-0.0087,0.006,-0.0013,0.0356,0.0195
52,0.052,-0.001,-0.0119,0.0032,0.0039,-0.0246,-0.0019
53,0.053,0.0039,-0.0067,-0.001,-0.0038,-0.0013,0.0301
54,0.054,0.0056,-0.004,0.0027,-0.0008,0.048,0.0354
55,0.055,0.0016,0.0002,0.0006,-0.0053,0.0285,0.0194
56,0.056,0.0021,0.0008,0.0036,0.0006,0.011,0.0145
57,0.057,0.0009,0.0043,0.0041,-0.0078,0.0267,0.0013
58,0.058,0.0048,0.0001,0.0055,-0.0068,-0.0361,-0.0185
59,0.059,0.0023,0.0005,0.0076,-0.0038,-0.0272,0.0068
60,0.06,0.0012,-0.002,0.0029,-0.0046,0.0272,-0.0029
61,0.061,0.004,0.0001,-0.0041,-0.0071,0.02,-0.0115
62,0.062,0.003,0.004,-0.0049,-0.0019,-0.0249,-0.0359
63,0.063,-0.0021,0.0064,-0.0023,0.0044,-0.0538,-0.0126
64,0.064,-0.0014,0.0022,-0.0001,0.0086,0.0261,-0.0451
65,0.065,-0.0034,0.0004,0.0006,-0.0014,0.0145,-0.1103
66,0.066,-0.0003,-0.0001,-0.0011,-0.011,0.0042,-0.2505
67,0.067,0.0002,0.0029,0.0041,-0.0023,-0.0052,-0.0666
68,0.068,-0.0023,0.0058,0.0021,-0.0055,-0.0479,0.1052
69,0.069,-0.0034,0.0061,0.0016,0.0017,0.0225,0.0826
70,0.07,-0.003,0.0021,-0.0013,0.0062,0.0129,0.0621
71,0.071,0.0027,0.0036,0.0035,0.0003,0.0215,0.0436
72,0.072,0.0019,0.0048,-0.0007,0.0055,0.0136,0.0602
73,0.073,-0.0003,0.0044,0.0069,0.0074,0.0206,0.045
74,0.074,-0.0023,0.0062,0.0017,0.0115,0.0014,0.0312
75,0.075,-0.0017,0.0023,0.0062,0.0119,0.0071,0.0189
76,0.076,-0.0012,0.0027,-0.0032,0.0154,0.0019,0.0305
77,0.077,0.0003,-0.0042,0.0006,0.0222,-0.0027,-0.0003
78,0.078,0.0015,0.001,-0.0049,0.021,-0.007,0.0095
79,0.079,-0.0013,-0.0036,0.0004,0.0181,-0.003,0.0012
80,0.08,0.0005,-0.0011,-0.0004,0.0052,-0.0064,0.0093
81,0.081,-0.0018,-0.0004,0.0021,-0.0077,-0.0031,-0.0115
82,0.082,-0.0001,0.0016,0.0015,-0.0161,-0.0001,-0.0046
83,0.083,0.0012,0.0047,0.0022,-0.0205,0.0027,0.0015
84,0.084,0.0019,0.0052,0.0039,-0.019,0.0004,-0.0033
85,0.085,-0.0003,-0.0016,0.0023,-0.0077,0.0027,0.0019
86,0.086,0.0016,-0.0025,-0.0024,0.0029,0.0048,-0.002
87,0.087,-0.0023,-0.005,-0.0018,0.0015,-0.0007,-0.0055
88,0.088,-0.0027,-0.0028,-0.0081,-0.0047,0.0011,-0.0015
89,0.089,-0.0022,0.0036,-0.0072,-0.0172,-0.0003,-0.0042
90,0.09,0.0047,0.0045,-0.0034,-0.0221,-0.0098,0.005
91,0.091,0.0017,0.0038,-0.0013,-0.0175,-0.0009,-0.0136
92,0.092,0.0008,0.0045,-0.0008,-0.0078,-0.004,-0.0059
93,0.093,-0,0.0003,-0.0012,-0.0016,0.0013,-0.0166
