Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0007,0.003,-0.0143,-0.0011,0.0009,-0.0045
1,0.001,-0.0028,-0.0011,-0.0225,-0.0004,-0.0045,-0.0085
2,0.002,-0.0044,0.0006,-0.0178,-0.0052,0.0071,0.0123
3,0.003,-0.0038,-0.0028,0.0029,-0.0047,0.0026,0.0034
4,0.004,-0.0012,-0.0039,0.0115,0.0017,-0.012,0.0006
5,0.005,-0.0015,0.0009,0.0192,0.0009,0.0026,0.0083
6,0.006,-0.0026,0.0005,0.0165,0.003,-0.0026,0.0065
7,0.007,0.001,0.0046,0.0184,0.0078,-0.0007,0.0046
8,0.008,-0.004,-0.0011,0.008,0.0021,0.0009,0.0137
9,0.009,-0.0033,-0.0003,0.0133,0.0042,-0.0058,0.005
10,0.01,-0.0015,0.0018,0.0114,-0.0007,-0.0018,0.0003
11,0.011,-0.0043,0.0035,0.0248,-0.0024,-0.0093,0.0097
12,0.012,-0.0007,0.0019,0.0263,0.0005,-0.0143,0.0033
13,0.013,-0.0029,-0.0037,0.0075,0.001,-0.0002,-0.0002
14,0.014,-0.0008,-0.0014,-0.005,-0.0002,0.0021,0.009
15,0.015,-0.0026,0.0007,-0.016,0.0001,0.0003,0.0025
16,0.016,0.0014,-0.0009,-0.0179,0.0005,0.0054,0.0124
17,0.017,-0.0021,-0.0014,-0.016,-0.0005,-0.0022,0.0051
18,0.018,-0.0017,0.0022,-0.0277,0.0045,0.002,0.011
19,0.019,0.0012,0.0001,-0.0138,0.0093,0.0032,0.0074
20,0.02,0.0002,-0.0028,0.0027,0.0097,-0.0024,0.004
21,0.021,-0.0021,0.003,0.009,0.0079,-0.0033,0.0062
22,0.022,-0.0064,-0.0047,0.0068,0.0011,-0.0097,0.0034
23,0.023,-0.0023,0.0006,0.012,-0.0073,-0.0054,-0.0003
24,0.024,0.0024,0.0051,0.0033,-0.0127,-0.0001,-0.0094
25,0.025,0.0066,0.0075,-0.0075,-0.0136,0.0019,-0.0009
26,0.026,0.0037,0.0053,-0.0116,-0.0071,-0.0038,-0.0002
27,0.027,-0.001,0.0017,-0.0154,-0.0045,-0.0075,-0.0015
28,0.028,-0.0007,0.0015,-0.0161,0.0021,-0.001,-0.0014
29,0.029,0.001,0.0044,-0.0217,-0,-0.0017,-0.0026
30,0.03,0.0005,0.0003,-0.0103,-0.002,-0.0002,-0.0022
31,0.031,0.003,-0.0032,-0.0089,-0.0015,0.0037,-0.011
32,0.032,0.0052,0.0036,-0.0049,0.0025,0.0002,0.0056
33,0.033,0.0023,0.0005,0.0011,0.001,0.0026,-0.0068
34,0.034,-0.0003,-0.0004,0.0019,0.0032,-0.002,-0
35,0.035,0.0014,-0.0029,0.0027,0.0028,0.0074,0.0141
36,0.036,-0.0016,0.0007,0.0035,0.0032,-0.0024,0.0043
37,0.037,0.0002,-0.0029,0.0075,0.0028,0.0037,-0.0011
38,0.038,-0.0015,0.0012,0.0096,-0.0023,0.0003,-0
39,0.039,-0.0038,0.0028,0.0158,-0.0002,-0.0008,-0.0018
40,0.04,0.0004,0.0042,0.0131,-0.0019,-0.0074,-0.0084
41,0.041,0.0034,-0.0001,0.0136,-0.0036,0.0036,-0.0011
42,0.042,0.0017,-0.0019,0.0114,0.0011,-0.0194,-0.0046
43,0.043,0.0011,-0.0035,0.0095,0.0016,-0.0423,-0.019
44,0.044,-0.0011,-0.0039,0.0099,0.0021,0.0025,-0.0093
45,0.045,-0.0039,-0.0068,0.0122,-0.0015,0.0343,-0.0116
46,0.046,-0.0014,-0.0059,0.0124,-0.0018,-0.0187,0.0132
47,0.047,0.0009,-0.0112,0.0162,0.0037,-0.1246,-0.0416
48,0.048,-0.0028,-0.0226,0.0227,0.003,-0.1087,-0.1582
49,0.049,-0.0025,-0.0343,0.0217,0.0023,0.0161,-0.2742
