Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0034,0.003,0.0056,-0.0019,-0.3333,-0.1231
1,0.001,-0.001,-0.0028,0.0029,0.0039,-0.4311,-0.1888
2,0.002,0.002,0.0055,0.0087,-0.002,-0.3338,-0.2482
3,0.003,0.0076,0.0064,0.005,-0.0071,-0.246,-0.0919
4,0.004,-0.0001,-0.0009,0.0056,0.0007,-0.6251,-0.3329
5,0.005,0.0028,0.0054,0.0085,-0.0045,-1.6589,-0.8984
6,0.006,0.0055,-0.0006,-0.0003,-0.0036,-0.8936,-0.511
7,0.007,0.0029,0,-0.0014,-0.0043,0.0671,0.1202
8,0.008,0.0022,-0.002,0.0041,-0.0006,0.4364,0.3716
9,0.009,0.0042,0.0021,0.0031,0.0043,0.5426,0.444
10,0.01,-0,0.0004,0.0004,0.0059,0.6368,0.3688
11,0.011,0.0005,-0.0002,0.0029,-0.0017,0.5355,0.4276
12,0.012,-0.003,-0.0023,0.0051,0.0035,0.4435,0.3645
13,0.013,-0.0008,0.004,0.0031,-0.0011,1.5839,1.0424
14,0.014,-0.0011,0.0031,0.0061,-0.0002,1.4,0.7543
15,0.015,0.0046,0.0005,-0.0026,-0.0009,0.3366,0.3226
16,0.016,0.002,0.0011,0.0036,-0.0044,-0.3492,-0.0685
17,0.017,-0.0017,0.0031,0.0004,-0.0013,-0.2252,-0.1417
18,0.018,-0.0023,0.0013,0.0034,-0.0008,-0.3368,-0.2078
19,0.019,-0.004,0.0041,-0.0011,0.0027,-0.4368,-0.2675
20,0.02,0.0048,-0.0007,-0.0052,0.003,-0.3415,-0.2165
21,0.021,0.0059,-0.0003,-0.0074,-0.0026,-1.0976,-0.6483
22,0.022,0.0027,-0.0008,-0.0053,0.0042,-1.5971,-0.9368
23,0.023,-0.0026,0.0027,-0.0022,-0.0022,-0.5618,-0.3558
24,0.024,0.0002,0.0004,0.0007,0.002,0.3946,0.1837
25,0.025,0.001,0.0024,0.0011,0.0056,0.5135,0.2508
26,0.026,-0.0059,-0.0019,-0.0039,0.002,0.6191,0.3107
27,0.027,0.0025,0.0009,-0.0004,-0.0022,0.5093,0.3643
28,0.028,-0.003,0.0024,0.0038,-0.0006,0.4095,0.3072
29,0.029,-0.0012,0.0086,0.0024,-0.0003,0.7612,0.5284
30,0.03,0.0018,0.0016,0.0099,0.0002,1.6789,1.0491
31,0.031,0.0027,0.0088,0.0046,0.0013,1.0428,0.5512
32,0.032,0.0051,0.0023,0,0.0016,0.0185,-0.0282
33,0.033,-0.0033,0.0031,0.0025,0.0005,-0.3932,-0.2625
34,0.034,-0.0001,-0.0007,0.0032,-0.0019,-0.5158,-0.1942
35,0.035,-0.0032,-0,-0.0004,-0.0009,-0.4013,-0.2593
36,0.036,-0.0005,-0.007,-0.0034,-0.0039,-0.5017,-0.3179
37,0.037,0.0003,-0.0061,-0.0073,-0.0036,-0.4063,-0.2658
38,0.038,-0.0004,0.0033,-0.0068,-0.0033,-1.5008,-0.9837
39,0.039,0.0031,-0.0005,-0.0037,-0.0009,-1.3395,-0.8783
40,0.04,0.0001,-0.0061,-0.0033,-0.006,-0.3758,-0.2223
41,0.041,-0.004,-0.0009,-0.0029,-0.0165,0.246,0.2022
42,0.042,-0.0005,-0.0036,-0.0026,-0.0392,0.3559,0.2772
43,0.043,0.0025,0.0006,0.0025,-0.0292,0.4537,0.3445
44,0.044,0.0089,0.0028,0.0018,-0.0084,0.5412,0.4052
