Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0067,-0.0003,-0.0036,0.001,-0.1243,-0.1557
1,0.001,-0.0014,0.0011,-0.0026,0.0003,-1.3976,-0.6952
2,0.002,-0.0041,0,-0.0002,-0.0047,-1.2134,-0.6168
3,0.003,-0.0049,-0.0055,-0.0036,-0.0024,-0.0573,0.0138
4,0.004,0.0021,-0.0023,0.0023,0.0008,0.6864,0.4336
5,0.005,-0.0082,0.0023,0.0002,-0.0018,0.8109,0.3506
6,0.006,-0.0095,-0.0002,-0.0016,-0.0073,0.674,0.414
7,0.007,-0.0106,0.0006,-0.0009,-0.0034,0.7737,0.4706
8,0.008,-0.0073,-0,0.0044,-0.0067,0.658,0.4055
9,0.009,-0.0042,-0.0041,0.0011,-0.0059,1.4818,0.8706
10,0.01,-0.0015,0.0012,0.0017,-0.0062,1.8005,1.0508
11,0.011,-0.0006,0.0033,0.0002,-0.0064,0.8579,0.519
12,0.012,0.0016,0.0017,0.0029,-0.0065,-0.0248,0.0212
13,0.013,0.0036,0.0058,0.0042,-0.005,-0.1464,-0.1743
14,0.014,0.0053,0.0063,0.0015,-0.0012,-0.256,-0.2347
15,0.015,0.0058,-0.0005,-0.0001,-0.0041,-0.3549,-0.2894
16,0.016,-0.001,-0.0015,0.0004,-0.0042,-0.2753,-0.1478
17,0.017,0.0017,-0.0005,-0.0005,-0.0058,-0.665,-0.454
18,0.018,0.0025,-0.0029,-0.0016,-0.0052,-1.7154,-0.967
19,0.019,0.0004,0.0009,-0.0031,-0.0026,-0.9612,-0.4745
20,0.02,-0.0003,-0.0054,-0.0002,-0.0037,-0.0057,0.0988
21,0.021,0.0014,-0.0045,0.001,-0.0037,0.6088,0.3267
22,0.022,-0.0003,0.0025,-0.0012,0.0003,0.4865,0.3915
23,0.023,0.0022,-0.0058,-0.0003,-0.0031,0.5792,0.3226
24,0.024,0.0011,-0.0025,-0.004,-0.0007,0.6623,0.3752
25,0.025,0.0014,0.0006,-0.0043,-0.0025,0.5672,0.3173
26,0.026,0.0004,0.0034,-0.0036,0.0002,1.5571,1.0284
27,0.027,0.0001,0.001,0.0008,-0.0006,1.4049,0.7121
28,0.028,0.0011,0.0032,-0.0054,0.0006,0.5214,0.2383
29,0.029,-0.0026,-0.0031,-0.0044,-0.0035,-0.2774,-0.1901
30,0.03,0.0022,-0.0039,-0.0049,-0.0028,-0.384,-0.2688
31,0.031,0.0017,-0.0001,-0.0027,-0.0054,-0.4797,-0.3394
32,0.032,0.0057,-0.0049,0.0005,0.0015,-0.5658,-0.2759
33,0.033,0.0042,-0.0031,-0.0022,-0.0048,-0.3357,-0.2184
34,0.034,0.003,-0.0025,-0.0005,-0.0021,-1.2461,-0.7963
35,0.035,0.001,0.0023,-0.0025,-0.0056,-1.6135,-1.0238
36,0.036,0.0067,-0.0018,-0.0027,0.001,-0.592,-0.3889
37,0.037,0.0042,-0.0034,-0.0036,-0.0048,0.365,0.2058
38,0.038,0.0035,-0.0028,0.0011,0.0006,0.4853,0.2809
39,0.039,-0.0014,-0.0049,-0.0045,0.0043,0.5928,0.348
40,0.04,0.0017,0.0007,0.0009,-0.0025,0.4849,0.4084
41,0.041,0.0012,0.0045,0.003,-0.0032,0.3869,0.2316
42,0.042,-0.0023,-0.0004,-0.0026,-0.0039,0.8056,0.4917
43,0.043,-0.0053,0.0027,-0.0032,-0.0016,1.6453,1.0133
44,0.044,0.0011,0.0045,0.0018,0.0005,1.0702,0.5168
45,0.045,0.002,-0.0012,-0.0011,-0.0011,0.1385,-0.0608
46,0.046,-0.0022,0.0041,-0.0027,-0.0026,-0.2373,-0.2931
47,0.047,-0.0015,0.0048,-0.0001,-0.001,-0.3505,-0.2225
48,0.048,0.0049,-0.0009,-0.0042,0.0002,-0.4519,-0.2855
49,0.049,-0.0062,0.0013,-0.0013,0.0007,-0.5431,-0.2266
50,0.05,-0.0016,-0.0051,-0.0007,0.0058,-0.4556,-0.2779
51,0.051,-0.0056,-0.0041,-0.0075,0.0009,-1.6074,-0.9931
52,0.052,-0.0043,-0.0062,-0.0022,0.0005,-1.4344,-0.6809
53,0.053,-0.0053,-0.0041,0.0005,0.0022,-0.3746,-0.2103
54,0.054,-0.0022,-0.0045,-0.0037,0.0037,0.3128,0.216
55,0.055,0.0006,-0.0016,-0.0043,0.0025,0.4378,0.2931
56,0.056,-0.0019,-0.0051,0.0006,0.0014,0.5497,0.3621
57,0.057,-0.0012,0.0001,-0.0024,0.0064,0.4456,0.297
58,0.058,0.0009,-0.0048,-0.0029,0.0029,0.3512,0.2382
59,0.059,0.0004,0.001,-0.0024,-0.004,1.2812,0.815
60,0.06,0.001,0.0004,0.0007,-0.0031,1.6472,0.888
61,0.061,0.0005,0.0011,0.001,0.0028,0.6236,0.3931
62,0.062,0.0028,0.0041,-0,-0.0056,-0.0644,-0.1832
63,0.063,0.0016,0.0013,0.0023,0.0022,-0.4385,-0.2608
64,0.064,0.0013,0.0049,0.0006,0.0011,-0.5503,-0.3302
65,0.065,-0.001,0.0027,0.0019,0.0003,-0.4464,-0.2657
