Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0008,-0.0002,-0.0031,0.0036,-0.7628,0.3369
1,0.001,-0.0065,-0.0084,-0.0048,0.0029,0.0916,0.3989
2,0.002,-0.0102,-0.0073,-0.0111,0.005,0.8602,0.4534
3,0.003,-0.0053,-0.0061,-0.0052,0.0008,1.141,0.5013
4,0.004,-0.0048,-0.0052,-0.0015,-0.0079,1.2048,0.4389
5,0.005,-0.002,-0.0043,0.002,-0.0215,1.2594,0.6675
6,0.006,-0.0026,-0.0006,0.0036,-0.0268,0.9989,1.1323
7,0.007,0.0016,-0.0012,0.0064,-0.0114,1.4583,0.5459
8,0.008,0.0044,-0.0042,0.0111,-0.0092,2.2505,-0.0029
9,0.009,-0.0035,-0.0001,0.0115,0.0001,1.4248,-0.2186
10,0.01,-0.0045,-0.0016,0.005,0.0052,0.4717,-0.1592
11,0.011,-0.0098,-0.0012,0.0042,0.0067,0.0759,-0.2208
12,0.012,-0.0034,-0.0008,0.0111,0.0081,-0.0571,-0.1717
13,0.013,0.0008,-0.0065,0.0119,-0.0082,-0.178,-0.223
14,0.014,-0,-0.0192,0.0127,-0.0282,-0.1028,-0.8758
15,0.015,0.0006,-0.0172,0.0148,-0.0143,-0.2048,-0.5949
16,0.016,0.0022,-0.0053,0.0154,-0.0019,-1.3726,-0.0023
17,0.017,0.0026,0.0023,0.0136,0.0047,-0.8858,0.3783
18,0.018,0.003,0.0037,0.0107,-0.0013,0.1533,0.3021
19,0.019,0.0032,-0.0001,0.0102,0.0044,0.5455,0.3591
20,0.02,0.007,0.0031,0.0033,0.0061,0.6495,0.4097
21,0.021,0.0073,0.0021,0.0023,0.0046,0.7407,0.2453
22,0.022,0.0003,0.0029,-0.006,0.0086,0.8216,0.8592
23,0.023,0.0012,0.0037,-0.0049,0.0097,0.7071,0.9333
24,0.024,-0.0016,0,-0.0038,0.0042,1.447,0.384
25,0.025,0.0061,0.0007,-0.001,0.0052,1.728,-0.1123
26,0.026,0.003,0.0064,0.0085,0.0025,0.8631,-0.1793
27,0.027,-0.0055,0.007,0.0024,0.0034,-0.1712,-0.2389
28,0.028,-0.0111,0.009,0.0102,-0.0003,-0.3207,-0.2926
29,0.029,-0.0081,0.0084,0.0072,-0.0038,-0.455,-0.2455
30,0.03,-0.0036,0.0044,0.0027,-0.0106,-0.3512,-0.4631
31,0.031,0.0006,0.0038,-0.0031,-0.0003,-0.2576,-1.0534
32,0.032,-0.0002,0.0041,-0.0051,0.0011,-0.731,-0.6249
33,0.033,0.0018,-0.0006,-0.0069,0.0023,-1.6654,0.0706
34,0.034,0.0022,-0.0001,-0.0125,-0.0033,-0.7959,0.3484
35,0.035,0.0038,-0.0006,-0.0206,0.002,-0.0089,0.2603
36,0.036,0.0042,-0.0011,-0.0148,0.0012,0.4964,0.3339
37,0.037,0.0053,-0.0023,-0.0136,0.0054,0.5791,0.2605
38,0.038,0.0024,-0.0019,-0.0142,-0.0061,0.6528,0.3208
39,0.039,0.0026,-0.0016,-0.0098,-0.0077,0.565,0.9524
40,0.04,0.0064,0.0001,-0.0117,-0.0031,0.6249,0.6911
41,0.041,0.0028,0.0031,-0.0009,0.0038,1.5678,0.1462
42,0.042,0.003,-0.0026,0.0008,0.005,1.1436,-0.2061
43,0.043,0.0042,-0.0034,-0.0004,-0.0028,0.2628,-0.2696
44,0.044,0.0066,-0.0027,0.0009,-0.0018,-0.3077,-0.3262
45,0.045,0.0013,0.0008,0.0113,0.0009,-0.4125,-0.272
46,0.046,0.0019,-0.0034,0.0128,0.0018,-0.506,-0.2227
47,0.047,0.0012,-0.0017,0.0092,-0.0004,-0.5897,-0.7854
48,0.048,0.0017,-0.0012,0.0061,0.0059,-0.3573,-1.0109
49,0.049,0.0045,-0,0.0052,0.0084,-1.4046,-0.3742
50,0.05,0.003,-0.0056,0.0062,0.0032,-1.5465,0.222
51,0.051,-0.0021,-0.0003,0.0071,0.0039,-0.582,0.2992
52,0.052,0.0014,0.0032,0.0066,-0.0003,0.2917,0.3682
53,0.053,-0.0016,0.0002,-0.0039,0.0014,0.4052,0.3032
54,0.054,0,-0.0051,-0.0083,-0.0054,0.5067,0.2442
55,0.055,0.0005,-0.0043,-0.0094,-0.0062,0.598,0.5055
56,0.056,-0.0006,0.0026,-0.008,-0.0036,0.3416,1.0282
57,0.057,0.0022,0.0017,-0.0068,0.0048,0.8783,0.5329
58,0.058,-0.0028,0.0043,-0.0057,0.0016,1.6428,-0.044
59,0.059,-0.0047,0.0006,-0.0119,0.0006,0.9168,-0.2762
60,0.06,0.0022,0.0012,-0.0109,-0.0058,0.0713,-0.3455
61,0.061,0.0049,-0.0018,-0.0085,-0.01,-0.2696,-0.2806
62,0.062,-0.0009,-0.0001,-0.0007,-0.0062,-0.3722,-0.337
63,0.063,-0.0046,0.0025,0.0024,-0.0025,-0.4642,-0.2827
64,0.064,0.0019,0.0013,0.0016,-0.002,-0.547,-0.9976
65,0.065,-0.0023,0.0052,0.0042,-0.0107,-0.4673,-0.6851
66,0.066,-0,0.0037,0.0049,-0.0094,-1.5136,-0.2144
67,0.067,-0.002,0.0049,0.0084,-0.0016,-1.3557,0.2119
68,0.068,-0.0002,0.0047,0.0053,0.0015,-0.3914,0.2891
69,0.069,-0.0007,-0.001,0.0105,0.0061,0.4815,0.3582
70,0.07,-0.0001,-0.0018,0.0084,0.007,0.3686,0.2933
71,0.071,0.0003,-0.0011,0.0042,0.0063,0.4706,0.2345
72,0.072,-0.0025,-0.003,0.0036,0.0028,0.5624,0.8112
73,0.073,-0.0028,-0.0013,-0,0.0023,0.4758,0.884
74,0.074,-0.0051,-0.0029,-0.0004,-0.0017,1.3203,0.3891
75,0.075,-0.0033,-0.0013,0.0024,0.003,1.4269,-0.1872
76,0.076,-0.0014,-0.0016,-0.0034,0.0072,0.7018,-0.2647
77,0.077,0.0015,-0.0012,-0.0009,0.0032,-0.1428,-0.3341
78,0.078,0.0026,0.003,-0.0078,0.0017,-0.4824,-0.2696
79,0.079,-0.0019,0.0002,-0.0105,0.0059,-0.5837,-0.2111
80,0.08,0.0023,0.0017,-0.0047,0.0042,-0.4884,-0.578
81,0.081,-0.0005,-0.0013,-0.0025,0.0016,-0.4015,-1.0055
82,0.082,0.0043,-0.0016,-0.0046,-0.0014,-0.9383,-0.596
83,0.083,0.0013,-0.0019,-0.0017,-0.0017,-1.8434,-0.0134
84,0.084,0.0018,0.0005,-0.0001,-0.0013,-0.9661,0.2193
85,0.085,0.0004,0.0035,0.0013,0.0011,0.0564,0.289
86,0.086,0.0007,-0.0022,-0.0018,0.0001,0.4682,0.3517
87,0.087,-0.0004,-0.0047,-0.0008,0.0043,0.5919,0.2924
88,0.088,0.0053,-0.0024,-0.0044,0.0013,0.4778,0.3436
89,0.089,0.0011,-0.0004,-0.0095,0.003,0.5789,0.9632
90,0.09,0.0018,0.0026,-0.0088,-0.0018,0.4835,0.7044
91,0.091,0.0039,0.0021,-0.0106,0.0013,1.5827,0.1604
92,0.092,0.0008,0.0006,-0.0089,-0.0004,1.1255,-0.1922
93,0.093,-0.0008,0.003,-0.0052,-0.0019,0.2993,-0.2485
