Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0035,-0.0018,-0.0002,0.0022,0.1593,0.0422
1,0.001,0.0034,0.004,-0.0048,0.0051,0.2846,0.1233
2,0.002,0.0007,0.0003,0.0021,0.0023,0.3973,0.0575
3,0.003,-0.0051,0.0024,-0.0006,0.008,0.2945,0.1253
4,0.004,0.0002,0.0041,0.0019,0.0027,0.5733,0.7639
5,0.005,-0.0004,0.0024,-0.005,0.0019,1.5012,0.5097
6,0.006,0.0001,0.0039,-0.0075,0.0035,1.1216,-0.0283
7,0.007,0.0054,-0.0003,-0.0016,0.0074,0.1013,-0.3737
8,0.008,0.0005,0.0003,0.0021,0.0037,-0.5801,-0.4305
9,0.009,0.0036,-0.0002,0.0014,0.0006,-0.4511,-0.4805
10,0.01,0.0019,-0.0013,0.003,0.0069,-0.5581,-0.42
11,0.011,0.0015,-0.0052,0.0081,0.0059,-0.6542,-0.3645
12,0.012,0.0045,-0.0026,0.0044,0.0066,-0.5543,-0.9211
13,0.013,0.0025,-0.0047,0.0027,0.0028,-1.6472,-1.1406
14,0.014,0.0007,-0.0026,0.001,0.0076,-1.4837,-0.4983
15,0.015,-0.0044,-0.0061,-0.0047,0.008,-0.5158,0.1034
16,0.016,-0.0037,-0.0091,-0.0024,0.0095,0.3597,0.1854
17,0.017,-0.0056,-0.007,0.0011,0.0016,0.2493,0.2589
18,0.018,-0.0038,-0.0027,-0.0005,-0.0154,0.3532,0.1985
19,0.019,-0.0043,-0.0022,0.0035,-0.0177,0.4469,0.144
20,0.02,-0.0047,-0.0047,0.0101,-0.0066,0.3623,0.4098
21,0.021,0.0004,0.0005,0.0108,-0.0046,0.9007,0.9367
22,0.022,-0.0002,-0.0002,0.0081,0.0009,1.6666,0.4454
23,0.023,0.0004,0.0015,0.0043,0.0026,0.7366,-0.1267
24,0.024,-0.0012,-0.0002,0.0036,0.004,-0.135,-0.3538
25,0.025,-0.0027,0.0034,0.004,0.0054,-0.4711,-0.2785
26,0.026,-0.0014,0.0012,0.0034,0.0041,-0.5687,-0.3369
27,0.027,-0.0053,0.0015,0.0039,0.0073,-0.656,-0.3889
28,0.028,-0.0047,-0.002,0.0016,0.0103,-0.565,-0.3305
29,0.029,-0.0058,0.0011,0.0004,0.0038,-0.6358,-1.0415
30,0.03,-0.0001,0.0008,0.0029,0.0046,-1.678,-0.7249
31,0.031,0.0021,-0.0002,0.0025,0.0009,-1.2155,-0.2508
32,0.032,0.0015,0.003,0.0014,0.0058,-0.2495,0.1784
33,0.033,0.0033,0.001,0.0001,0.0027,0.3759,0.2577
34,0.034,-0.0007,-0.0032,0.0039,-0.0002,0.4896,0.3289
35,0.035,0.0008,0.0008,-0.0002,-0.0017,0.5914,0.266
36,0.036,0.0012,-0.0007,0.0055,-0.0005,0.497,0.209
37,0.037,0.0009,0.0036,-0.003,0.0015,0.4115,0.7876
38,0.038,0.0007,0.0041,-0.0039,-0.0042,1.4112,0.8619
39,0.039,-0.001,0.0026,-0.0049,-0.0119,1.541,0.3685
40,0.04,0.0001,-0.0035,-0.0057,-0.0004,0.4167,-0.2057
41,0.041,0.0015,-0.0026,-0.0065,-0.0019,-0.3367,-0.2809
42,0.042,-0.0014,0.0011,-0.0042,0.0022,-0.4711,-0.348
43,0.043,0.0044,0.0032,-0.0048,-0.0015,-0.5913,-0.2813
44,0.044,0.0019,0.0002,-0.0031,-0.0005,-0.4744,-0.2208
45,0.045,-0.0002,-0.0003,0.0021,-0.0014,-0.3681,-0.4812
46,0.046,0.0018,0.0003,-0.0028,0.0013,-1.0166,-1.0031
47,0.047,0.0001,-0.0048,-0.0045,-0.0029,-1.7721,-0.6465
48,0.048,-0.0015,-0.0012,-0.0028,-0.005,-0.8384,0.0591
49,0.049,0.0021,0.0005,0.0008,-0.0001,0.0375,0.3401
50,0.05,0.0009,-0.0012,0.0011,-0.0006,0.378,0.2545
51,0.051,0.0006,-0.0037,0.0031,-0,0.4801,0.3307
52,0.052,0.0003,0.0006,0.0005,0.0015,0.5718,0.2595
53,0.053,0.0027,0.0023,0.0002,0.0012,0.485,0.3218
54,0.054,-0.0017,0.0018,-0.0002,0.0016,0.5597,0.9561
55,0.055,0,0.004,-0,-0.0042,1.6067,0.6974
56,0.056,-0.0015,0.0051,-0.0012,-0.005,1.149,0.1535
57,0.057,-0.0011,0.0026,-0.0049,-0.0056,0.1862,-0.1989
58,0.058,-0.0039,0.0022,-0.0106,-0.0007,-0.4376,-0.2631
59,0.059,0.0018,0.0019,-0.0053,0.0062,-0.3251,-0.3205
60,0.06,0.001,0.0032,-0.0072,0.0054,-0.427,-0.3722
61,0.061,0.0003,-0.0002,-0.0042,0.0045,-0.5191,-0.2274
62,0.062,-0.0061,0.001,-0.0036,0.0067,-0.4327,-0.7915
63,0.063,0.0012,0.0054,-0.0098,0.0013,-1.4648,-0.9707
64,0.064,-0.0014,-0.001,-0.0062,0.002,-1.5355,-0.4265
65,0.065,0.0008,-0.0002,-0.0074,-0.0011,-0.4768,0.2073
66,0.066,0.0028,0.004,-0.0061,0.0018,0.279,0.2927
67,0.067,-0.0014,0.0033,-0.0079,0.0003,0.4167,0.369
68,0.068,0.0003,-0.0044,-0.0026,0.0006,0.5399,0.2979
69,0.069,-0.0012,-0.0054,0.0043,-0.0058,0.651,0.2331
70,0.07,-0.0043,-0.0008,0.0034,-0.0031,0.3412,0.5212
71,0.071,-0.0014,0.0017,0.0076,-0.004,0.9923,0.9922
72,0.072,-0.001,-0.0035,0.0159,-0.0092,1.7508,0.5419
73,0.073,0.0013,0.0014,0.0168,-0.0169,0.8199,0.017
74,0.074,0.0063,-0.0003,0.0197,-0.0138,-0.0548,-0.1947
75,0.075,-0.0001,0.0049,0.0241,0.0002,-0.3956,-0.2587
76,0.076,0.0007,-0.0044,0.0145,0.0022,-0.498,-0.316
77,0.077,-0.003,-0.0032,0.0031,-0.0034,-0.5902,-0.2625
78,0.078,-0.0023,0.0024,0.0016,-0.0017,-0.5039,-0.3095
79,0.079,-0.0054,-0.0049,0.0003,-0.0062,-0.5791,-0.9604
