Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0016,0.0005,-0.003,0.001,-0.404,-0.3453
1,0.001,0.002,-0.0027,-0.0009,0.0079,-0.5182,-0.4031
2,0.002,0.0024,0.0024,0.0043,0.0033,-0.619,-0.454
3,0.003,0.0029,0.0015,0.003,0.0024,-0.7084,-0.3945
4,0.004,0.0014,-0.0027,-0.0009,0.0002,-0.6021,-0.34
5,0.005,0.0044,0.0009,-0.0043,-0.0033,-1.0117,-0.6367
6,0.006,0.0024,0.0029,-0.0031,-0.005,-1.9938,-1.14
7,0.007,0.0033,-0.0002,-0.0019,-0.0055,-1.2895,-0.6386
8,0.008,0.0023,-0.0007,-0.0008,-0.0039,-0.1564,0.0695
9,0.009,0.0026,0.0049,0.0019,-0.0009,0.3033,0.1664
10,0.01,0.002,-0.0036,-0.0048,0.0012,0.4449,0.2533
11,0.011,0.0003,0.0041,0.0038,0.0022,0.3252,0.3315
12,0.012,-0.0014,-0.0012,0.005,0.0018,0.4418,0.2625
13,0.013,0.001,0.0015,0.0104,-0.0012,0.343,0.3268
14,0.014,0.006,-0.0011,0.0169,0.0024,1.5546,0.9616
15,0.015,0.0024,-0.011,0.0248,0.0012,1.0551,0.7036
16,0.016,0.0066,-0.0234,0.0404,0.0015,0.3029,0.0084
17,0.017,0.0095,-0.0116,0.0738,0.0005,-0.3762,-0.2691
18,0.018,0.0069,0.0022,0.0688,0.0037,-0.4923,-0.3497
19,0.019,0.0038,0.0003,0.0467,-0.0002,-0.596,-0.4217
20,0.02,-0,0.0053,0.0108,-0.0079,-0.6886,-0.3467
21,0.021,0.0057,0.0067,-0.0131,-0.0203,-0.3996,-0.2784
22,0.022,0.0079,0.0026,-0.0346,-0.0117,-1.321,-0.9087
23,0.023,0.0058,0.0037,-0.0459,-0.0071,-1.6775,-0.9845
24,0.024,-0.0011,0.0005,-0.0562,-0.0057,-0.6469,-0.2828
25,0.025,-0.0113,-0.0068,-0.0654,-0.0044,0.3179,0.1875
26,0.026,-0.0072,-0.0076,-0.05,-0.0012,0.4454,0.2734
27,0.027,-0.0134,0.0001,-0.0359,0.0018,0.5593,0.3503
28,0.028,-0.0143,0.0073,-0.0427,-0.0008,0.4572,0.28
29,0.029,-0.0132,0.0064,-0.0401,0,0.3645,0.216
30,0.03,-0.0047,0.0055,-0.0214,0.0069,0.7878,0.6197
31,0.031,-0.0015,0.0061,-0.0188,0.0096,1.6309,0.9837
32,0.032,0.0058,0.0095,-0.0031,0.0087,0.8343,0.4527
33,0.033,0.003,0.01,0.0194,0.0093,-0.0922,-0.0397
34,0.034,0.0022,0.0047,0.0342,0.0099,-0.4628,-0.2304
35,0.035,0.0028,0.0066,0.0368,0.0068,-0.5711,-0.2862
36,0.036,0.0035,0.0035,0.0294,0.0039,-0.4637,-0.3362
37,0.037,0.0004,0.0006,0.0138,0.0044,-0.5521,-0.2856
38,0.038,-0.0013,-0.0009,-0.0046,0.0041,-0.4624,-0.3264
39,0.039,-0.006,0.0003,-0.0117,0.0012,-1.6115,-0.9154
40,0.04,-0.009,-0.0009,-0.0005,0.0015,-1.435,-0.6552
41,0.041,-0.0153,-0.0019,-0.0106,-0.0023,-0.3738,-0.1109
42,0.042,-0.0144,-0.0002,-0.0197,0.0054,0.3131,0.2409
43,0.043,-0.0122,0.0049,-0.0111,0.0044,0.4367,0.3039
44,0.044,-0.0015,-0.0015,-0.0004,0.0054,0.547,0.36
45,0.045,0.006,-0.0024,0.0065,-0.0048,0.6464,0.3054
46,0.046,0.0129,-0.0001,0.0076,-0.0034,0.3635,0.2557
47,0.047,0.0065,0.0019,0.0108,-0.0071,1.2915,0.8183
48,0.048,0.0055,-0.0011,0.0137,-0.0015,1.6547,0.8899
49,0.049,0.0044,0.0006,0.0145,-0.0025,0.6292,0.254
50,0.05,-0.004,0.0021,0.0102,0.0021,-0.3318,-0.1723
51,0.051,-0.005,-0.0009,-0.0013,-0.0005,-0.4565,-0.2496
52,0.052,-0.002,0.0055,0.0005,-0.0011,-0.5681,-0.3189
53,0.053,-0.0011,-0.0009,-0.0011,0.0053,-0.464,-0.3813
54,0.054,-0.0003,0.0016,0.0085,0.0044,-0.3695,-0.2062
55,0.055,0.0019,-0.0005,0.0072,0.0021,-0.7912,-0.5726
56,0.056,0.0026,-0.0025,0.0081,-0.0056,-1.7878,-1.095
57,0.057,0.0009,-0.0008,0.0049,-0.0086,-1.0966,-0.5993
58,0.058,-0.002,0.0009,0.0002,-0.0113,0.0273,0.1054
59,0.059,0.0016,-0.0005,-0.0007,-0.0121,0.4799,0.1999
60,0.06,0.0004,0.0007,0.0075,-0.0006,0.6155,0.2849
61,0.061,0.0007,-0.0056,-0.0097,-0.0023,0.4894,0.3614
62,0.062,0.0004,-0.001,-0.017,-0.0038,0.6,0.2904
63,0.063,-0.0034,-0.0018,-0.0149,-0.0024,0.4949,0.3528
64,0.064,-0.0019,0.0019,-0.0211,-0.0013,1.5164,0.987
65,0.065,-0.0007,0.0055,-0.0267,0.0019,1.3725,0.7283
66,0.066,-0.0003,-0.004,-0.0082,-0.0011,0.2476,0.1845
67,0.067,0.0016,-0.0026,-0.0011,-0.0003,-0.2067,-0.1678
68,0.068,0.0006,-0.0015,0.0009,0.0006,-0.3446,-0.2317
69,0.069,0.0016,0.0017,0.0027,-0.0001,-0.4682,-0.2887
70,0.07,0.001,0.0027,-0.0031,0.0005,-0.5795,-0.3401
71,0.071,0.0049,0.0018,0.0051,0.001,-0.475,-0.2906
72,0.072,0.0032,-0.0042,0.0063,0.0004,-1.3108,-0.8539
73,0.073,-0.0003,-0.0036,0.024,0.0019,-1.6427,-0.9265
74,0.074,0.0067,-0.0057,0.026,-0.0011,-0.7113,-0.2911
75,0.075,0.0057,-0.0053,0.0145,-0.0067,0.1631,0.1361
76,0.076,0.0066,0.0034,0.0121,-0.0014,0.5031,0.2142
77,0.077,0.0024,0.0021,0.0026,-0.0021,0.6047,0.2842
78,0.078,0.0076,-0.0013,-0.0027,0.0021,0.5098,0.3473
79,0.079,0.0041,-0.0086,-0.0074,0.0016,0.4232,0.2884
80,0.08,0.0047,-0.0042,-0.0062,0.0011,0.8061,0.5502
81,0.081,0.0031,-0.0035,-0.0052,0.0023,1.7124,0.9783
82,0.082,0.0047,0.0001,0.0024,0.0043,1.0841,0.5691
83,0.083,-0.0002,-0.0008,-0.003,0.0078,0.0617,-0.0133
84,0.084,0.0048,-0.0004,0.0032,0.0048,-0.3509,-0.2456
85,0.085,0.003,-0.005,0.0206,0.0054,-0.456,-0.2874
86,0.086,0.0048,-0.0047,0.0092,0.0057,-0.5791,-0.3563
87,0.087,0.0008,-0.0043,0.0044,-0,-0.4646,-0.2913
88,0.088,0.0045,-0.0057,0.0002,-0.0059,-0.5653,-0.3476
89,0.089,0.0003,-0.0055,-0.0037,-0.0096,-1.5876,-1.0293
90,0.09,0.0033,-0.0054,-0.0188,-0.0089,-1.4443,-0.7449
91,0.091,0.0029,-0.0032,-0.029,-0.0146,-0.3193,-0.1469
92,0.092,0.0033,-0.0084,-0.0161,-0.0109,0.436,0.2409
93,0.093,-0.0005,-0.0079,0.0024,-0.0073,0.3002,0.3112
94,0.094,0.0043,-0.0038,0.0094,-0.0056,0.4244,0.3743
95,0.095,0.0049,-0.0011,0.0114,0.0032,0.5365,0.3156
96,0.096,-0.0026,0.0003,-0.0029,0.0068,0.4325,0.2622
97,0.097,-0.0098,-0.0002,-0.0197,0.0145,1.2694,0.7873
98,0.098,-0.0051,0,-0.0352,0.0154,1.6027,0.8541
99,0.099,-0.0058,-0.0036,-0.0372,0.0127,0.6723,0.2767
100,0.1,-0.002,-0.0015,-0.0316,0.0048,-0.2018,-0.1114
101,0.101,-0.0069,-0.0055,-0.0131,0.0018,-0.3165,-0.1821
102,0.102,-0.0038,-0.002,0.0041,0.0082,-0.4189,-0.2458
103,0.103,-0.0066,-0.0051,0.015,0.0073,-0.5112,-0.303
104,0.104,-0.0018,-0.0013,0.025,0.0051,-0.4248,-0.2495
105,0.105,0.0024,-0.0091,0.0377,0.0031,-0.808,-0.5832
106,0.106,0.0007,-0.0261,0.0291,-0.0012,-1.8548,-1.0592
107,0.107,-0.006,-0.0237,0.0243,0.0029,-1.096,-0.6087
108,0.108,-0.0033,-0.0081,0.0201,0.0023,-0.1329,-0.0834
109,0.109,-0.0075,0.002,0.0236,-0.0007,0.4914,0.1289
110,0.11,-0.0082,0.0001,0.0203,-0.0011,0.379,0.3206
111,0.111,-0.0075,-0.0049,0.0316,0.0008,0.4815,0.3778
112,0.112,-0.0058,0.0027,0.0239,-0.0045,0.5737,0.3242
113,0.113,-0.0075,0.0124,0.0168,-0.0096,0.4873,0.371
114,0.114,0.0002,0.0112,-0.0021,-0.0102,1.4874,1.0221
115,0.115,-0.0009,0.0168,-0.0158,-0.0085,1.3454,0.7387
116,0.116,0.0021,0.024,0.0015,0.0004,0.4696,0.1411
117,0.117,-0.0007,0.0286,0.0037,0.0041,-0.3248,-0.2463
118,0.118,-0.0067,0.026,-0.0023,0.0096,-0.428,-0.3164
119,0.119,-0.0074,0.0254,-0.0115,0.0106,-0.5205,-0.2522
120,0.12,-0.0039,0.0275,-0.0131,0.0003,-0.6039,-0.3095
121,0.121,-0.0057,0.028,-0.0084,0.0016,-0.3707,-0.2561
122,0.122,-0.0063,0.0298,-0.0096,0.0004,-1.2798,-0.7814
123,0.123,-0.0089,0.0252,-0.0058,-0.0051,-1.6473,-0.9885
124,0.124,-0.0029,0.0196,-0.0024,-0.0123,-0.6243,-0.2832
125,0.125,-0.0056,0.0204,-0.0053,-0.015,0.0642,0.1861
126,0.126,-0.0005,0.0157,-0.006,-0.0123,0.4393,0.2717
127,0.127,-0.0026,0.0154,-0.005,-0.0115,0.5522,0.3486
128,0.128,-0.0044,0.0127,0.002,-0.0036,0.6541,0.278
129,0.129,-0.0097,0.0094,0.0086,-0.0005,0.3729,0.2137
130,0.13,-0.0118,0.0046,0.0062,0.006,0.7958,0.5023
131,0.131,-0.0062,0.0127,0.0115,0.0068,1.6411,0.9743
132,0.132,-0.007,0.0057,0.0152,-0.0001,1.0709,0.5246
