Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0074,-0.0008,-0.0057,0.0059,0.0369,-0.017
1,0.001,-0.0105,-0.0029,-0.011,0.0017,0.2741,0.548
2,0.002,-0.0094,-0.0007,-0.0104,0.0012,0.2996,0.6084
3,0.003,-0.0067,-0.0023,-0.0011,-0.0013,0.2626,0.6604
4,0.004,-0.0058,-0.0039,0.0001,0.0037,0.2822,0.7054
5,0.005,-0.0035,-0.0063,-0.0063,0.0017,0.2016,0.6291
6,0.006,-0.0055,-0.002,-0.0032,0.0012,0.3059,0.6633
7,0.007,0.0003,-0.0014,-0.0004,-0.0004,0.5203,1.1689
8,0.008,0.0024,0.0034,0.0022,0.0001,0.3629,0.9372
9,0.009,0.0031,0.0004,0.0011,0.0024,0.1123,0.4715
10,0.01,0.0036,0.001,0.0046,-0.0015,0.0734,0.1655
11,0.011,0.0007,0.0016,-0.0048,-0.0081,0.0381,0.0984
12,0.012,-0.0018,0.0047,-0.0013,-0.0053,0.0059,0.037
13,0.013,-0.0029,-0.0016,0.0018,-0.001,-0.0233,-0.0192
14,0.014,-0.0026,0.003,0.0046,-0.0003,-0.0057,0.0866
15,0.015,0.0032,0.0022,0.0107,-0.001,-0.2729,-0.3915
16,0.016,0.0023,0.003,0.0182,-0.004,-0.168,-0.7178
17,0.017,0.0045,-0.0018,0.0149,-0.0034,0.0573,-0.2041
18,0.018,-0.0019,-0.0001,0.0119,-0.0018,0.1417,0.2759
19,0.019,0.0006,-0.0016,0.0005,0.0004,0.1636,0.454
20,0.02,-0.003,0.001,0.0049,-0.0008,0.1826,0.4977
21,0.021,0.0034,0.0007,-0.0022,-0.0018,0.1994,0.4313
22,0.022,0.0008,-0.0012,-0.0035,-0.0014,0.1335,0.3703
23,0.023,0.0061,-0.0021,0.0019,0.0003,0.3677,0.5744
24,0.024,0.0011,-0.0031,-0.0013,0.0028,0.3939,1.0731
25,0.025,0.0028,-0.002,0.0012,0.0018,0.18,0.567
26,0.026,0.0011,-0.0049,0.0002,-0.0018,-0.0136,0.1083
27,0.027,-0.0004,-0.0028,0.007,0.0004,-0.0415,-0.0751
28,0.028,-0,-0.0017,0.0114,-0.0006,-0.0666,-0.1357
29,0.029,0.0064,-0.0013,0.012,0.0014,-0.0894,-0.1904
30,0.03,0.0036,0.0011,0.0066,-0.0011,-0.0733,-0.1531
31,0.031,-0.0023,-0.0007,0.0113,-0.0007,-0.1923,-0.1984
32,0.032,0.003,0.0022,0.0116,-0.0031,-0.3607,-0.7411
33,0.033,0.0009,-0.002,0.0131,-0.0017,-0.1601,-0.6654
34,0.034,-0.0007,-0.0036,0.0114,-0.0045,0.0278,-0.0368
35,0.035,-0.0012,0.0012,0.0062,-0.0027,0.0993,0.2129
36,0.036,-0.0047,-0.0018,0.0067,-0.0023,0.1191,0.2837
37,0.037,-0.0059,0.0023,0.0024,-0.0073,0.1367,0.347
38,0.038,-0.0062,-0.0054,0.0017,-0.0178,0.1159,0.2769
39,0.039,-0.0004,-0.0064,-0.0041,-0.0101,0.1302,0.2134
40,0.04,0.0021,-0.0033,-0.0048,-0.006,0.356,0.6807
41,0.041,0.0014,-0.0041,-0.0126,0.0052,0.2546,0.8637
42,0.042,0.0035,0.0019,-0.0073,0.0006,0.044,0.3345
43,0.043,0.0077,-0.0003,-0.0082,0.0019,-0.0924,-0.1606
44,0.044,-0.0011,0.0017,-0.004,0.0031,-0.1173,-0.2263
45,0.045,0.0051,0.0012,0.0012,0.004,-0.1396,-0.2849
46,0.046,0.0041,-0.0075,0.0005,0.007,-0.1191,-0.2324
47,0.047,-0.0011,-0.0037,-0.0037,0.0078,-0.1005,-0.1843
48,0.048,0.0016,0.0019,-0.0032,0.0035,-0.3175,-0.401
49,0.049,-0.0009,-0.0054,-0.0027,0.0056,-0.3454,-0.9122
50,0.05,-0.0031,-0.0026,-0.0038,0.0091,-0.1006,-0.5573
51,0.051,-0.0024,0.0016,-0.0041,0.0095,0.0638,0.0197
52,0.052,-0.004,-0.0006,-0.0097,0.0042,0.0937,0.2521
53,0.053,-0.0023,-0.0041,-0.0122,0.0021,0.1205,0.182
54,0.054,-0.0007,-0.0011,-0.0021,-0.0073,0.1444,0.2452
55,0.055,0.0023,0.0006,-0.0007,-0.0113,0.0769,0.3019
