Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0029,0.0033,-0.0022,0.002,-0.1343,-0.2613
1,0.001,-0.0008,-0.0019,0.019,0.003,-0.1586,-0.4282
2,0.002,0.001,0.0046,0.03,-0.0037,-0.18,-0.3678
3,0.003,0.0025,0.0037,0.0469,-0.0027,-0.199,-0.4078
4,0.004,0.0051,-0.0062,0.0488,-0.0067,-0.1352,-0.3562
5,0.005,0.0125,0.0008,0.0504,-0.0072,-0.2978,-0.5456
6,0.006,0.0153,-0.0004,0.0411,-0.0134,-0.4497,-1.0743
7,0.007,0.0097,-0.0035,0.0471,-0.0191,-0.2625,-0.6773
8,0.008,0.0139,-0.0044,0.0437,-0.0119,-0.0379,-0.1773
9,0.009,0.0094,-0.0017,0.0445,-0.0033,0.0536,0.148
10,0.01,0.0069,-0.0008,0.0342,-0.0021,0.0823,0.2106
11,0.011,0.0086,-0,0.0348,-0.005,0.1081,0.1622
12,0.012,0.0113,0.0007,0.0263,-0.004,0.0871,0.214
13,0.013,0.0093,-0.0034,0.0267,-0.0064,0.1085,0.1742
14,0.014,0.0095,-0.005,0.0294,-0.0056,0.3856,0.7697
15,0.015,0.0089,0.0008,0.0275,0.001,0.2667,0.6852
16,0.016,0.0107,0.0016,0.0236,0.0019,0.0152,0.1462
17,0.017,0.0069,0.0023,0.0236,-0.0002,-0.147,-0.2009
18,0.018,0.007,-0.0033,0.022,0.0077,-0.1152,-0.2596
19,0.019,0.003,0.0052,0.016,-0.0017,-0.14,-0.3118
20,0.02,0.0023,-0.0003,0.0077,-0.0053,-0.1621,-0.3584
21,0.021,0.0033,0.0028,0.0041,-0.0041,-0.1375,-0.2091
22,0.022,0.002,0.002,-0.0009,-0.001,-0.3579,-0.6816
23,0.023,0.0029,0.0029,-0.0071,0.0018,-0.3841,-0.9917
24,0.024,0.0024,0.0023,-0.0068,0.001,-0.1377,-0.4616
25,0.025,0.0007,0.0017,0.0034,0.0033,0.0934,0.0353
26,0.026,0.0036,0.0059,0.0045,0.0014,0.0648,0.2301
27,0.027,0.0038,-0.0004,0,-0.0028,0.1464,0.2898
28,0.028,0.0062,-0.0012,-0.0015,0.0002,0.1222,0.2387
29,0.029,0.0064,0.0058,-0.0009,-0.0012,0.1003,0.1923
30,0.03,0.0032,0.0013,0.0018,-0.0053,0.2421,0.411
31,0.031,0.0006,0.0005,0.0059,-0.0092,0.4072,0.9244
32,0.032,-0.0018,-0.0001,0.0183,-0.0106,0.2049,0.5717
33,0.033,-0.0055,-0.0021,0.0453,-0.0126,-0.0388,-0.0031
34,0.034,-0.0024,-0.0015,0.088,-0.0137,-0.1363,-0.2331
35,0.035,0.0004,-0.0055,0.1156,-0.0093,-0.1055,-0.3003
36,0.036,0.0046,0.0013,0.1931,-0.0004,-0.1314,-0.3609
37,0.037,0.0005,-0.0032,0.1793,0.0034,-0.1058,-0.2998
38,0.038,-0.001,0.0011,0.0843,0.0112,-0.1269,-0.2441
39,0.039,-0.0014,-0.0011,-0.0293,0.006,-0.389,-0.8626
40,0.04,-0.0069,-0.0046,-0.1352,0.0068,-0.2789,-0.772
41,0.041,-0.0105,-0.0062,-0.2302,0.0043,-0.048,-0.2269
42,0.042,-0.0027,0.0003,-0.2653,0.0113,0.1014,0.2661
43,0.043,-0.0037,0.0028,-0.2741,0.0121,0.1283,0.2025
44,0.044,-0.01,0.005,-0.2612,0.0129,0.1524,0.26
45,0.045,-0.0022,0.0015,-0.193,0.0092,0.1295,0.3116
46,0.046,0.0008,-0.0042,-0.0802,-0.0014,0.1087,0.1668
47,0.047,0.0111,-0.0035,0.0265,-0.0243,0.3477,0.644
48,0.048,0.0123,-0.0042,0.095,-0.0209,0.3134,0.8316
49,0.049,0.001,-0.0011,0.0566,-0.006,0.1038,0.422
50,0.05,-0.0017,0.0055,0.0247,-0.0006,-0.0708,-0.0929
51,0.051,-0.0002,0.0083,0.0358,0.0075,-0.0979,-0.2515
52,0.052,-0.0015,0.0035,0.0456,0.0052,-0.1221,-0.2991
53,0.053,-0.0051,0.0018,0.0545,0.0073,-0.1439,-0.2549
54,0.054,-0.0019,0.0001,0.0454,0.0013,-0.0827,-0.2148
55,0.055,-0.0009,-0.0025,0.0526,0.0105,-0.2481,-0.3935
56,0.056,-0.0017,-0.0013,0.0451,0.0054,-0.4031,-0.8818
