Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0193,-0.0036,0.1296,0.002,0.014,-0.0252
1,0.001,0.0289,-0.0076,-0.0054,-0.004,-0.2006,-0.533
2,0.002,0.0494,-0.0102,-0.0934,-0.0028,-0.2819,-0.5871
3,0.003,0.0626,-0.0091,-0.1055,-0.0037,-0.3004,-0.6338
4,0.004,0.0694,-0.0028,-0.116,-0.0119,-0.3161,-0.6742
5,0.005,0.0711,-0.0075,0.0404,-0.0039,-0.2852,-0.6041
6,0.006,0.0646,-0.0067,0.1041,-0.0028,-0.2969,-0.6345
7,0.007,0.0439,-0.003,-0.0217,-0.009,-0.5639,-1.2675
8,0.008,0.0191,-0.0066,-0.2351,-0.0216,-0.5141,-0.9666
9,0.009,0.0027,-0.0109,-0.3185,-0.0305,-0.2528,-0.3542
10,0.01,-0.006,-0.0126,-0.2321,-0.0285,-0.0811,-0.1075
11,0.011,0.0022,-0.0091,-0.3003,-0.0144,-0.0443,-0.0241
12,0.012,-0.0001,-0.0023,-0.3616,-0.0086,-0.0108,0.0519
13,0.013,-0.0112,0.0049,-0.2954,-0.0033,0.0198,0.006
14,0.014,-0.0212,0.0055,-0.2716,-0.0016,-0.041,-0.0346
15,0.015,-0.0302,0.0062,-0.2163,-0.0111,0.1875,0.5019
16,0.016,-0.0048,0.0023,-0.0443,-0.0072,0.2807,0.5796
17,0.017,0.0133,0.0099,-0.0184,-0.006,0.0419,0.0143
18,0.018,0.0165,0.0149,-0.0753,-0.0006,-0.1817,-0.3606
19,0.019,0.0135,0.0082,-0.0897,0.0059,-0.2049,-0.4181
20,0.02,-0.0002,0.0122,-0.1023,0.0068,-0.2252,-0.4687
21,0.021,0.0071,0.0021,-0.0529,0.0062,-0.1941,-0.3979
22,0.022,0.0048,-0.0021,-0.0359,0.0057,-0.1656,-0.3331
23,0.023,0.0068,-0.0034,-0.0205,-0.0037,-0.2606,-0.6554
24,0.024,0.005,0.002,0.0167,0.0005,-0.4933,-1.1191
25,0.025,-0.0034,0.0049,0.0504,0.0018,-0.3223,-0.5306
26,0.026,-0.011,0.0092,0.1377,0.0029,-0.0485,0.021
27,0.027,-0.0233,0.0168,0.1736,0.006,0.064,0.1
28,0.028,-0.045,0.0113,0.1644,0.0052,0.1005,0.1711
29,0.029,-0.0775,0.0175,0.2311,-0.0006,0.0742,0.2351
30,0.03,-0.0902,0.0095,0.3084,0.0032,0.1043,0.1884
31,0.031,-0.1014,0.0062,0.2978,-0.0044,0.0827,0.2416
32,0.032,-0.1043,0.0069,0.2693,0.0009,0.3749,0.8107
33,0.033,-0.0675,0.0042,0.1407,0.0002,0.2575,0.5808
34,0.034,-0.0142,0.0047,-0.024,-0.0023,0.0074,0.0924
35,0.035,0.0213,-0.0032,-0.1779,-0.0058,-0.0882,-0.2219
36,0.036,0.0148,0.0018,-0.276,-0.005,-0.115,-0.2739
37,0.037,-0.0026,0.0008,-0.4014,-0.0018,-0.139,-0.3202
38,0.038,-0.0078,0.0118,-0.4141,-0.0012,-0.1604,-0.3618
39,0.039,-0.022,0.004,-0.3952,0.0004,-0.0906,-0.2255
40,0.04,-0.0001,0.0052,-0.3779,-0.0025,-0.3106,-0.8125
41,0.041,0.0117,-0.0012,-0.1867,-0.0052,-0.3959,-0.8891
42,0.042,0.0081,-0.0023,0.0035,-0.0085,-0.1492,-0.3415
43,0.043,0.0048,0.0007,0.0282,-0.0014,0.082,0.1537
44,0.044,0.0076,0.0014,0.0503,0.0017,0.1127,0.2195
45,0.045,0.0156,-0.0012,0.0294,0.0064,0.1401,0.2782
46,0.046,0.0178,0.0025,0.0469,0.009,0.1158,0.3309
47,0.047,0.0111,-0.0011,0.0292,0.0054,0.0936,0.1871
48,0.048,0.0171,-0.0042,0.1045,0.0061,0.1946,0.491
49,0.049,0.03,-0.0083,0.1171,0.0045,0.4332,0.9232
50,0.05,0.0248,-0.0118,0.1035,0.0041,0.2677,0.5135
51,0.051,0.0263,-0.014,0.0911,0.0057,-0.0015,-0.0686
52,0.052,0.0193,-0.0203,0.08,0.01,-0.1097,-0.1466
53,0.053,0.0181,-0.0266,0.1075,0.0096,-0.0771,-0.2166
54,0.054,0.019,-0.0323,0.1666,0.0112,-0.1067,-0.2796
55,0.055,0.0159,-0.0343,0.1262,0.0143,-0.1333,-0.2208
56,0.056,0.015,-0.0235,0.1037,0.0105,-0.1083,-0.2723
57,0.057,0.0191,-0.0188,0.0575,0.0071,-0.3976,-0.8922
58,0.058,0.0138,-0.0174,0.0507,0.0022,-0.3564,-0.634
59,0.059,0.0156,-0.0034,0.129,-0.0054,-0.1031,-0.0907
60,0.06,0.0185,0.0059,0.0928,-0.0105,0.0613,0.2612
61,0.061,0.0155,0.0043,0.0396,-0.0111,0.0911,0.1974
62,0.062,0.0128,0.012,-0.0843,-0.0118,0.1177,0.2549
63,0.063,0.0131,0.0216,-0.1015,-0.0001,0.1417,0.3067
64,0.064,0.0066,0.0154,-0.1171,0.0051,0.0742,0.162
65,0.065,0.0056,0.0166,-0.159,0.0007,0.2964,0.7263
66,0.066,-0.0039,0.0136,-0.2472,0.0049,0.3838,0.8
67,0.067,0.0074,0.0165,-0.2354,0.0062,0.1388,0.3057
68,0.068,0.018,0.0107,-0.2042,-0.0014,-0.0913,-0.1429
69,0.069,0.0249,0.0072,-0.0815,-0.0065,-0.1214,-0.2014
70,0.07,0.0084,0.0081,0.0684,-0.0054,-0.0944,-0.2538
71,0.071,-0.0027,0.0125,0.0469,0.0025,-0.1187,-0.3009
72,0.072,-0.0127,0.0156,-0.0466,0.0098,-0.0963,-0.2564
73,0.073,-0.0101,0.0155,-0.1146,0.002,-0.183,-0.5076
74,0.074,-0.0044,0.011,-0.1317,-0.0082,-0.4051,-0.9399
75,0.075,0.0041,0.0107,0.0049,-0.0067,-0.2551,-0.5306
76,0.076,-0.0004,0.0105,0.1329,-0.0029,-0.0106,0.0518
77,0.077,-0.0017,0.0155,0.2151,-0.006,0.0881,0.2843
78,0.078,0.0046,0.0116,0.2894,0.0014,0.1177,0.2142
79,0.079,-0.0009,0.0079,0.1626,-0.0013,0.1442,0.2775
80,0.08,-0.0038,0.0067,0.0104,-0.002,0.1192,0.219
