Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0014,-0.0027,-0.0173,0.001,0.0176,-0.0101
1,0.001,0.0057,-0.0063,-0.009,0.0013,0.0034,0.005
2,0.002,0.0133,-0.0093,0.0137,-0.0006,-0.002,0.011
3,0.003,0.0202,-0.0064,0.0102,-0.0003,-0.0036,0.0054
4,0.004,0.0154,-0.0074,0.0012,-0.0021,-0.0172,0.0104
5,0.005,0.0057,-0.0057,-0.0126,0.0021,-0.0299,0.0058
6,0.006,0.0018,-0.0047,-0.015,0.005,-0.0548,-0.0012
7,0.007,0.0026,-0.0005,0.005,0.0009,-0.0723,-0
8,0.008,-0.0006,0.0089,0.0293,0.0044,-0.0488,0.001
9,0.009,-0.0016,0.0239,0.0387,0.0112,-0.0037,0.0104
10,0.01,-0.0076,0.0217,0.0295,0.0141,0.0672,0.0215
11,0.011,0.0037,0.0234,-0.0008,0.0076,0.0574,-0.0015
12,0.012,0.0119,0.008,-0.0048,0.0016,0.0828,-0.0178
13,0.013,0.0041,-0.0184,-0.0157,0.0067,-0.0032,-0.0029
14,0.014,-0.0057,-0.0291,-0.006,0.006,-0.0145,-0.0002
15,0.015,0.0029,-0.0126,-0.0148,-0.0024,0.0166,-0.0074
16,0.016,-0.0005,-0.0097,-0.0284,0.0008,0.026,-0.0095
17,0.017,-0.0037,-0.0123,-0.0307,-0.0023,0.0173,-0.0074
18,0.018,-0.0047,-0.005,-0.0016,-0.0015,0.0096,-0.0055
19,0.019,-0.0006,0.0015,0.0501,-0.0041,0.0025,-0.0004
20,0.02,-0.0001,-0.0046,0.0425,-0.0035,-0.0038,0.0071
21,0.021,-0.0009,-0.0027,0.023,-0.0028,-0.0094,0.0031
22,0.022,-0.0027,0.0023,0.0284,0.0013,-0.004,0.0019
23,0.023,-0.0011,0.0038,0.0018,0.0053,-0.0086,0.005
24,0.024,-0.0017,0.0051,-0.003,-0.0005,-0.0041,-0.0044
25,0.025,-0.0021,0.0062,-0.025,0.0031,-0.0079,-0.0007
26,0.026,-0.0031,0.0071,-0.0447,0.0037,-0.0042,-0.0039
27,0.027,0.0013,0.0019,-0.0266,-0.0006,-0.0138,-0.0069
28,0.028,0.0009,0.0045,0.0097,-0.0012,-0.0107,-0.0076
29,0.029,-0.0036,0.0036,0.0529,-0.0017,-0.0079,0.0035
30,0.03,-0.0018,0.0057,0.0468,-0.0014,-0.0054,-0.001
31,0.031,0.0011,0.0022,0.0201,0.0024,-0.0031,0.003
32,0.032,0.0046,0.0026,0.0153,0.0039,-0.005,0.0092
33,0.033,0.0057,-0.0003,0.002,0.006,-0.0104,0.0015
34,0.034,0.0084,-0.005,-0.0018,0.0004,-0.0019,-0.0057
35,0.035,0.0078,-0.0067,0.009,-0.0033,-0.0033,0.0046
36,0.036,0.0037,-0.0049,-0.0008,-0.0082,-0.0073,-0.005
37,0.037,0.005,-0.0064,-0.0156,-0.0176,0.0015,-0.0087
38,0.038,0.0017,-0.0052,-0.0018,-0.0162,0.0026,-0.0008
39,0.039,0.0012,-0.0032,0.0006,-0.0074,-0.0005,0.0044
40,0.04,0.0035,0.0004,-0.0059,0.0004,0.0004,0.0017
41,0.041,-0.0019,0.0073,-0.0079,-0.0027,-0.0004,-0.0007
42,0.042,-0.0135,0.0042,-0.0059,0.0018,-0.0042,0.0045
43,0.043,-0.0153,-0.0022,-0.0041,0.001,-0.0077,-0.0004
44,0.044,-0.0078,-0.0014,-0.0025,0.0016,0.0006,-0.0008
45,0.045,-0.0011,0.0101,-0.0011,0.0051,0.0016,-0.0003
46,0.046,0.005,0.0151,-0.0047,0.0008,-0.0036,0.0032
47,0.047,0.0125,0.0075,-0.0015,-0.0009,-0.0028,0.0021
48,0.048,0.0154,0.0088,-0.0024,-0.0004,-0.0053,0.0049
49,0.049,0.0197,0.0125,0.0021,0.0025,-0.006,0.0039
