Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0042,0.0042,-0.0037,0.0007,0.0018,-0.0057
1,0.001,0,-0.0041,0.0019,-0.0028,-0.0039,0.0056
2,0.002,-0.0028,-0.0009,0.004,-0.004,-0.0031,0.0069
3,0.003,-0.0104,0.0043,0.0045,0.0007,-0.0037,0.0027
4,0.004,-0.0092,0.0034,0.0039,-0.0023,0.0011,0.0013
5,0.005,-0.0019,0.0042,-0.0038,-0.0006,-0.0006,-0.002
6,0.006,0.0009,0.0035,-0.0049,-0.0001,-0.0001,-0.0074
7,0.007,-0.0015,0.0014,-0.0058,-0.0031,-0.0078,-0.0083
8,0.008,-0.0036,-0.0004,0,-0.0027,-0.0067,-0.0006
9,0.009,-0.0084,-0.0009,0.0068,0.0008,-0.0057,0.0023
10,0.01,-0.0052,-0.0025,0.0075,0.0038,-0.003,0.0067
11,0.011,0.0001,-0.0003,0.0065,0.0009,0.0012,0.0123
12,0.012,-0.0019,-0.0024,0.0085,-0.0001,-0.001,0.0173
13,0.013,-0.0013,0.0011,0.0148,0.0002,0.001,0.019
14,0.014,-0.0007,-0.0012,0.0104,-0.0008,0.0014,0.0182
15,0.015,-0.0041,-0.0032,0.0065,0.0022,-0.0014,0.0185
16,0.016,-0.0037,-0.0007,0.0028,0.001,0.0021,0.0105
17,0.017,-0.0075,0.0002,0.0069,0.002,-0.0049,0.0135
18,0.018,-0.0109,0.0052,0.0073,-0.0019,-0.0039,0.0102
19,0.019,-0.0039,0.0044,0.0056,-0.0024,0.0006,0.0054
20,0.02,-0.0008,0.0048,-0.0014,-0.0046,-0.0002,-0.0025
21,0.021,-0.0034,0.0007,-0.0025,-0.0025,0.0004,-0.0016
22,0.022,-0.0025,0.0063,-0.0017,-0.0051,0.0024,-0.0044
23,0.023,0.0027,0.004,-0.0043,0.0002,-0.0046,-0.0019
24,0.024,0.0048,-0.001,-0.0022,-0.0005,-0.0054,-0.0042
25,0.025,0.0018,-0.0005,-0.0016,0.0015,-0.0046,-0.0023
26,0.026,0.0013,-0.0001,0.0001,0.001,-0.0024,-0.0019
27,0.027,-0.0002,-0.0069,0.0005,-0.0031,-0.0018,-0.0024
28,0.028,-0.0013,-0.0061,-0.0021,0.0005,-0.0001,-0.001
29,0.029,-0.0041,-0.0189,-0.0033,-0.0007,-0.0065,-0.0008
30,0.03,-0.0037,-0.017,0.003,0.0004,-0.004,-0.0005
31,0.031,-0.0013,-0.0119,-0.0055,0.004,0.0028,-0.0057
32,0.032,-0.0056,-0.0104,0,0.0069,0.0073,-0.0093
33,0.033,0.0009,-0.0035,-0.0011,0.003,0.0064,-0.0076
34,0.034,0.0001,0.0001,-0.0003,0.0035,0.0056,-0.0048
35,0.035,0.0008,0.0011,0.0022,0.0023,0.0049,0.0029
36,0.036,-0.0013,0.002,0.0043,0.0002,0.0031,-0.0005
37,0.037,0.0005,0.0064,0.0007,0.0028,0.0035,0.0067
38,0.038,0.001,0.0055,0.0001,0.0031,0.001,0.0002
39,0.039,-0.0006,0.0047,-0.0028,0,0.0051,-0.0024
40,0.04,-0.0017,0.0053,-0.0043,-0.0003,0.0055,0.0044
41,0.041,0.0038,-0.0005,0.0008,-0.0049,0.004,-0.0021
42,0.042,0.0044,0.0063,0.0056,-0.0032,0.0089,-0.0013
43,0.043,-0.002,0.007,0.0061,0.0021,0.0011,0.0101
44,0.044,0.0074,0.0027,0.0008,0.0056,0.0021,0.0117
45,0.045,0.0086,0.0005,0.0001,0.0025,0.0047,0.001
46,0.046,0.0029,0.0039,-0.0016,-0.0004,-0.0012,-0.0031
47,0.047,0.0059,0.0009,0.0001,-0.0019,0.001,0.0006
48,0.048,0.005,0.0013,0.0026,-0.0022,0.0003,0.0037
49,0.049,0.0007,-0.0012,-0.0016,-0.0025,0.0033,0.0047
50,0.05,0.0029,-0.0016,0.0048,-0.0022,0.0015,0.0073
51,0.051,0.0048,0.0013,0.004,-0.006,0.003,0.0031
52,0.052,0.0018,-0.0006,0.0018,-0.0044,-0.0039,-0.0022
53,0.053,0.0022,0.004,-0.0031,-0.0041,-0.0049,-0.007
54,0.054,-0.0056,0.0023,-0.0061,-0.0044,-0.004,-0.0164
55,0.055,-0.0024,0.0039,-0.0089,0.0014,-0.0049,-0.0204
56,0.056,-0.0013,0.0116,-0.0031,0.0022,-0.0026,-0.009
57,0.057,-0.0005,0.0038,-0.0024,-0.003,-0.0019,-0.0044
58,0.058,-0.0013,0.0048,-0.0073,0.0019,-0.0014,-0.0057
59,0.059,-0.0035,0.004,0.0022,0.0076,0.0026,0.0056
60,0.06,-0.0028,0.0048,-0.0018,0.0083,-0.0031,0.0071
61,0.061,0.0014,0.0054,-0.0006,0.0047,-0.0008,-0.0025
62,0.062,-0.0027,0.0047,0.0004,0.0005,-0.0001,0.0037
63,0.063,-0.0011,0.003,-0.0026,0.0034,-0.0006,-0.004
64,0.064,0.0011,-0.001,0.002,0.0008,0.0023,0.0012
65,0.065,0.0039,-0.0005,0.0062,0.002,0.0028,0.0004
66,0.066,0.0029,-0.0055,0.0114,0.0009,-0.0002,0.0132
67,0.067,-0.0023,0.0009,0.0078,-0.0001,-0.0005,0.0113
68,0.068,-0.0016,0.0018,0.0009,0.0009,0.0038,0.0028
69,0.069,-0.0036,-0.0051,-0.0018,-0.0008,-0.0014,0.0043
70,0.07,-0.0053,0.0013,-0.0027,0.0034,0.0035,-0.0026
71,0.071,-0.0047,0.0005,-0.002,0.0004,-0.0007,-0.0015
72,0.072,-0.0062,0.0058,0.0029,-0.0036,-0.0001,-0.0004
73,0.073,-0.0073,0.0022,-0.0001,-0.0021,-0.0058,-0.0015
74,0.074,-0.0069,0.0027,-0.0041,0.001,0.0012,-0.0078
75,0.075,-0.0011,-0.0037,0.0026,-0.0019,0.0021,0.0016
76,0.076,-0.0036,-0.0011,0.0053,-0.0029,-0.0038,0.0078
77,0.077,-0.0042,-0.0033,0.0027,0.001,-0.003,0.0022
78,0.078,-0.0006,-0.0012,0.0021,-0.0037,0.0034,0.0074
79,0.079,-0.0011,-0.0029,0.0041,-0.002,0.0026,0.0065
80,0.08,-0.0016,-0.0023,0.0035,-0.0003,0.0033,0.0023
81,0.081,-0.0011,0.0024,0.0087,-0.0018,0.0054,0.006
82,0.082,-0.0014,0.0019,0.0038,0.0013,0.0012,0.0095
83,0.083,0.0051,-0.0021,-0.0004,0.0025,0.0018,0.0064
84,0.084,0.0042,0.0047,-0.001,-0.0026,0.0003,0.0047
85,0.085,0.0068,-0.0017,-0.0004,0.001,0.0006,0.0021
86,0.086,0.009,-0.0041,-0.0035,0.0005,0.0003,-0.0039
87,0.087,0.0096,0.0028,-0.0014,-0.0024,0.0014,0.002
88,0.088,0.0115,-0.0029,-0.0051,0.0001,-0.0001,-0.0002
89,0.089,0.0084,-0.0037,-0.0061,-0.0004,-0.0024,-0.0039
90,0.09,0.0067,0.0006,-0.0078,-0.0007,-0.0007,-0.0059
91,0.091,0.001,0.0012,-0.0101,0.0032,-0.0025,-0.0064
92,0.092,0.0017,0.0032,-0.0059,-0.0004,-0.0013,-0.0047
93,0.093,0.0038,-0.005,-0.0017,-0.0026,-0.0011,0.0011
94,0.094,0.0068,-0.0018,0.0012,-0.0006,0.0009,0.0048
95,0.095,0.0073,-0.0048,-0.0035,-0.0016,0.0021,0.0012
96,0.096,0.0067,-0.0075,-0.004,-0.0005,0.0058,-0.003
97,0.097,0.007,-0.0203,0,-0.0029,-0.0009,-0.0059
98,0.098,0.0006,-0.0183,-0.0077,-0.0066,-0.0018,-0.0074
99,0.099,-0.0002,-0.0098,-0.0067,-0.0051,-0.0009,-0.0043
100,0.1,-0.0045,-0.0083,-0.0014,0.0019,-0.0046,-0.0071
101,0.101,-0.0008,-0.0042,-0.0023,0.0049,-0.0011,-0.0068
102,0.102,-0.0057,-0.0031,0.0003,0.004,-0.0028,-0.0084
103,0.103,-0.0073,0.0072,0.004,-0.0002,-0.0056,-0.0054
104,0.104,-0.009,0.0031,0.0019,-0.0039,-0.0031,-0.0012
105,0.105,-0.0105,0.0019,0.0036,-0.0019,-0.0034,-0.0064
106,0.106,-0.0108,0.0029,0.0007,-0.0002,-0.0022,-0.0043
107,0.107,-0.0044,-0.0002,0.0032,-0.0043,-0.0032,-0.006
108,0.108,-0.0036,0.0006,0.0054,0.0025,-0.0049,0.0004
109,0.109,-0.0044,0.0048,0.0041,0.0016,0.0001,0.0063
110,0.11,-0.0081,0.0026,0.006,0.0008,-0.0019,0.0041
111,0.111,-0.0032,0.0045,0.0007,-0.0014,-0.0002,-0.0008
112,0.112,-0.0037,0.0075,0.0029,0.005,-0.0007,-0.0025
113,0.113,0.0015,0.0022,-0.0007,0.0024,-0.0003,-0.0008
114,0.114,-0.0034,-0.0027,-0.0012,-0.0028,-0.0063,0.0069
115,0.115,-0.0004,0.003,-0.0007,-0.0022,0.0014,0.0013
116,0.116,-0.0033,0.0022,0.0008,-0.0005,0.0004,-0.0017
117,0.117,0.0002,0.0042,-0.0023,-0.001,0.0012,0.0028
118,0.118,-0.004,-0.0028,-0.0002,-0.0015,0.0003,0.0003
119,0.119,-0.0024,0.0036,-0.0013,0.0006,-0.0066,-0.0049
120,0.12,-0.0009,0.0027,-0.0058,0.007,-0.002,-0.0043
121,0.121,-0.0013,0.0004,-0.0016,0.0115,-0.0046,-0.0012
122,0.122,0.0007,0.0039,0.0013,0.0056,0.0023,0.0052
123,0.123,-0.0012,0.0022,-0.0003,0.0018,-0.0023,0.006
124,0.124,-0.0009,0.0026,0.0009,-0.0046,0.0036,0.0066
125,0.125,0.0008,0.0011,0.0073,0.0013,0.0014,0.0045
126,0.126,-0.0006,0.0013,0.0046,-0.0009,-0.0022,0.0075
127,0.127,0.001,-0.0007,0.0021,0.0011,-0.0017,0.0035
128,0.128,0.0027,0.0035,0.0073,-0.002,0.0011,0.0009
129,0.129,0.0013,-0.003,0.0052,-0.0015,0.0046,0.0006
130,0.13,-0.0001,-0.0022,0.0057,0,0.0049,-0.0033
131,0.131,-0.0014,-0.0029,-0.0019,-0.0012,0.0088,0.0002
132,0.132,-0.0029,-0.0009,0.0033,-0.0041,0.0052,-0.002
133,0.133,0.0001,-0.0078,-0.0013,-0.0015,0.0073,-0
134,0.134,-0.0011,-0.0014,-0.0021,0.0008,0.0017,0.0003
135,0.135,0.0031,0.0028,-0.0014,0.0018,-0.0005,0.0041
136,0.136,-0.0058,0.005,0.005,-0.002,0.003,0.0066
137,0.137,-0.0021,0.0029,-0.0062,-0.0005,0.0025,0.0044
138,0.138,-0.0077,0.0072,-0.0016,0.0007,-0.004,0.004
139,0.139,-0.0107,0.0159,0.0025,0.0004,-0.0032,0.0037
140,0.14,0.0033,0.0071,0.0013,0,0.0021,0.006
141,0.141,0.0053,-0.0007,0.0023,-0.0024,0,0.0009
142,0.142,0.0108,0.0046,-0.0092,-0,0.0005,-0.0084
143,0.143,0.0091,-0.0057,-0.0047,0.0001,0.0057,-0.0047
144,0.144,0.0166,-0.0017,0.0023,-0.001,0.0064,0.0056
145,0.145,0.0125,-0.0028,0.0011,-0.0027,0.0006,-0.0013
146,0.146,0.0088,-0.0018,-0.0021,0.0005,-0.0016,-0.005
147,0.147,0.0055,0.0013,-0.0073,-0.0046,0.002,-0.004
148,0.148,0.0045,0.0004,-0.0027,-0.0053,0.0036,-0.003
149,0.149,0.0036,-0.0021,-0.0053,0.0005,-0.0004,-0.0021
150,0.15,0.0044,0.0001,0.0032,-0.0002,-0.004,0.0004
151,0.151,0.0037,-0.0034,-0.0023,0.0018,-0.0052,-0.008
152,0.152,-0.0027,-0.0076,0.0029,0.0002,-0.004,-0.0048
153,0.153,0.0015,-0.0035,-0.0035,0.0031,-0.0014,-0.0058
154,0.154,-0.0054,-0.0009,-0.0043,0.0066,0.0025,-0.0012
155,0.155,-0.0027,0.0014,-0.0036,-0.0003,0.003,-0.0037
156,0.156,0.0015,-0.0015,0.0028,-0.0013,0.0018,-0.0015
157,0.157,-0.0054,-0.0011,0.0054,-0.0004,0.003,0.0079
158,0.158,-0.0027,-0.0049,0.0032,0.0004,-0.0005,0.0067
159,0.159,-0.0052,-0.0001,0.0053,0.0026,0.0007,0.0036
160,0.16,-0.003,-0.0018,0.0011,0.0006,-0.0005,0.0006
161,0.161,0.0006,0.0024,0.0051,-0.0011,-0.0047,0.0033
162,0.162,0.0011,-0.0011,0.0077,0.0018,0.0018,0.0025
163,0.163,-0.0005,-0.0041,0.0008,-0.0008,-0.0007,0.0032
164,0.164,0.002,-0.0029,-0.0002,0.0004,0.0015,-0.0032
165,0.165,0.0024,-0.0018,0.0025,0.0001,-0.002,-0.0057
166,0.166,-0.004,0.0035,-0.0017,0.0043,-0.0037,-0.0019
167,0.167,-0.0031,-0.0002,0.0005,0.0015,-0.002,0.003
168,0.168,-0.0022,0.0076,-0.0044,-0,-0.0004,-0
169,0.169,-0.0015,0.0087,-0.0039,-0.0003,-0,0.0017
170,0.17,-0.0008,0.0023,-0.0034,0,-0.0048,-0.005
171,0.171,0.0024,0.0049,-0.0049,-0.001,-0.0017,-0.0042
172,0.172,-0.0005,-0.0003,-0.0027,0.0014,0.0012,-0.005
173,0.173,0.0032,0.0033,-0.0055,-0.0016,0.0028,-0.0012
174,0.174,0.0063,-0.0036,-0.0045,0.0019,0.0016,-0.0018
175,0.175,0.0024,-0.0009,-0.0042,0.0007,0.0013,0.0024
176,0.176,0.002,-0.0033,0.0009,0.0046,0.0003,0.0008
177,0.177,0.0024,-0.0011,0.0016,-0.0031,0.0007,0.0044
178,0.178,0.0021,0.0026,-0.0001,0.0001,-0.001,0.0074
179,0.179,0.0003,-0.0016,0.0004,0.0011,-0.0003,0.0046
180,0.18,-0.0007,0.0014,0.003,0.0038,0.0004,0.0027
181,0.181,-0.003,0.0009,0.0052,-0.0021,-0.0008,0.0037
182,0.182,-0.0023,0.0032,-0.0012,0.0064,0.0012,0.0068
183,0.183,-0.0016,0.0029,-0.0004,0.0032,0.0014,0.0018
184,0.184,-0.0022,0.0004,0.0005,0.0022,0.0021,0.0038
185,0.185,-0.0042,0.0008,0.0042,0.0013,-0.0011,0.0021
186,0.186,-0.0025,-0.0008,0.0036,-0.0029,-0.0008,0.005
187,0.187,-0.0041,-0.0006,0.0041,-0.0051,-0.0047,0.0003
188,0.188,-0.0012,0.0002,0.0069,-0.0015,0,0.002
189,0.189,0.002,0.0043,-0.0029,-0.0008,0.0005,-0.0049
190,0.19,0.0039,0.0031,-0.0024,-0.0003,0.001,-0.009
191,0.191,0.0022,-0,0.0037,-0.0067,-0.0019,-0.0032
192,0.192,0.0046,-0.003,-0.0022,-0.0008,0.0016,-0.001
193,0.193,0.0016,-0.0069,-0.0015,-0.006,0.0012,-0.0017
194,0.194,0.002,-0.0054,0.0005,-0.0025,0.0068,-0.0034
195,0.195,0.0055,-0.0084,0.0035,-0.0008,0.0031,-0.0029
196,0.196,0.0005,-0.0063,0.0007,-0.0048,0.001,-0.0044
197,0.197,-0.0073,-0.0006,0.0002,-0.0023,-0.0033,-0.0014
198,0.198,-0.0104,0.0089,-0.0068,-0.0035,-0.0062,-0.0042
199,0.199,-0.0131,0.0078,-0.0037,-0.0006,-0.0078,-0.0032
200,0.2,-0.0072,0.0022,-0.001,0.0019,-0.009,-0.0035
201,0.201,-0.0019,-0.0051,0.0016,-0.0033,-0.0051,-0.0046
202,0.202,-0.0084,0.0014,0.0053,-0.0055,-0.0047,-0.0003
203,0.203,0.0028,-0.0012,0.0004,-0.0048,-0.0025,-0.0045
204,0.204,0.0012,0.0025,-0.0001,-0.0006,0.0022,-0.0062
205,0.205,-0.0029,-0.001,-0.0018,0.0035,-0.0009,-0.0026
206,0.206,-0.0017,-0.0052,0.003,0.006,-0.0004,0.0016
207,0.207,-0.0007,-0.0024,0.0013,0.0103,-0.004,-0.0013
208,0.208,-0.006,-0.0049,-0.0004,0.0062,0.0021,-0.0038
209,0.209,0.0004,0.002,-0.0039,0.0057,0.0012,0.0023
210,0.21,0.0012,0.001,-0.0028,0.0035,0.0018,0.0065
211,0.211,0.0018,0.0037,-0.004,0.0032,-0.0003,0.0028
212,0.212,0.0054,-0.0006,-0.0004,-0.0026,0.0002,0.0048
213,0.213,0.0048,-0.0013,-0.0055,-0.0018,0.0042,-0.0046
214,0.214,-0.0004,-0.002,0.001,-0.0011,-0.0006,-0.0006
215,0.215,0.0045,-0.0051,0.0035,-0.0031,-0.0037,0.0108
216,0.216,0.005,0.0001,0.0042,-0.0062,-0.002,0.0092
217,0.217,-0.0015,0.0021,0.0062,-0.0057,-0.0005,0.0079
218,0.218,-0.0093,0.0051,-0.0033,-0.0021,-0.0009,0.0016
219,0.219,-0.0083,0.0068,-0.0047,0.0001,-0.0006,-0.0062
220,0.22,-0.0056,0.0032,-0.001,0.004,0.0004,-0.0031
221,0.221,-0.0065,0.002,-0.002,0.0014,-0.002,-0.0058
222,0.222,-0.0012,0.0039,-0.001,-0.0016,-0.0003,-0.005
223,0.223,0.0023,0.0003,-0.0002,0.0023,0.0015,-0.0028
224,0.224,0.0006,-0.0058,-0.0044,0.0038,0.0032,-0.0063
225,0.225,0.0001,-0.017,0.0056,-0.0023,0.0069,0.0019
226,0.226,0.0026,-0.0217,0.0042,-0.0015,0.0021,0.0097
227,0.227,0.0023,-0.0231,0.0079,-0.0008,-0.0009,0.0107
228,0.228,0.0043,-0.0118,0.0001,-0.0015,0.0055,0.0043
229,0.229,0.0061,-0.0043,-0.003,0.0027,0.0046,0
