Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0199,0.0084,0.0009,-0.0007,-0.0097,-0.0005
1,0.001,-0.03,0.0047,0.0004,0,-0.0087,0.0059
2,0.002,-0.0354,0.0037,0.005,0.0042,-0.0079,0.0017
3,0.003,-0.0303,-0.0015,0.0008,-0.001,-0.0001,-0.002
4,0.004,-0.0196,0.005,-0.0008,-0.003,0.0028,0.0045
5,0.005,-0.0016,0.0025,0.0017,-0.0024,0.0036,0.0087
6,0.006,0.0253,-0.0027,0.0029,-0.0006,0.001,0.008
7,0.007,0.0501,-0.0061,0.0017,-0.0021,0.0078,-0.0013
8,0.008,0.0659,-0.0043,-0.0024,-0.0009,0.0069,0.005
9,0.009,0.074,-0.0047,-0.0007,0.0012,0.0076,0.006
10,0.01,0.0652,-0.0031,0.0009,0.0002,0.0053,0.007
11,0.011,0.0375,-0.0091,0.0031,0.0005,0.0129,0.0043
12,0.012,0.0191,-0.0081,0.0034,-0.0011,0.0076,0.0085
13,0.013,0.0025,-0.0028,0.0052,0.0014,0.0029,0.0001
14,0.014,-0.0125,0.0022,0,0.0017,-0.003,-0.003
15,0.015,-0.0207,0.0028,0.0008,0.0033,-0.0037,0.0022
16,0.016,-0.0135,-0.0012,-0.0012,0.0046,-0.0002,-0.0061
17,0.017,-0.0114,-0.0016,-0.0016,0.0007,0.0014,-0.0092
18,0.018,-0.0094,0.0015,-0.0055,0.0047,0.0043,-0.0061
19,0.019,-0.0151,-0.0013,-0.0028,0.0021,-0.0015,-0.0033
20,0.02,-0.0168,-0.0016,-0.0024,-0.0021,0.0007,0.0009
21,0.021,-0.0213,-0.0032,-0.0019,0.002,0.0013,0.0003
22,0.022,-0.0282,-0.0028,-0.0015,0.0035,0.0055,-0.0032
23,0.023,-0.0219,0.001,-0.0052,0.0004,0.0049,0.0038
24,0.024,-0.0164,-0.0056,-0.0065,0.0024,0.0074,-0.0007
25,0.025,-0.0007,-0.0028,-0.0067,-0.0026,0.0061,-0.0049
26,0.026,0.0147,-0.0053,-0.0037,-0.0006,0.0099,-0.0117
27,0.027,0.0287,-0.003,-0.001,-0.0001,0.0063,-0.0052
28,0.028,0.034,-0.0009,0.0008,0.0004,0.0051,-0.0043
29,0.029,0.0287,-0.0025,-0.0021,0.0019,0.003,-0.0035
30,0.03,0.0179,-0.0007,-0.001,0.0007,0.0054,-0.0041
31,0.031,-0.0001,-0.0001,0.0001,0.0003,0.0008,-0.0057
32,0.032,-0.0124,0.0011,-0.0015,0.0028,-0.0034,-0.0061
33,0.033,-0.0101,-0.0044,-0.0039,0.0011,-0.0063,-0.0013
34,0.034,-0.0081,0.0072,0.0008,-0.0019,-0.0027,0.0004
35,0.035,-0.0137,0.0089,-0.0008,0.0006,-0.0039,-0.0059
36,0.036,-0.0053,0.0104,-0.0002,-0.0026,-0.0087,0
37,0.037,-0.0039,0.0064,-0.0007,-0.0023,-0.0056,0.0038
38,0.038,0,0.0053,0.0054,-0.0019,-0.0108,0.0018
39,0.039,0.0011,0.0021,-0.0022,-0.0051,-0.0031,0.0035
40,0.04,0.0134,-0.0008,0.0009,-0.007,-0.0021,0.0064
41,0.041,0.0083,0.0001,-0.0036,-0.0035,0.0043,0.0017
42,0.042,0.0127,-0.004,-0.001,-0.0064,0.0017,0.0012
43,0.043,0.003,-0.0018,-0.0015,-0.0035,-0.0005,-0.0004
44,0.044,-0.0033,-0.0052,0.0006,-0.0032,0.0016,0.0021
45,0.045,-0.0065,-0.0046,-0.0036,-0.0042,-0.0026,0.0091
46,0.046,-0.0179,-0.0005,-0.0006,0.0009,-0.0021,0.0039
47,0.047,-0.0223,0.002,-0,-0.0027,-0.0098,-0.0025
48,0.048,-0.0181,0.0017,-0.0003,0.0015,-0.0088,-0.0067
49,0.049,-0.0168,0.0056,-0.0031,0.002,-0.0057,-0.0059
50,0.05,-0.0135,0.0072,0.0012,-0.0016,-0.0083,-0.0052
51,0.051,-0.0103,0.0002,-0.0005,-0.0005,-0.0041,-0.0009
52,0.052,-0.0018,-0.007,0.0043,0.0015,0.0028,0.0032
53,0.053,0.0085,-0.0042,0.0026,-0.0027,0.002,0.0047
54,0.054,0.021,-0.0016,0.0043,0.0025,0.0028,-0.0004
55,0.055,0.0294,0.0006,0.0048,0.0004,0.008,0.0017
56,0.056,0.0338,-0.0043,0.0051,-0.0013,0.006,0.0059
57,0.057,0.0296,-0.0038,0.0054,0.0015,0.0054,0.0018
58,0.058,0.0357,-0.0009,0.005,0.005,0.0071,-0.0017
59,0.059,0.0278,-0.0024,0.0011,-0.002,0.0023,0.0052
60,0.06,0.014,-0.0012,0.0036,0.0032,0.0065,0.0042
61,0.061,-0.0027,-0.0025,0.0029,0.0021,0.0071,0.0053
62,0.062,-0.0083,-0.0021,-0.0001,0.0048,-0.0017,-0.0011
63,0.063,-0.0134,-0.004,0.0003,-0.0012,-0.0129,-0.0036
64,0.064,-0.0088,0.0006,-0.0008,0.004,-0.0083,-0.0015
65,0.065,-0.0075,0.0023,-0.0059,0.0059,-0.0124,-0.0008
66,0.066,-0.0087,0.0028,-0.0007,0.0041,-0.0111,-0.005
67,0.067,-0.0142,0.0023,-0.0042,0.0001,-0.0121,0.0002
68,0.068,-0.0112,0.0074,-0.0025,0.0005,-0.0048,0.0066
69,0.069,-0.0103,0.0024,-0.0066,-0.0026,-0.0003,0.0006
70,0.07,-0.0128,0.0019,-0.003,0.0003,0.0056,-0.0001
71,0.071,-0.009,0.0014,-0.0027,0.0028,0.0034,-0.0008
72,0.072,-0.0153,-0.0001,-0.003,0.0003,0.0069,0.0022
73,0.073,-0.011,0.001,-0.0027,-0.0007,0.0111,-0.003
74,0.074,-0.0131,0.0022,-0.0024,-0.0033,0.0094,-0.0051
75,0.075,-0.0137,-0.0035,-0.0068,-0.0009,0.0098,-0.0046
76,0.076,-0.0153,-0.0061,-0.0084,0.0001,0.0068,-0.0029
77,0.077,-0.0227,-0.0083,-0.0037,0.0019,0.0039,-0.0034
78,0.078,-0.032,-0.0005,-0.0053,0.002,0.0036,-0.0022
79,0.079,-0.0405,-0.0036,-0.0048,0.0046,0.0053,-0.0019
80,0.08,-0.0255,-0.0027,-0.0013,-0.0006,0.0049,-0.0044
81,0.081,-0.003,-0.007,0.0017,-0.0028,0.003,-0.0027
82,0.082,0.024,-0.0033,0.0037,-0.0035,0.0069,-0.0017
83,0.083,0.0491,-0.0053,0.004,-0.0005,0.004,0.0013
84,0.084,0.0652,-0.0048,0.0029,-0,0.0045,0.0033
85,0.085,0.0736,-0.01,0.0032,-0.0005,0.0023,-0.0002
86,0.086,0.0596,-0.0093,-0.0011,-0.0017,0.0086,0.0001
87,0.087,0.0421,-0.0088,-0.0006,0.0021,0.0077,0.0004
88,0.088,0.0173,-0.0071,0.0022,-0.0046,0.0018,0.0007
89,0.089,0.0008,-0.0014,-0.0014,-0.0001,-0.0051,0.001
90,0.09,-0.008,0.0008,-0.0036,0.0008,-0.0078,-0.0041
91,0.091,-0.0161,0.0114,-0.0039,0.0014,-0.0155,-0.0105
92,0.092,-0.0184,0.0098,-0.0021,-0.0021,-0.0144,-0.001
93,0.093,-0.025,0.0084,-0.0011,-0.0004,-0.0152,-0.0047
94,0.094,-0.0229,0.0095,-0.0001,0.0001,-0.0143,-0.0125
95,0.095,-0.0247,0.0062,0.004,0.0036,-0.009,-0.0073
96,0.096,-0.0297,0.0072,0.0045,-0.0006,-0.0055,0.0067
97,0.097,-0.0281,0.0026,0.0027,-0.0011,-0.0024,0.0006
98,0.098,-0.0184,0.0034,0.0012,0.0046,0.0029,0.0024
99,0.099,-0.0246,0.0071,0.0014,0.0024,0.0036,0.0074
100,0.1,-0.0277,0.0021,0.0002,0.0017,0.003,0.0089
101,0.101,-0.014,0.0038,0.002,0,0.0047,0.0048
102,0.102,-0.001,0.0054,0.0023,0.0017,0.0072,0.0036
103,0.103,0.0075,0.0028,-0.0001,0.0002,0.0042,0.0067
104,0.104,0.0243,0.0016,0.0006,-0.0001,0.0003,0.0077
105,0.105,0.0398,0.0013,-0.0011,-0.0013,0.0029,0.0012
106,0.106,0.0457,-0.0045,0.0025,-0.0002,0.0079,-0.0013
107,0.107,0.0364,-0.0019,0.006,-0.0048,0.0086,-0.0006
108,0.108,0.0279,-0.0041,0.0038,-0.0005,0.0091,0.0029
109,0.109,0.0141,-0.0062,0.0049,-0.001,0.0015,0.0034
110,0.11,0.0049,-0.0045,-0.0009,0.0005,0.0005,0.0005
111,0.111,-0.0036,0.0019,-0,0.0027,-0.0041,0.0041
112,0.112,-0.0143,0.0011,0.0036,0.0015,-0.0015,0.001
113,0.113,-0.0103,-0.0012,0.0001,-0.001,-0.0052,0.0007
114,0.114,-0.0067,-0.0032,0.0069,-0.0013,0.0012,0.001
115,0.115,-0.0078,-0.0015,-0.0015,0.0031,0.0021,-0.0014
116,0.116,-0.0151,-0.001,0.004,0.0026,0.0015,0.0023
117,0.117,-0.0178,-0.0005,0.0009,0.0031,-0.0005,0.0011
118,0.118,-0.0203,0.0017,0.0055,0.0009,0.0001,0.0007
119,0.119,-0.0255,0.0014,0.008,-0.002,-0.0039,0.0043
120,0.12,-0.0191,0.0049,0.001,0.0023,-0.0096,0.0065
121,0.121,-0.0131,-0.0002,-0.0017,0.0018,-0.0102,0.0001
122,0.122,-0.0094,0.0018,0.0061,0.0003,-0.0067,-0.0026
123,0.123,-0.0101,0.0061,0.0008,0.0015,-0.0149,0.0016
124,0.124,-0.0043,0.0089,-0.0037,-0.0024,-0.0093,0.0038
125,0.125,-0.0037,0.0012,-0.0062,-0.0039,-0.0063,-0.0068
126,0.126,-0.0016,0.0022,-0.0068,0.0022,-0.0036,-0.0083
