Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,-0.0022,-0.0012,0.0021,-0.0008,-0.0016,0.0062
1,0.001,0.0146,0.0005,0.0002,0.0038,0.0054,0.009
2,0.002,0.0215,-0,0.0059,0.0021,0.0136,0.0065
3,0.003,0.019,-0.0006,-0.004,0.0015,0.0055,-0.0003
4,0.004,0.0247,0.0024,0.0001,-0.0031,0.0042,-0.0028
5,0.005,0.0299,0.0012,-0.0035,0.0051,0.0142,-0.0121
6,0.006,0.0346,-0.0038,-0.0066,-0.0005,0.0318,-0.013
7,0.007,0.0417,0.0039,-0.0075,-0.0056,0.0484,-0.016
8,0.008,0.0453,0.0049,-0.0029,-0.0028,0.0501,-0.0105
9,0.009,0.0336,-0.0016,-0.0087,-0.0019,0.0515,-0.0095
10,0.01,0.0165,0.0026,-0.0064,-0.004,0.0381,-0.0188
11,0.011,0.0184,0.0048,-0.0043,0.0024,0.0259,-0.0173
12,0.012,0.0041,0.0012,-0.0059,-0.0001,0.0149,-0.0139
13,0.013,-0.0016,0.0017,-0.0041,-0.0007,0.0051,-0.0065
14,0.014,-0.0101,-0.0012,-0.0015,-0.0013,-0.0089,0.0039
15,0.015,-0.0146,-0.0007,-0.0025,0.0044,-0.022,0.0054
16,0.016,-0.016,0.0035,0.0031,0.0022,-0.0271,0.0117
17,0.017,-0.0197,-0.003,0.0054,0.0002,-0.0257,0.0063
18,0.018,-0.0187,-0.0038,0.0006,0.0008,-0.0244,0.0095
19,0.019,-0.0218,-0.0045,0.0024,-0.0009,-0.0257,0.0104
20,0.02,-0.0245,-0.001,0.0041,-0.0033,-0.029,0.0097
21,0.021,-0.0186,-0.004,0.0099,-0.002,-0.026,0.0135
22,0.022,-0.015,-0.0057,0.0031,0,-0.0215,0.0156
23,0.023,-0.0086,0.0011,-0.0014,-0.0024,-0.0087,0.0062
24,0.024,-0.0129,0.0056,0.003,-0.0027,-0.007,0.0023
25,0.025,-0.0093,0.0013,-0.0007,-0.0022,0.0013,-0.0012
26,0.026,-0.0114,0.0006,0.0015,-0.002,0.0087,0.0066
27,0.027,-0.0109,0.0013,0.0033,-0.0012,0.0098,0.0097
28,0.028,-0.0081,-0.003,0.0028,0.0025,0.0108,0.0071
29,0.029,-0.0066,-0.0047,0.0044,-0.0022,0.0117,-0.0056
30,0.03,-0.0036,0.0001,-0.0015,-0.0016,0.0145,-0.0073
31,0.031,0.0028,-0.003,-0.0023,-0.0032,0.0189,0.0046
32,0.032,0.0131,-0.0001,0.0015,0.0004,0.0146,-0.0029
33,0.033,0.0254,-0.0037,0.0052,-0.0037,0.0259,-0.0153
34,0.034,0.027,0.0032,0.0035,0.0004,0.0241,-0.0201
35,0.035,0.0344,0.0002,0.0041,-0.002,0.0254,-0.0124
36,0.036,0.0383,0.0066,0.0047,0.0049,0.0294,-0.0163
37,0.037,0.0345,0.0057,-0.0021,0.0079,0.0255,-0.0124
38,0.038,0.0288,0.0019,-0.003,0.0033,0.0199,-0.0068
39,0.039,0.0173,-0.0001,-0.0075,-0.0025,0.0146,-0.0037
40,0.04,0.0127,0.0015,-0.0031,0.0013,0.0043,-0.01
41,0.041,0.0031,0.0032,-0.0082,0.002,-0.0053,-0.0074
42,0.042,-0.0056,-0.0003,-0.0088,-0.0022,-0.0165,-0.0022
43,0.043,-0.0133,0.0057,-0.0082,-0.0004,-0.0301,0.0085
44,0.044,-0.0141,0.0065,-0.0064,-0.0009,-0.0354,0.0099
45,0.045,-0.0167,0.0071,0.0015,-0.0038,-0.0335,0.0085
46,0.046,-0.0191,0.0036,0.0025,0.0001,-0.0226,0.0073
47,0.047,-0.0196,-0.0047,0.0036,0.0037,-0.0211,0.0104
48,0.048,-0.0188,-0.0037,0.0063,0.0087,-0.0197,0.003
49,0.049,-0.017,-0.0067,0.0072,0.0023,-0.0184,-0.0016
50,0.05,-0.0163,-0.0075,0.002,-0.0002,-0.0151,-0.0058
51,0.051,-0.0104,-0.0033,0.004,0.0035,-0.0046,-0.0052
52,0.052,-0.005,0.002,0.001,-0.0041,0.0108,-0.0072
53,0.053,-0.0028,-0.0001,0.0086,-0.0051,0.025,-0.0089
54,0.054,-0.0044,0.0004,0.0014,0.0014,0.0232,-0.0073
55,0.055,-0.0048,0.0021,-0.005,0.0039,0.0115,0.0004
56,0.056,-0.0083,-0.0026,0.0028,-0.0029,-0.0053,0.0013
57,0.057,-0.0124,-0.0043,-0.0002,-0.0037,-0.0117,0.0085
58,0.058,-0.0128,0.0009,0.0044,-0.0028,-0.0176,0.0186
59,0.059,-0.0163,-0.0055,-0.0015,-0.0034,-0.0156,0.0144
60,0.06,-0.0184,-0.0081,-0.0067,-0.0027,-0.0172,0.0106
61,0.061,-0.0128,-0.0028,-0.0017,-0.0009,-0.0034,0.0094
62,0.062,-0.0014,-0.0022,-0.0047,0.0008,0.0096,-0.0063
63,0.063,0.0043,0.0019,-0.0078,0.0013,0.0206,-0.0174
64,0.064,0.0194,0.006,-0.0106,-0.0012,0.0356,-0.0284
65,0.065,0.0333,0.0065,-0.0152,-0.0062,0.0495,-0.0344
66,0.066,0.035,0.0069,-0.0146,0.0002,0.0437,-0.0286
67,0.067,0.0398,0.0047,-0.0116,0.0027,0.0317,-0.0167
68,0.068,0.0381,0.0018,-0.0048,0.0021,0.024,-0.0028
69,0.069,0.0283,0.0021,-0.0039,-0.0028,0.0143,-0.0046
70,0.07,0.0194,-0.0032,-0.0013,-0.0011,-0.0021,-0.013
71,0.071,0.0115,-0.0025,-0.0035,0.0029,0.0001,-0.0175
72,0.072,0.0187,0.0067,-0.0028,-0.0006,-0.0019,-0.0023
73,0.073,0.0232,0.0004,0.0014,-0.0003,0.0037,0.0078
74,0.074,0.0103,-0.0073,0.0009,0.0017,-0.0047,0.0133
75,0.075,-0.0027,-0.0001,-0.0016,0.0007,-0.0123,0.0149
76,0.076,-0.0078,0.0007,0.0054,0.001,-0.0163,0.0133
77,0.077,-0.0183,-0.0018,0.0084,0.0013,-0.0125,0.0145
78,0.078,-0.0223,0.0003,0.0057,0.0007,-0.0202,0.0181
79,0.079,-0.0259,-0.0046,0.0048,-0.001,-0.0212,0.0147
80,0.08,-0.0335,-0.0051,0.0026,-0.0012,-0.0275,0.0073
81,0.081,-0.0344,-0.0034,0.0019,-0.0014,-0.0266,0.008
82,0.082,-0.0369,-0.0009,-0.0024,-0.0009,-0.0272,0.0037
83,0.083,-0.0326,0.0002,0.004,-0.0014,-0.0291,0.0088
84,0.084,-0.0272,0.0014,0.0031,-0.0006,-0.026,0.0094
85,0.085,-0.0207,-0.0005,0.0024,0.0013,-0.0208,0.0051
86,0.086,-0.0197,-0.0029,0.003,-0.0018,-0.0115,0.0125
87,0.087,-0.0082,0.0022,0.0035,-0.0021,-0.0002,0.0072
88,0.088,-0.0031,0.0001,-0.0018,-0.0045,0.0013,0.0063
89,0.089,0.0015,-0.0016,0.0046,-0.0028,-0.0001,0.007
90,0.09,0.0001,-0.0092,0.0037,-0.0047,-0.0064,0.0047
91,0.091,0.0038,-0.0019,0.0058,-0.0075,-0.0009,0.0026
92,0.092,0.0163,0.0026,0.0037,-0.0018,0.0104,0.0068
93,0.093,0.0179,0.0018,0.0053,-0.001,0.0118,0.0084
94,0.094,0.0193,-0.002,0.0024,0.0011,-0.0007,0.0109
95,0.095,0.0152,0.0044,0.0081,0.0031,-0.0059,0.0086
96,0.096,0.0139,-0.0033,0.0043,0.0025,-0.0135,0.0106
97,0.097,0.0014,0.0039,0.005,0.0041,-0.0148,0.0081
98,0.098,-0.007,-0.0046,0.0019,0.0006,-0.026,0.0029
99,0.099,-0.0145,-0.0056,-0.001,-0.0037,-0.0275,-0.004
100,0.1,-0.0075,-0.0025,-0.0026,-0.002,-0.015,-0.0104
101,0.101,-0.0012,0.0002,-0.0014,0.0037,-0.0065,-0.0061
102,0.102,0.0065,-0.0007,-0.0011,-0.0001,0.001,-0.0082
103,0.103,0.0075,0.0045,-0.0046,-0.0021,0.0106,-0.0032
104,0.104,0.0084,0.0065,-0.0004,0.002,0.0193,-0.0015
105,0.105,0.0195,0.0048,-0.0056,-0.0032,0.034,-0.0043
106,0.106,0.0271,0.0077,-0.0036,0.0017,0.048,-0.0017
107,0.107,0.031,0.0041,-0.0006,-0.0014,0.0533,-0.0005
108,0.108,0.0298,0.0091,-0.0011,-0.0019,0.0682,-0.0069
109,0.109,0.0242,0.0027,-0.0068,0.0027,0.0577,-0.0208
110,0.11,0.0189,0.0069,-0.009,0.0096,0.0371,-0.0348
111,0.111,0.0144,-0,-0.007,0.0049,0.0179,-0.0217
112,0.112,0.0049,0.0027,-0.0053,0.0007,0.0006,-0.02
113,0.113,-0.0038,0.0036,-0.0094,0.0043,-0.0106,-0.0185
114,0.114,-0.0094,-0.0017,-0.0037,0.0023,-0.0208,-0.0198
115,0.115,-0.0146,0.0019,-0.0015,-0.0008,-0.0264,-0.0161
116,0.116,-0.0173,-0.0011,0.0034,-0.0003,-0.0314,-0.015
117,0.117,-0.0131,-0.0028,0.0004,0.0012,-0.0145,-0.0139
118,0.118,-0.0137,-0.0043,-0.0002,0.0008,-0.0079,-0.0054
119,0.119,-0.0117,-0.0039,0.0024,0.0004,-0.0058,-0.0043
120,0.12,-0.0101,-0.0027,0.0036,0.0014,-0.004,-0.0033
121,0.121,-0.0072,0.003,-0.002,0.0003,0.0011,0.0032
122,0.122,-0.0058,-0.0012,-0.0027,0.0033,0.0087,0.0074
123,0.123,-0.0007,-0.0018,-0.0062,-0.0024,0.0128,0.0081
124,0.124,-0.0014,0.0046,0.0008,0.0001,0.009,0.0131
125,0.125,0.0043,0.0021,-0.0019,0.0007,0.0167,0.0214
126,0.126,0.0079,0.0015,-0.0028,-0.007,0.0114,0.0271
127,0.127,0.0043,0.0022,0.0057,0.0044,0.0068,0.0303
128,0.128,0.0026,0.0017,0.0068,-0.0001,-0.0043,0.0276
129,0.129,0.0042,-0.0011,0.0038,-0.0015,-0.0059,0.02
130,0.13,0.0088,-0.0026,0.0123,-0.0003,0.0093,0.017
131,0.131,0.0082,0.0017,0.0133,0.0029,0.0032,0.018
132,0.132,-0.0007,-0.0071,0.0081,0.0018,0.0014,0.0086
133,0.133,-0.0121,-0.0034,0.0054,-0.0009,-0.0105,0.0098
134,0.134,-0.0076,-0.0023,0.0097,0.0017,-0.0151,0.0109
135,0.135,-0.009,-0.0033,0.0044,0.001,-0.0137,0.0057
136,0.136,-0.0153,-0.0041,0.0051,0.0045,-0.0174,0.0103
137,0.137,-0.0163,-0.0032,-0.0006,0.005,-0.0205,0.0078
138,0.138,-0.0133,0.0021,0.0001,-0.0026,-0.0214,0.0071
139,0.139,-0.016,0.0001,0.0021,-0.0036,-0.0186,0.0091
140,0.14,-0.0185,0.0018,0.0004,0.001,-0.0193,0.0074
141,0.141,-0.0179,-0.001,0.0009,0.0019,-0.0199,-0.0014
142,0.142,-0.0172,-0.0035,-0.0048,0.0026,-0.0192,-0.0204
143,0.143,-0.0167,-0.0046,-0.0011,-0.0009,-0.0148,-0.0231
144,0.144,-0.0114,-0.0017,-0.0031,0.0033,-0.0095,-0.0256
145,0.145,-0.0108,0.0034,0.0011,0.0005,-0.0058,-0.0234
146,0.146,-0.0065,0.0028,0.0016,-0.001,-0.0041,-0.0255
147,0.147,0.0022,-0.0002,-0.002,-0.0022,0.0048,-0.0274
