Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0003,-0.0013,-0.0014,0.0012,-0.0061,-0.0131
1,0.001,-0.0005,0.0016,0.0007,-0.0003,0.0034,-0.0156
2,0.002,0.0047,0.0079,0.0066,0.0026,0.0095,-0.0071
3,0.003,0.0139,0.0136,0.0046,0.0046,0.0063,-0.0045
4,0.004,0.005,0.0082,0.0061,0.0035,0.0032,-0.002
5,0.005,0.006,0.0032,0.0075,0.0066,-0.0013,-0.0038
6,0.006,-0.0013,0.0001,0.0033,0.0026,-0.0005,-0.0053
7,0.007,-0.0004,-0.0004,0.0068,0.0021,-0.0011,-0
8,0.008,0.0004,0.002,0.0098,0.0023,-0.0046,0.0017
9,0.009,0.0011,0.0061,0.0044,0.0043,-0.0015,-0.0049
10,0.01,-0.0066,0.0055,0.0016,-0.0015,0.0002,-0.0108
11,0.011,0.0007,0.0018,0.004,0.0044,0.0028,-0.0072
12,0.012,0.0016,-0.0033,0.0075,0.0021,0.0024,-0.0099
13,0.013,-0.0008,-0.0007,0.0033,0.0027,0.0009,-0.0019
14,0.014,0,-0.0027,0.008,0.0033,0.0006,-0.0043
15,0.015,0.0037,-0.0011,0.0109,0.0049,0.0016,0.0002
16,0.016,0.003,0.0005,0.0031,-0.0004,0.0055,0.0011
17,0.017,-0.0012,0.0009,-0,0.0003,0.0059,-0.0079
18,0.018,-0.0052,-0.0042,0.0044,0.0019,-0.0001,-0.0014
19,0.019,-0.0004,0.0007,-0.0051,0.0002,-0.001,-0.0002
20,0.02,-0.0021,0.0001,0.001,-0.0014,-0.0046,-0.0072
21,0.021,-0.0016,-0.0017,-0.0001,-0.0002,-0.0026,-0.0024
22,0.022,-0.0001,-0.0022,-0.0032,0,-0.0021,0.0004
23,0.023,-0.0051,0.0019,-0.0024,-0.001,-0.0049,-0.0093
24,0.024,-0.0015,0.0002,-0.0033,0.0042,0.0028,-0.0104
25,0.025,0.0015,-0.0004,-0.0027,-0.0028,-0.0049,-0.009
26,0.026,-0.0014,0.0007,-0.0021,-0.0001,-0.01,-0.001
27,0.027,-0.0029,0.0018,-0.0005,-0.0027,-0.0054,0.0022
28,0.028,0.0022,0.0008,0.0023,-0.002,-0.0029,-0.0004
29,0.029,0.0015,0.001,-0.0055,-0.0041,0.0024,-0.0011
30,0.03,-0.0002,-0.002,-0.0066,-0.0024,0.003,-0.0046
31,0.031,-0.0031,0.0005,-0.0014,-0.0041,-0.0053,-0.015
32,0.032,-0.0015,0.0056,-0.0006,-0.0036,-0.0084,-0.0042
33,0.033,-0.0004,0.0018,0.0035,-0.0024,-0.0032,-0.0081
34,0.034,0.0025,-0.0002,0.0013,0.0022,0.0032,0.0034
35,0.035,0.0028,0.0002,0.0019,0.0027,0.0074,-0.0011
36,0.036,0.006,0.003,0.0023,-0.0002,0.0036,-0.0023
37,0.037,0.002,-0.0017,0.0005,0.0013,0.0015,-0.0059
38,0.038,0.0005,-0.0013,0.003,-0.0018,-0.0002,-0.0026
39,0.039,0.0001,0.0039,-0.0013,-0.0057,0.0015,-0.0015
40,0.04,-0.0019,0.0058,0.0003,-0.0031,-0.0021,-0.0022
41,0.041,0.0016,0.0041,-0.0022,0.001,-0.0032,0.0004
42,0.042,0.0028,-0,0.002,0.0027,-0.002,0.0073
43,0.043,0.0016,0.0014,0.0002,0.0021,-0.0024,0.0009
44,0.044,-0.002,0.0002,-0.0003,0.0009,-0,0.0018
45,0.045,0.0002,-0.0018,-0.0034,-0.003,-0.0051,-0.005
46,0.046,-0.0027,-0.0076,0.0004,0.0005,0.0013,-0.0042
47,0.047,-0.0031,-0.0034,0.0029,-0.0007,0.0004,-0.0033
48,0.048,-0.0021,-0.0027,-0.0001,0.0005,0.0011,0.0005
49,0.049,-0.0004,-0.0034,-0.0005,-0.0014,-0.001,-0.0015
50,0.05,-0.0046,-0.0004,0.0013,-0.0017,0.0007,0.0015
51,0.051,-0.0063,0.0001,0.0003,0.002,0.0023,0.002
52,0.052,-0.0034,0.0006,0.002,0.0023,0.0058,0.0097
53,0.053,-0.0029,-0.0037,0.0033,-0.0025,0.0054,0.0064
54,0.054,-0.0041,-0.0008,-0.0006,-0.003,-0.0002,-0.005
55,0.055,-0.0002,0.0039,0.0058,-0.0013,-0.0055,-0.0005
56,0.056,-0.007,0.0033,-0.0037,0.0044,-0.0048,0.012
57,0.057,-0.0006,-0.0008,0,-0.0055,-0.0078,-0.0133
58,0.058,-0.0048,-0.0033,-0.0032,-0.0041,-0.0083,-0.0097
59,0.059,0.0004,0.0035,-0.0042,-0.0004,-0.0016,-0.0065
60,0.06,0.0011,0.0087,0.0003,0.0028,0.0029,-0.0036
61,0.061,0.004,0.0041,0.0012,0.0038,0.0037,0.0044
62,0.062,0.008,0.0015,-0.001,0.0083,0.0073,-0.0028
63,0.063,0.0044,0.0008,-0.0031,0.004,0.0037,0.0037
64,0.064,-0.0017,-0.0041,-0.0014,0.0062,0.002,-0.0024
65,0.065,0.0042,0.0041,0.0003,-0.0003,0.006,0.0032
66,0.066,0.0005,-0.0037,-0.0012,0.0006,0.0013,0.0082
67,0.067,0.0025,-0.0027,-0,-0.0001,0.0054,0.0097
68,0.068,0.0007,-0.0054,0.002,0.0048,0.0025,0.0055
69,0.069,0.0047,-0.0028,0.0016,0.0005,0.006,0.0043
70,0.07,0.0062,-0.0007,0.0032,0.0022,0.0063,-0.0034
71,0.071,0.005,0.0029,0.0042,-0.0014,0.0024,-0.0024
72,0.072,0.001,0.0059,0.0012,0.0017,0.0019,0.0003
73,0.073,0.0025,0.0018,-0.0009,0.0037,-0.0003,0.0062
74,0.074,0.0067,-0.0007,0.0002,0.0033,-0.0024,0.0083
75,0.075,-0.0009,-0.0011,0.0005,0.0016,-0.0042,0.0019
76,0.076,0.0001,-0.0075,0.0015,-0,-0.0052,0.0061
77,0.077,-0.0026,-0.0101,0.0052,0.0013,-0.0001,0.0083
78,0.078,-0.0034,-0.0126,-0.0006,-0.0004,-0.0021,0.0131
79,0.079,-0.0028,-0.0026,0.0001,-0.002,0.0073,0.0036
80,0.08,-0.0048,-0.0039,0.005,-0.0015,0.0032,-0.0171
81,0.081,0.0047,0.0049,0.0045,0.0007,0.0021,-0.0021
82,0.082,0.0006,0.0017,-0.0042,0.0005,-0.0057,-0.0048
83,0.083,-0.0056,0.0047,-0.003,-0.0011,-0.0066,-0.017
84,0.084,-0.0066,0.0074,0.0026,-0.0023,0.0037,-0.0015
85,0.085,0.0028,0.0048,0.0016,-0.0012,0.0024,0.0046
86,0.086,0.0065,0.007,-0.0011,0.0015,-0.0013,0.0102
87,0.087,0.0009,0.005,-0.0019,-0.0023,0.0019,-0.005
88,0.088,0.0019,0.0008,-0.0025,-0.0028,-0.0053,0.0011
89,0.089,-0.0026,0.0048,-0.0032,0.0033,-0.0044,-0.0118
90,0.09,0.0016,0.0013,0.0026,-0.0025,-0.0085,-0.0101
91,0.091,0.0023,0.0055,0.0019,0.0044,-0,0.0006
92,0.092,0.0043,0.0038,0.004,-0.002,0.0032,0.002
93,0.093,0.0038,0.0013,0.0057,0.0023,0.0042,-0.0017
94,0.094,0.0066,0.0043,0.0005,0.0001,0.0069,0.0086
95,0.095,-0.0012,-0.0004,-0.0044,-0.0047,-0.0008,-0.0066
96,0.096,-0.0001,0.0013,-0.0038,-0.0052,-0.0038,-0.0045
97,0.097,-0.0011,-0.0027,-0.0043,-0.0023,0.0027,-0.0026
98,0.098,-0.002,0.0009,0.0035,0.0013,0.0002,0.0025
