Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0023,0.0039,0.0004,0,-0.0032,0.0052
1,0.001,-0.0034,0.0044,-0.0021,0.0042,-0.0002,0.0024
2,0.002,0.0018,0.0002,-0.0003,0.0034,-0.003,0.0032
3,0.003,-0.0017,0.0018,-0.0026,-0.0015,-0.0004,-0.0038
4,0.004,-0.0034,0.0013,-0.0027,-0.002,-0.0014,-0.0011
5,0.005,0.0007,-0.0018,-0.006,0.002,-0.0004,0.0014
6,0.006,0.0042,0.0045,-0.0047,0.0035,0.0009,0.002
7,0.007,0.003,0.0018,-0.0075,0.0023,0.0021,-0.0016
8,0.008,0.0001,0.0009,-0.0023,0.0002,0.0014,0.0026
9,0.009,-0.0009,0.0002,-0.0029,-0.0033,0.0016,0.003
10,0.01,-0.0061,0.0008,-0.0046,0.0009,-0.0006,0.0034
11,0.011,-0.0008,-0.0023,-0.0028,-0.002,0.0007,0.0012
12,0.012,-0.0015,0.0018,-0.0033,0.0015,-0.0005,0.0058
13,0.013,-0.0019,0.0002,-0.0062,0.0019,-0.0006,0.0027
14,0.014,-0.0001,0.004,-0.0015,0.0015,0.0007,0.0013
15,0.015,-0.0006,-0.0002,-0.0034,0.0018,0.0012,0.0017
16,0.016,0.0009,0.0026,-0.0024,-0.0008,-0.0002,0.0022
17,0.017,0.0021,0.003,-0.004,-0.0004,-0.0007,0.0018
18,0.018,0.0018,-0,-0.0023,-0.0001,-0.0005,0.002
19,0.019,0.0014,0.002,-0.0016,0.0001,-0.0012,-0.0006
20,0.02,-0.0018,0.0022,-0.0045,0.0039,0.0006,0.0018
21,0.021,-0.0021,0.0067,-0.0063,0.001,0.0009,-0.002
22,0.022,-0.0011,-0.0028,-0.0024,-0.0015,0.0016,0.003
23,0.023,-0.0034,0.0012,-0.0019,0.0015,-0.0013,0.0023
24,0.024,0.0003,0,0.0003,0.0003,-0.0003,0.0039
25,0.025,-0.0019,0.0055,0.0006,0.0013,0.0007,0.0021
26,0.026,-0.0007,-0.0017,0.001,-0.0011,-0.0023,0.0046
27,0.027,-0.0004,-0.0009,-0.0023,0.0006,-0.0049,-0.0024
28,0.028,-0.0042,-0.0018,-0.0002,0.002,-0.0003,-0.0034
29,0.029,0.0005,-0.004,0.0033,0.0003,0.0002,0.0011
30,0.03,-0.0037,-0.0033,0.0044,0.0024,-0.0004,0.0036
31,0.031,0.0027,-0.0016,0.0023,0.0031,0.0001,0.0014
32,0.032,0.0035,0.0012,0.0033,0.0024,-0.0021,-0.0064
33,0.033,0.0041,-0.0023,-0.002,-0.0003,-0.006,0.0009
34,0.034,0.0034,-0.0012,0.0017,0.0007,-0.0012,-0
35,0.035,0.0017,0.0017,-0.0004,0.0017,-0.0008,0.0077
36,0.036,0.0021,0.0013,-0.0021,0.0011,-0.0003,0.0024
37,0.037,-0.0014,-0.0033,-0.0016,-0.0013,-0.006,0.0051
38,0.038,0.0016,0.0009,-0.0021,0.0038,-0.0023,-0.0027
39,0.039,-0.0004,-0.0031,-0.0025,-0.0011,0.0025,-0.0017
40,0.04,0.0021,-0.0016,0.0014,-0.0006,-0.0017,0.001
41,0.041,-0.0012,-0.0005,-0.0002,-0.0046,0.0047,-0.0015
42,0.042,0,-0.0016,0.0001,-0.001,0.0021,-0.0022
43,0.043,0.0018,0.0034,0.0012,-0.006,0.0027,0.0013
44,0.044,0.0015,-0.0015,0.0015,-0.0067,0.0033,-0.0017
45,0.045,0.0004,-0.002,0.0005,-0.0009,-0.0009,-0.0046
46,0.046,-0.0014,0.0008,0.0055,0.0043,0.0019,-0.001
47,0.047,0.0014,-0.0007,0.0005,0.0008,0.0024,-0.0014
48,0.048,-0.0037,0.0015,0.0035,0.0013,0.0012,-0.0042
49,0.049,-0.0001,0.0026,0.0018,0.0018,0.0008,-0.0045
50,0.05,-0.0007,0.0001,0.0043,0.0065,-0.0018,-0.0055
51,0.051,0.001,0.001,0.003,0.0047,0.0021,-0.0037
52,0.052,0.0025,-0.0027,0.0001,-0.0005,-0.0015,-0.0023
53,0.053,-0.0006,0.0034,0.0036,-0.0012,-0.0003,-0.0011
54,0.054,-0.0009,0.0008,0.0024,0.0019,0.0009,-0.0048
55,0.055,-0.0035,0.0001,0.0035,-0.0057,0.0012,-0.0001
56,0.056,-0.0038,0.0021,-0.0007,-0.0005,-0.0012,-0.0017
57,0.057,-0.0021,-0.0036,0.0021,-0.0013,0.0018,-0
58,0.058,-0.0003,-0.0014,0.0006,0.0012,0.0008,0.0005
59,0.059,-0.0027,-0.0021,0.0018,0.0005,0.0018,-0.0025
60,0.06,-0.0003,0.0021,0.0014,-0.003,0.0027,0.0014
61,0.061,-0.001,-0.0019,0.0039,-0.0025,-0.001,0.0019
62,0.062,0.0001,-0.0004,0.0016,0.0015,0.0037,0.0007
63,0.063,-0.0036,-0.0035,-0.0021,0.001,0.002,0.0063
64,0.064,-0.001,-0.0038,0.0009,0.0021,0.0025,0.0041
65,0.065,0.0032,0.0004,0.0013,-0.0017,-0.0001,0.0047
66,0.066,-0.0009,-0.0001,0.0031,-0.0002,0.0011,0.0077
67,0.067,-0.0004,-0.0026,0.0042,0.0009,-0.001,0.0037
68,0.068,-0.0026,0.0043,0.0011,0.0006,0.0016,0.0022
69,0.069,-0.0023,0.0052,-0.0046,0.0047,-0.0017,-0.0009
70,0.07,0.0003,0.0025,-0.002,-0.004,-0.002,0.0055
71,0.071,0.0019,0.0017,0.0017,-0.0029,-0.0016,0.0028
72,0.072,0.0009,-0.0005,-0.0018,-0.0019,0,0.0037
73,0.073,0.0011,-0.0012,-0.0012,-0.0029,-0.001,0.0043
74,0.074,0.0049,0.0004,0.0017,-0.002,-0.0011,0.0036
75,0.075,0.002,-0.0001,-0.0018,-0.0012,0.0001,-0.0021
76,0.076,0.0035,0.0025,-0.003,-0.0049,0.0023,-0.0014
77,0.077,0.0066,0.0013,-0.0009,-0.0029,-0.0002,-0.0049
78,0.078,0.0037,-0.0008,0.0017,-0.0024,-0.0006,-0.0018
79,0.079,0.0033,0.0018,-0.0035,-0.0065,0.0025,0.0011
80,0.08,0.0017,0.0014,-0.0013,-0.0018,0.0015,0.0016
81,0.081,0.0007,0.0051,-0.0006,-0.0013,0.0012,0.0004
82,0.082,-0,0.002,-0.0022,0.0039,0.0009,-0.0016
83,0.083,-0.0017,0.0009,0.0007,0.0018,-0.0009,-0.0034
84,0.084,-0.0015,0.0005,-0.0008,0.0034,0.003,-0.001
85,0.085,-0.0035,0.0016,-0.0038,0.0005,0.0001,-0.0027
86,0.086,-0.0023,-0.0001,-0.0009,0.001,0.0017,0.0015
87,0.087,0.0015,0.0006,-0.0012,-0.0002,-0.0033,-0.0054
88,0.088,-0,-0.0033,0.0034,-0.0023,-0.0013,-0.0026
89,0.089,0.0012,-0.0004,-0.0008,-0.002,0.0018,-0.0001
90,0.09,-0.0009,-0.0051,-0.0036,0.0012,-0.001,0.0021
91,0.091,-0.0005,-0.0008,-0.001,-0.0044,0.0005,0.0015
92,0.092,0.0019,0.0021,0.0002,0.004,-0.0006,0.001
93,0.093,0.0009,0.0026,0.0006,0.0008,-0.0002,0.0027
94,0.094,0.0028,-0.0016,-0.0004,0.0037,-0.0021,0.0001
95,0.095,-0.0011,-0.0011,0.0006,0.001,-0.0023,0.0013
96,0.096,-0.0016,0.0004,-0.0037,0.0035,0.0001,-0.0042
97,0.097,0.001,-0.0026,-0.0008,0.0041,0.0038,-0.0035
98,0.098,-0.0002,0.0038,0.0008,0.0047,-0.0039,-0.0015
99,0.099,-0.0013,0.0011,0.0038,0.0005,-0.0049,-0.0009
100,0.1,0.0037,-0.003,-0.0009,0.0033,0.0004,0.0008
101,0.101,0.0017,-0.0008,-0.0004,0.0017,-0.0005,-0.0007
102,0.102,0.0001,0.0027,-0.002,0.0014,-0.003,-0.0019
103,0.103,0.0018,-0.0003,-0.0015,-0.0015,-0.0008,-0.003
104,0.104,0.0053,-0.0008,0.0007,0.001,0.0013,-0.002
105,0.105,0.0023,0.0007,-0.0013,0.0013,0.0055,-0.0003
106,0.106,0.0012,-0.0004,-0.0023,0.0022,0.0014,0.0007
107,0.107,0.0002,0.0016,0.0001,0.0004,0.005,-0.0023
108,0.108,-0.0008,-0.0026,-0.0029,0.0005,0.0007,0.0006
109,0.109,0.0023,-0.0043,-0.0032,0.0027,0.0048,-0.0019
110,0.11,-0.0013,0.0035,-0.0022,-0.0016,0.0001,-0.0042
111,0.111,-0.0043,0.0003,-0.0025,0.0014,0.0031,0.0008
112,0.112,-0.0039,0.0013,0.0005,0.0009,0.0002,0.0029
113,0.113,-0.0013,0.0022,-0.0015,-0.0069,-0.0013,0.0034
114,0.114,-0.0036,-0.0003,0.0004,0.0009,0.0009,0.0028
115,0.115,-0.0007,-0.0008,0.0024,-0.0001,0.0004,-0.0056
116,0.116,0.0017,-0.0001,0.0027,0.0029,0.0033,0.0012
117,0.117,-0.0002,-0.0021,0.0057,-0.0036,-0.0003,0.0075
118,0.118,0.0005,-0.0004,0.0022,-0.0044,0.0009,0.0033
119,0.119,-0.0031,-0.0068,0.001,-0.0037,-0.0012,-0.002
120,0.12,-0.0006,0.001,-0.0019,-0.0017,-0.0062,0.0016
121,0.121,-0.0028,-0,-0.0001,0,-0.0013,-0.0001
122,0.122,-0.0048,0.0046,0.0038,0.0041,-0.0008,-0.0054
123,0.123,-0.0022,-0.0032,0.0012,0.0025,-0.0049,-0.0074
124,0.124,-0.0045,-0.0002,-0.0018,0.0028,-0.0044,-0.0016
125,0.125,-0.0028,-0.001,0.001,-0.0019,-0.0056,-0.001
126,0.126,-0.0065,0.0015,0.0035,-0.0002,-0.0052,0.001
127,0.127,-0.0007,-0.0037,0.0025,0.0003,-0.001,0.0052
128,0.128,-0.0029,0.0012,0.0021,0.0039,-0.0086,0.0047
