Frame,Time,EMG Signal 1,EMG Signal 2,EMG Signal 3,EMG Signal 4,EMG Signal 5,EMG Signal 6
0,0,-0.0051,-0.0023,0.0063,0.0011,-0.0055,0.0001
1,0.001,-0.0077,0.0028,0.0026,-0.0006,-0.0108,0.0031
2,0.002,-0.0034,0.0073,0.0019,-0.0022,-0.006,0.0023
3,0.003,-0.0056,-0.0006,-0.0011,-0.0012,-0.0079,-0.0018
4,0.004,-0.0062,-0.0016,-0.0098,0.0018,-0.0097,-0.0131
5,0.005,-0.0066,-0.0008,-0.0061,-0.0002,-0.0073,-0.0213
6,0.006,-0.0037,-0,-0.005,0.0023,-0.0006,-0.0195
7,0.007,-0.0031,0.0036,0.0002,0.0006,0.0023,-0.0069
8,0.008,-0.0034,-0.0014,-0.0043,0.0009,-0.0007,-0.0017
9,0.009,-0.0005,0.0002,-0.0034,-0.0021,-0.0034,-0.0062
10,0.01,-0.0009,0.0019,-0.0027,-0.0049,-0.0014,-0.002
11,0.011,-0.0054,0.0002,0.0022,-0.0039,0.0033,-0.0008
12,0.012,0.0029,-0.0029,-0.0021,-0.0042,0.006,0.0003
13,0.013,0.0039,0.0009,-0.0037,-0.0045,0.0075,-0.0091
14,0.014,-0.0013,-0.0007,-0.0032,-0.0026,0.0067,-0.0078
15,0.015,-0.0022,0.0014,-0.001,0.0002,0.0068,-0.0021
16,0.016,0.0037,0.0034,-0.0039,-0.0023,0.0062,0.001
17,0.017,-0.0032,0.0029,0.0003,-0.0006,0.0078,0.0018
18,0.018,0.0053,0.0012,-0.0002,0.0031,0.0085,-0.0023
19,0.019,-0.0025,0.0007,-0.0017,0.0019,0.0106,-0.003
20,0.02,0.0028,0.0032,0.0024,-0.0045,0.0097,-0.0049
21,0.021,0,0.0027,0.0007,-0.0018,0.0111,-0.0007
22,0.022,-0.0008,0.0023,0.0032,-0.0027,0.0071,-0.0001
23,0.023,-0.0029,0.0009,-0.0019,0.001,0.0044,-0.0016
24,0.024,-0.0009,0.0036,-0.0039,-0.001,0.0072,0.0035
25,0.025,-0.0004,0.001,-0.0009,0.002,0.0082,-0.0029
