Frame,Time,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6
0,0,0.0027,0.0034,-0.0099,0.0017,-0.0001,-0.0146
1,0.001,0.0007,-0.0001,-0.0234,-0.0004,-0.0025,-0.0233
2,0.002,0.0064,-0.0013,-0.0249,0.0021,0.0059,-0.0177
3,0.003,-0.0006,0.0025,-0.0162,0.0038,0.009,-0.0042
4,0.004,-0.0033,0.001,-0.0085,0.0027,0.0038,0.0084
5,0.005,-0.0092,0.0078,-0.0044,-0.0015,-0.0008,0.013
6,0.006,-0.0008,0.0025,-0.0006,0.0026,-0.0084,0.0051
7,0.007,-0.0064,0.0033,-0.0038,0.0021,-0.0195,0.0087
8,0.008,-0.0011,0.0041,0.0055,0.0025,-0.0237,0.0046
9,0.009,0.0015,-0.0012,0.0091,0.0021,-0.0219,0.0189
10,0.01,-0.001,-0.006,0.0121,0.0049,-0.0129,0.0284
11,0.011,-0.0004,-0.003,0.0089,-0.0002,-0.0049,0.0295
12,0.012,-0.0052,-0.0013,0.0151,0.0018,0.0066,0.0371
13,0.013,-0.0109,0.0022,0.0124,0.0001,0.0022,0.0349
14,0.014,0.0005,-0.0008,0.0116,-0.0016,0.0091,0.0328
15,0.015,0.0089,-0.0005,0.0134,0.0031,0.0203,0.0284
16,0.016,0.0104,-0.0009,0.0091,-0.0012,0.0247,0.0131
17,0.017,0.0034,0.0036,0.0014,-0.0007,0.0313,-0.0013
18,0.018,0.0121,0.0019,-0.0038,0.004,0.0249,-0.0034
19,0.019,0.0065,0.0013,-0.0029,-0.0002,0.0192,-0.0219
20,0.02,0.0055,-0.0023,-0.0054,-0.002,0.0077,-0.039
21,0.021,0.0063,0.0019,-0.009,-0.0035,0.0033,-0.0409
22,0.022,0.002,-0.001,-0.007,0.0007,-0.0035,-0.0347
23,0.023,0.0027,-0.0035,-0.0052,-0.001,0.0003,-0.0217
24,0.024,0.0033,-0.0024,-0.0116,0.0005,-0.0027,-0.0166
25,0.025,0.0028,-0.0027,-0.0106,0.0017,-0.0056,-0.0061
26,0.026,0.0068,-0.0002,-0.0037,-0.0039,-0.0027,0.0116
27,0.027,0.0043,-0.0019,0.0027,-0.0032,0.0033,0.0185
28,0.028,0.0012,-0.0043,0.0085,0.0003,-0.0018,0.0247
29,0.029,0.0015,-0.0036,0.0106,0.0019,-0.001,0.0223
30,0.03,0.0005,-0.0047,0.0085,-0.0021,-0.0091,0.0237
31,0.031,0.0022,-0.001,0.0053,0.0056,-0.0099,0.015
32,0.032,-0.0029,-0.0016,0.0024,0.0066,-0.0045,0.0102
33,0.033,-0.0064,-0.0027,-0.0033,-0.0007,-0.0106,0.0031
34,0.034,-0.0121,0.002,-0.004,-0.0015,-0.0112,0.0017
35,0.035,-0.0098,0.0036,0.0024,0.001,-0.0073,0.0006
36,0.036,-0.0014,0.0013,0.0032,0.0037,-0.0095,0.001
37,0.037,-0.0034,0.0018,0.0023,0.0014,-0.01,0.006
38,0.038,-0.0075,0.0012,0,0.0035,-0.0068,0.005
39,0.039,-0.0011,0,-0.0007,0.0065,-0.0015,-0.001
40,0.04,0.0014,0.0029,-0.0024,0.0047,0.0021,0.0011
41,0.041,0.0021,0.0046,-0.01,0.0012,0.0038,-0.0068
42,0.042,0.0041,0.0049,-0.0069,-0.0019,0.0054,-0.0058
43,0.043,0.0071,0.0045,-0.0023,-0.0015,0.0028,0.0044
44,0.044,0.0111,0.0031,-0.0032,-0.0057,0.0097,0.0083
45,0.045,0.0125,0.0028,0.002,0.0007,0.0126,0.0093
46,0.046,0.0055,0.0016,0.0027,-0.007,0.0041,0.006
47,0.047,0.0044,0.0005,0.0056,-0.006,-0.0015,0.0028
48,0.048,-0.0002,-0.0022,0.0073,-0.0105,-0.0067,0.0036
49,0.049,-0.008,-0.0054,0.0015,-0.0045,-0.0074,-0.0023
50,0.05,-0.007,-0.0015,0.0022,-0.0097,-0.0065,-0.0016
51,0.051,-0.0097,0.001,0.0001,-0.0103,-0.0013,0.0076
52,0.052,-0.002,-0.0002,0.0058,-0.0008,-0.002,0.0039
53,0.053,-0.003,0.0001,0.002,0.0032,-0.0025,-0.0017
54,0.054,0.0015,-0.0034,0,0.0069,-0.0088,0.0014
55,0.055,-0.0028,0.0016,0.0069,0.0101,-0.0113,0.0135
56,0.056,-0.0065,-0.0019,0.0023,0.0007,-0.0164,0.0117
57,0.057,-0.0045,-0.0002,0.0015,0.0019,-0.0087,0.0101
58,0.058,-0.0029,0.0015,0.0021,0.0051,-0.0077,0.006
59,0.059,-0.007,-0.0021,-0.0014,-0.0002,-0.0161,0.0097
60,0.06,-0.0106,0.0029,0.0017,0.0007,-0.0128,0.0019
61,0.061,-0.0102,0.0036,-0.0012,-0.0052,-0.0098,-0.0053
62,0.062,-0.0039,0.003,-0.0059,0.0018,-0.0071,-0.0173
63,0.063,0.0025,0.0002,-0.01,-0.0009,0.0023,-0.0222
64,0.064,-0.0001,0.0027,-0.0083,-0,0.006,-0.0114
65,0.065,0.0021,0.003,-0.0067,0.0052,0.0027,-0.032
66,0.066,-0.0029,0.0018,-0.0096,0.0003,-0.0004,-0.0405
67,0.067,0.0028,0.0008,-0.004,0.0008,0.0041,-0.0266
68,0.068,0.0035,0.0025,-0.0018,0.0025,0.0048,-0.0141
69,0.069,-0.0001,0.0028,0.0017,0.003,0.001,0.0014
70,0.07,-0.0007,-0.0009,0.0047,0,0.003,0.0074
71,0.071,-0.0024,-0.0014,0.0006,0.002,-0.0013,0.0165
72,0.072,-0.0009,0.0008,0.0021,0.0039,0.0003,0.0114
73,0.073,-0.0006,0.002,-0.0021,-0.0007,0.0007,-0.0025
74,0.074,-0.0003,-0.003,0.0019,-0.0011,-0.0006,-0.0043
75,0.075,-0.0007,-0.0023,-0.0006,0.0018,0.0032,-0.006
76,0.076,0.0031,-0.0053,0.0006,0.0013,0.0046,-0.0104
77,0.077,-0.0005,-0.0036,-0.005,0.0001,0.0023,-0.0144
78,0.078,0.0037,-0.0041,-0.0043,0.003,0.0086,-0.008
