Frame,Time,EMG Signal 1,EMG Signal 2,EMG Signal 3,EMG Signal 4,EMG Signal 5,EMG Signal 6
0,0,0.0012,-0.0059,-0.0028,-0.0031,-0.0054,-0.0042
1,0.001,-0.0008,-0.0067,-0.004,-0.0001,-0.0148,-0.0099
2,0.002,-0.0065,-0.0042,-0.0095,-0.0017,-0.0085,-0.0047
3,0.003,-0.0027,-0.0035,-0.0043,0.0019,-0.0095,0.0045
4,0.004,-0.0007,-0.0055,0.0021,-0.0011,-0.0065,-0.0069
5,0.005,0.0024,-0.0071,-0.0057,-0.004,-0.0073,-0.0024
6,0.006,0.0007,-0.0042,-0.0026,-0.0049,-0.0081,0.0015
7,0.007,0.0002,-0.0077,0,-0.0059,-0.0088,0.0076
8,0.008,-0.002,-0.0065,-0.0042,-0.0035,-0.0024,0.0043
9,0.009,-0.0032,-0.0018,-0.0005,-0.0009,0,0.0052
10,0.01,-0.0028,-0.0023,0.0001,0.0015,0.0036,0.0042
11,0.011,0.0011,-0.0018,-0.0016,-0.0029,-0.0014,0.005
12,0.012,-0.0004,-0.0043,0.0001,-0.0012,0.0016,0.0026
13,0.013,-0.0016,0.0017,0.0047,0.0024,-0.0014,0.0045
14,0.014,0.0031,-0.0025,0.0041,-0.0018,-0.005,-0.0025
15,0.015,0.0014,-0.0003,0.0024,-0.0013,-0.0054,0.0077
16,0.016,0.0031,0.0032,0.007,-0.0018,0.001,0.0007
17,0.017,-0.0004,0.0061,0,-0.003,-0.0018,0.0018
18,0.018,0.0008,0.002,-0.0009,-0.0068,-0.0027,0.0072
19,0.019,-0.0021,0.0055,0.0016,-0.0093,-0.0006,0.006
20,0.02,-0.0039,0.0012,-0.0006,-0.007,0.0029,0.0014
21,0.021,-0.0029,0.0029,-0.0013,-0.005,0.007,0.0004
22,0.022,0.0002,0.0075,0.0003,-0.0031,0.0028,0.001
23,0.023,0.0012,0.0005,0.002,-0.0063,-0.0008,-0.0011
24,0.024,-0.002,0.0069,0.0044,-0.0007,-0.0021,0.0019
25,0.025,0.0019,0.0026,0.0013,-0,0.0017,0.0058
26,0.026,-0.0038,0.0004,0.0025,0.002,0.0022,0.0042
27,0.027,0.0014,0.0052,-0.0001,0.0015,0.0043,0.0029
28,0.028,-0.0022,-0.0031,0.0009,-0.0014,0.0062,0.0008
29,0.029,0.0021,0.0001,-0.0035,0.0001,0.0064,0.0004
30,0.03,0.0025,-0.0009,-0.0007,0.0023,0.0046,-0.002
31,0.031,0.001,0.0054,-0.0002,0.0011,0.0049,-0.0011
32,0.032,-0.0012,-0.0024,0.0019,0.0029,0.0049,-0.0004
33,0.033,-0.0008,-0.0014,0.0031,0.0038,0.0055,0.0007
34,0.034,0.0002,0.005,-0.0005,0.0048,0.0032,0.0008
35,0.035,-0.0008,0.0024,-0.0002,0.0011,0.0018,-0.0025
36,0.036,-0.0025,0.0017,0.0027,0.0036,0.0034,-0.0003
37,0.037,0.0017,-0.0018,0.0016,0.0023,0.0066,-0.0015
38,0.038,0.0012,-0.0013,0.0013,0.0043,0.0053,-0.0041
39,0.039,0.004,0.0015,0.0049,0.0001,0.0062,-0.0017
40,0.04,0.0015,0.002,-0.0002,0.0029,0.0038,-0.0014
41,0.041,0.0018,-0.001,-0.0037,-0.0018,0.0048,-0.0012
42,0.042,0.0029,0.0002,-0.0007,-0.0001,0.0049,-0.003
43,0.043,0.0026,0.0044,-0.0023,0.0003,0.0025,-0.0036
44,0.044,-0.002,-0.0044,0.0012,0.0038,0.0035,-0.0004
45,0.045,-0.0037,0.0044,0.0015,0.0026,-0.0008,0.0017
46,0.046,0.0004,-0.0034,0.0027,0.0006,0.0034,0.0029
47,0.047,-0.0032,0.0019,0.0017,0.0009,0.0029,0.001
48,0.048,-0.001,-0.0027,0.004,0.0019,-0.0028,0.0013
49,0.049,0.0002,-0.0035,0.001,0.0022,-0.0006,0.0003
50,0.05,-0.0016,0.0018,0.002,0.0003,-0.0013,0.0016
51,0.051,-0.0006,-0.0031,0.0043,0.0015,0.0029,-0.0001
52,0.052,-0.0003,-0.0061,-0.0007,-0.0007,-0.0058,-0.0038
53,0.053,-0.001,0.0027,-0.0042,-0.0001,-0.0021,0.0039
54,0.054,0.0029,-0.001,0.0015,0.0033,-0.0097,0.0142
55,0.055,0.0045,0.0022,0.0067,0.0002,-0.0066,-0.0066
56,0.056,-0.0012,-0.0008,-0.0039,0.0022,-0.0001,-0.0037
57,0.057,-0.0019,-0.0034,0.0007,-0.002,0.0008,0.0045
58,0.058,0.0002,-0.0025,-0.0006,-0.0003,0.003,-0.0127
59,0.059,-0.0004,-0.0046,-0.0068,-0.0008,0.0038,-0.0015
60,0.06,0.0002,-0.0025,-0.0012,-0.0011,-0.0019,0.0005
61,0.061,0.0007,-0.002,0.0019,0.0001,0.0004,0.0061
62,0.062,-0.0015,-0.0002,0.0011,0.0011,0.0011,0.0044
63,0.063,-0.0012,0.0056,-0.0014,0.0015,0.0007,0.0029
64,0.064,-0.0008,0.0019,-0.0007,0.0005,-0.0056,-0.0011
65,0.065,-0.0025,0.0068,0.0014,0.0023,-0.0047,0.0001
66,0.066,0.0012,0.0063,-0.0028,0.003,-0.0039,0.0056
67,0.067,0.0016,0.0047,0.0001,-0.0007,-0.0002,0.0026
68,0.068,0.0004,0.0083,-0.0056,-0.0042,0.004,-0.002
69,0.069,-0.0032,0.0022,-0.0003,-0.0044,-0.0011,0.0006
70,0.07,-0.001,-0.0003,0.0032,-0.0041,-0.0004,-0
71,0.071,0.0011,-0.0024,0.0002,-0.0022,-0.0045,0.0035
72,0.072,-0.0008,0.0012,-0.0014,-0.0031,-0.0027,-0.0034
73,0.073,0.0031,-0.0029,0.0021,-0.002,-0.0021,-0.0006
74,0.074,-0.0005,-0.0034,0.001,-0.0033,-0.0032,-0.0048
75,0.075,0.0007,0.0014,0.0049,0.0006,-0.0012,0.0021
76,0.076,0.0011,-0.0016,-0.0019,-0.0011,0.0014,0.0013
77,0.077,-0.0008,0.0025,0.0009,0.0057,0.0011,0.0022
78,0.078,0.0037,0.002,-0.005,0.0066,0.0002,-0.0015
79,0.079,0.002,-0.0001,0.0002,0.0007,-0.0028,-0.0008
80,0.08,-0.002,-0.0012,0.0023,0.0001,0.0036,0.0034
81,0.081,-0.0025,-0.0031,-0.0007,0.0021,0.0009,0.0005
82,0.082,-0.0013,0.0015,-0.0002,0.0005,0.0018,-0.002
83,0.083,-0.0016,-0.0041,-0.0027,0,0.0012,-0.0008
84,0.084,0.0002,0.0011,-0.003,-0.0035,0.0018,-0.0004
85,0.085,0.0026,-0.0024,0.0018,-0.0004,-0.0012,0.0006
86,0.086,0.0042,-0.0018,-0.0024,-0.0015,0.0017,-0.0039
87,0.087,0.0029,-0.0035,-0.0029,-0.004,0.0012,0.0003
88,0.088,0.004,-0.0019,0.0007,-0.0016,-0.001,-0.006
89,0.089,0.0008,0.0003,-0.0005,0.0001,-0.003,-0.0035
90,0.09,-0.0003,0,-0.0001,0.0032,-0.002,0.0018
91,0.091,-0,0.0022,-0.0004,0.0025,-0.004,0.0004
92,0.092,-0.001,-0.0003,-0.0014,0.0028,-0.0008,0.0053
93,0.093,-0.0007,-0.0042,0.0003,-0.0007,0.0055,0.0036
94,0.094,0.0004,0.0026,0.002,0.0044,-0.0009,0.0007
95,0.095,-0.0003,-0.0019,0.0026,0.0008,-0.0001,0.0012
96,0.096,-0.0027,-0.0028,-0.0012,0.0025,0.0005,-0.0018
97,0.097,0.0004,-0.0021,0.0004,-0.0039,0.0025,0.0046
98,0.098,0.0007,-0,0.001,-0.0013,0.002,-0.0057
99,0.099,-0.0016,0.0005,0.0013,-0.0006,0.0003,0.0013
100,0.1,-0.0013,0.0022,-0.0051,-0.0013,-0.0045,0.0025
101,0.101,0.0006,-0.0026,-0.0006,0.0004,-0.0087,0.0014
102,0.102,-0.0028,-0.0042,0.0003,-0.0001,-0.0082,-0.0038
103,0.103,-0.0016,-0.0014,0.0009,-0.0026,-0.0047,-0.0065
104,0.104,-0.0019,-0.0029,0.0045,-0.0004,-0.0098,-0.0023
105,0.105,-0.0008,-0.0007,-0.0013,-0.0016,-0.0133,0.003
106,0.106,-0.0025,-0.0054,0.0009,-0.0035,-0.0116,0.0009
107,0.107,-0.0008,-0.0012,-0.004,0.0018,-0.0088,-0.0048
108,0.108,-0.0006,0.0005,-0.0045,-0.0035,-0.0021,-0.0026
109,0.109,-0.0013,-0,-0.004,0.0001,0.0006,0.0009
110,0.11,0.0014,-0.0012,0.0008,0.0006,0.0031,-0.0033
111,0.111,-0.0024,-0,0.0013,-0.0023,0.0008,0.0007
112,0.112,-0.0009,-0.0026,-0.0028,-0.0058,0.0015,-0.0041
113,0.113,-0.0012,-0.0009,0.0019,-0.0007,0.0031,-0.0036
114,0.114,-0.0041,0.0001,-0.0023,-0.0056,0.0036,-0.0007
115,0.115,-0.0005,0.0038,0.0041,-0.0051,0.007,-0.0002
116,0.116,0.0064,-0.003,0.0032,-0.0011,0.0039,0.0019
117,0.117,-0.0031,-0.0003,0.0101,0.0005,0.0067,-0.0001
118,0.118,0.0007,-0.0045,0.0036,0.0001,0.0009,-0.0027
119,0.119,0.0039,0.0007,0.0061,0.0021,-0.0033,-0.0003
120,0.12,-0.0013,-0,-0.0039,-0.0015,0.0019,-0.0054
121,0.121,0.0014,0.003,-0.0108,0.0015,0.0082,-0.0061
122,0.122,0.0022,0.0034,-0.002,-0.0013,0.0039,0.0008
123,0.123,0.0029,0.0009,-0.001,0.0022,0.0108,0.0053
124,0.124,0.0049,0.0012,0.0084,0.0018,0.0043,0.0044
125,0.125,0.0019,0.004,0.0021,-0.0011,0.0068,-0.0071
126,0.126,0.0036,0.0014,-0.0011,0.0014,0.003,0.0014
127,0.127,0.0061,0.0011,-0.0001,0.0004,0.001,-0.0002
128,0.128,0.0049,-0.0033,-0.0065,0.0021,0.0052,0.0011
129,0.129,0.001,0.0007,-0.004,0.0022,-0.0036,0.0023
130,0.13,-0.0025,0.0022,-0.0003,0.0015,-0.0024,-0.001
131,0.131,-0.0003,-0.0039,-0.0039,0.0003,0.0008,-0.002
132,0.132,-0.0007,0.0003,-0.0044,0.0008,-0.0003,0.0007
133,0.133,0.0004,0.0025,0.0008,0.0018,0.0061,0.0032
134,0.134,-0.002,0.0031,-0.0056,-0.0006,0.0019,-0.0006
135,0.135,-0.0023,0.0036,0.0003,-0.0023,0.0026,-0.0012
136,0.136,-0.0036,-0.0005,-0.0004,0.0007,0.0005,0.003
137,0.137,-0.0019,0.002,0.0002,0.0036,0,0.0034
138,0.138,-0.0007,0.0032,0.0007,0.0025,-0.0005,0.0019
139,0.139,0.0025,0.0043,0.0024,0.0008,-0.002,0.0022
140,0.14,-0.0026,0.0024,0.0019,0.0046,-0.0008,0.0069
141,0.141,-0.0046,0.0007,0.0031,0.0023,-0.0011,0.0039
142,0.142,-0.0029,-0.003,0.0002,0.0027,-0.0001,0.001
143,0.143,-0.0024,-0.0018,-0.0009,0.003,0.0017,0.0015
144,0.144,-0.0009,0.001,0.0044,-0.0016,0.0014,0.0046
145,0.145,-0.0012,0,0.005,-0.0011,-0.0005,0.0007
146,0.146,-0,0.0003,0.003,-0.0016,-0.0022,-0.004
147,0.147,-0.0026,-0.0007,0.0046,-0.0001,-0.0028,0.0002
148,0.148,0.0027,0.0007,0.0006,0.0011,0.0004,-0.0027
149,0.149,-0.001,0.004,-0.001,-0.001,0.0027,0.0009
150,0.15,-0.0004,-0.0002,-0.0013,0.0009,-0.0002,0.0012
151,0.151,0.0001,-0.0019,0.0016,-0.0001,-0.0012,0.0033
152,0.152,-0.0004,0.0017,-0.0042,-0.0011,0.0028,0.0014
153,0.153,-0.0009,0.0013,0.0017,-0.003,0.0013,0.0018
154,0.154,-0.0021,-0.0016,-0.002,-0.0042,-0.0056,0.0007
155,0.155,0.0018,0.0003,-0.004,-0.0005,0.0039,0.0001
156,0.156,0.0013,0.0006,-0.0023,-0.0041,0.0002,-0.0023
157,0.157,0.0025,0.0003,0.0006,-0.0019,-0.003,0.0028
158,0.158,0.0029,-0.0004,-0.002,0.002,-0.0019,0.0008
159,0.159,-0.0014,-0.0021,-0.0008,0.0026,-0.0045,0.0039
160,0.16,0.0027,0.0007,0.0021,-0.0017,-0.0002,0.0011
161,0.161,0.0012,0.0017,0.0002,-0.0012,-0.0008,0.0026
162,0.162,0.0024,0.002,0.0026,0.0024,-0.0028,0.003
163,0.163,-0.0005,0.0034,-0.0011,-0.0018,-0.0011,-0.0017
164,0.164,-0.0002,-0.0005,0.0031,-0.0001,-0.0027,-0.0012
165,0.165,0.0022,-0.0022,0.0014,0.0034,-0.0011,-0.0064
166,0.166,0.0005,-0.0037,0.001,0.0004,0.0032,-0.0028
167,0.167,-0.0037,0.0006,-0.0033,0.0024,-0.0008,0.0003
168,0.168,-0.0032,-0.0023,0.002,0.0006,0.0018,-0.0014
169,0.169,-0.0015,-0.0028,-0,0.003,0.0021,0.0012
