Frame,Time,EMG Signal 1,EMG Signal 2,EMG Signal 3,EMG Signal 4,EMG Signal 5,EMG Signal 6
0,0,-0.0009,0.004,-0.0033,0.0072,0.0032,0.0167
1,0.001,0.0001,0.0022,0.0031,-0.0117,0.0039,0.0205
2,0.002,-0.0036,0.0032,0.0064,-0.0264,0.0083,0.023
3,0.003,0.0006,0.0047,0.0141,-0.0283,0.0089,0.0122
4,0.004,0.0001,0.0025,0.0067,-0.0215,0.0071,-0.004
5,0.005,-0.0004,0.0054,0.0003,-0.0071,0.0018,-0.0067
6,0.006,0,0.0011,-0.0124,0.0059,0.0024,-0.0145
7,0.007,-0.0011,-0.0041,-0.0142,0.0077,0.0007,-0.0119
8,0.008,-0.0015,-0.0034,-0.0157,0.0245,-0.0011,-0.0095
9,0.009,-0.0025,0.0009,-0.0171,0.0178,-0.0006,-0.0072
10,0.01,-0.0049,0.0049,-0.0101,0.0077,-0.0075,0.0022
11,0.011,-0.0018,-0.0009,-0.0013,-0.0015,-0.0211,0.0006
12,0.012,-0.0075,-0.0046,-0.0045,-0.0064,-0.0229,-0.0068
13,0.013,-0.0067,-0.0025,-0.0034,-0.0048,-0.0177,-0.0134
14,0.014,-0.003,-0.002,-0.0026,-0.0061,-0.0161,-0.0194
15,0.015,-0.005,-0.0037,-0.0034,-0.0071,-0.0065,-0.0022
16,0.016,-0.002,-0.0032,0.0065,-0.0015,-0.0077,-0.0092
17,0.017,-0.0096,-0.002,0.0051,-0.0025,0.0025,-0.0292
18,0.018,-0.0023,0.0027,-0.0037,-0.0016,0.0064,-0.0043
19,0.019,0.0022,-0.0016,0.0066,-0.0093,0.005,-0.001
20,0.02,0.0012,-0.0011,0.0105,-0.0122,0.0081,0.0019
21,0.021,0.0005,0.0004,0.0115,-0.0076,0.0049,-0.0061
22,0.022,0.004,0.0034,0.0037,-0.0034,0.0056,0.0013
23,0.023,0.0056,0.0014,0.0046,-0.0041,0.0113,-0.0097
24,0.024,0.005,0.0038,0.0018,-0.0061,0.0163,0.0006
25,0.025,0.0096,-0.0014,0.0043,-0.0055,0.0168,0.0099
26,0.026,0.0038,0.0007,-0.0027,-0.0107,0.0123,-0.0053
27,0.027,0.0044,-0.0028,-0.0018,-0.0156,0.0104,-0.0072
28,0.028,0.0037,-0.0023,-0.0044,-0.0098,0.0087,-0.0016
29,0.029,0.0031,-0.004,-0.0007,-0.0091,0.0035,-0.0033
30,0.03,0.0035,0.0017,-0.0042,-0.0042,0.0054,-0.0017
31,0.031,0.001,0.001,-0.0059,-0,0.0069,-0.003
32,0.032,0.007,0.0016,-0.003,-0.0018,0.0051,-0.0041
33,0.033,0.0044,-0.0001,0.0005,0.0007,0.0025,0.0037
34,0.034,-0.0009,0.0004,0.0065,-0.0036,0.0002,0.0007
35,0.035,0.0011,0.0038,0.0023,0.0051,-0.0019,0.0016
36,0.036,-0.0019,0.0007,0,0.0187,0.0005,0.011
37,0.037,-0.0047,-0.0005,0.0049,-0.0092,-0.0019,0.0122
38,0.038,-0.0022,-0.0009,0.0065,-0.0053,-0.007,0.0089
39,0.039,-0.0044,0.0001,0.0036,0.0054,-0.0163,-0.0005
40,0.04,-0.0023,-0.0023,0.0041,-0.0111,-0.0225,-0.0042
41,0.041,-0.0019,-0.0022,0.0044,-0.0198,-0.0147,-0.0097
42,0.042,0.0004,0.0016,-0.0021,-0.0061,-0.0052,-0.0087
43,0.043,0.0041,-0.0036,-0.0029,-0.0038,-0.0041,-0.0023
44,0.044,-0.0027,-0.0002,-0.0004,-0.0017,-0.0074,0.0019
45,0.045,0.0003,0.0015,0.0033,0.0003,-0.0188,-0.0033
46,0.046,-0.0042,-0.005,0.0013,0.0058,-0.0112,0.0045
47,0.047,0.0017,-0.0025,0.0018,0.0208,-0.0125,-0.0008
48,0.048,-0.0004,-0.0032,0.0012,0.0186,-0.0038,-0.0035
49,0.049,0.0003,0.0032,-0.0035,0.0055,-0.0006,-0.0026
50,0.05,-0.0039,-0.0063,-0.0005,-0.0131,-0.0017,-0.0005
51,0.051,0.0049,-0.0075,-0,-0.0008,0.001,-0.0025
52,0.052,-0.0013,-0.0043,-0.0026,0.0146,0.0034,-0.0056
53,0.053,-0.0044,0.0008,-0.0056,0.0124,0.0055,-0.0039
54,0.054,0.0009,-0.0037,-0.0008,0.0068,0.0075,0.0018
55,0.055,0.0017,0.004,0.0008,-0.0084,0.0091,0.001
56,0.056,0.0026,0.0049,0.0037,-0.0064,0.0095,0.0044
57,0.057,-0.001,0.004,-0.0021,-0.0119,0.0142,-0.0051
58,0.058,0.0026,0.0047,-0.0058,-0.0168,0.0099,0.0018
59,0.059,0.0022,0.0068,-0.0038,-0.0029,0.0093,0.0029
60,0.06,0.0063,0.0019,-0.008,0.0064,0.0128,-0.0004
61,0.061,0.0068,0.0023,0.0008,0.0148,0.0105,0.0005
62,0.062,0.0047,0.0039,-0.0004,0.0071,0.0084,0.0031
63,0.063,0.0067,0.0013,-0.0014,0.014,0.0102,0.0056
64,0.064,0.0071,0.0055,0.0017,0.0152,0.0084,0.0033
65,0.065,0.0075,0.0083,0.0008,0.0142,0.0067,0.0052
66,0.066,0.0126,0.0015,0.0017,0.0111,0.0029,0.0068
67,0.067,0.0133,0.0006,0.0039,0.0085,0.0086,0.0107
68,0.068,0.0063,-0.002,0.0103,0.018,0.0064,0.0183
69,0.069,0.0018,0.0002,0.0094,0.0143,0.0028,0.0012
70,0.07,-0.0041,-0.0018,0.0115,0.0111,0.0011,-0.0111
71,0.071,-0.0062,-0.0035,0.0051,0.0039,-0.0041,-0.0088
72,0.072,-0.011,0.0005,0.011,-0.0024,-0.002,-0.0068
73,0.073,-0.0052,-0.0052,0.004,0.0003,-0.0014,0.0136
74,0.074,-0.0044,-0.0015,-0.0006,0.0041,-0.0054,0.0163
75,0.075,0.0005,-0.0079,-0.0031,0.0023,-0.0018,0.0185
76,0.076,-0.0064,0.0015,0.0006,-0.0018,-0.0021,0.025
77,0.077,-0.0036,0.0003,-0.0029,-0.0033,0.0008,0.0025
78,0.078,0.0041,-0.0007,-0.0086,-0.0036,-0.0033,-0.0062
79,0.079,0.0011,0.0003,-0.0107,0.0027,-0.005,-0.0252
80,0.08,-0.0016,-0.0042,-0.0114,-0.0049,-0.0096,-0.0177
81,0.081,-0.0058,-0.0017,-0.0071,-0.0037,-0.0078,-0.011
82,0.082,-0.0109,0.002,-0.0054,0.0011,-0.0048,-0.013
83,0.083,-0.0157,0.004,-0.0058,0.0021,-0.0072,-0.0147
84,0.084,-0.0062,0.0057,-0.008,0.003,-0.0041,-0.0062
85,0.085,-0.0048,0.0074,-0.0015,0.0011,0.0007,-0.0046
86,0.086,-0.0036,0.0089,-0.0042,-0.0004,-0.0009,-0.0115
87,0.087,-0.0026,0.0085,-0.005,-0.003,-0.0013,-0.0026
88,0.088,-0.0056,0.0056,-0.0013,-0.0033,0.0003,0.003
89,0.089,-0.0064,-0.0002,0.0008,-0.0101,-0,0.006
90,0.09,-0.0005,-0.0027,-0.0034,-0.0088,-0.0011,0.0105
91,0.091,-0.0027,-0.0033,0.0018,-0.0059,0.0047,0.0063
92,0.092,-0.0034,0.0016,-0.0002,-0.0032,0.0005,0.0026
93,0.093,0.0023,-0.0026,-0.0019,-0.0082,0.0012,-0.0023
94,0.094,-0.0014,-0.002,0.0033,-0.0129,-0.0007,-0.0117
95,0.095,0.0006,-0.0015,0.004,-0.007,0.0024,-0.0129
96,0.096,-0.0011,0.0027,0.0122,-0.0031,0.0053,-0.0041
97,0.097,-0.0016,0.0011,0.0131,-0.0023,0.0018,-0.0008
98,0.098,-0.0011,0.0006,0.01,0.0009,0.0015,0.0128
99,0.099,0.0019,0.0036,0.0091,0.0026,-0.0004,0.0035
100,0.1,-0.0037,0.0016,0.0013,-0.005,0.0047,0.0187
101,0.101,0.0032,-0.0034,-0.0017,-0.0105,-0.0002,0.0125
102,0.102,0.0023,-0.0054,-0.0009,-0.0032,-0.0006,0.0032
103,0.103,0.0004,-0.0057,-0.0019,-0.0038,-0.0076,0.0118
104,0.104,-0.0074,-0.0039,0.0023,0.0008,-0.0151,0.0168
105,0.105,-0.0146,-0.0034,0.0075,0.005,-0.0202,0.0061
106,0.106,-0.0061,0.0002,-0.0031,0.0043,-0.0155,-0.0035
107,0.107,-0.0006,0.0033,0.0045,-0.0007,-0.0077,0.0028
108,0.108,0.0004,0.0013,-0.0025,-0.0012,-0.0003,0.006
109,0.109,-0.0042,0.0016,-0.0013,-0.0008,0.0042,0.0132
110,0.11,-0.0084,-0.0036,-0.0023,-0.0056,0.0051,-0.0008
111,0.111,-0.0062,-0.0013,-0.0053,-0.0139,0.0072,0.0052
112,0.112,-0.0055,-0.0033,-0.0008,-0.0194,0.0107,0.0034
113,0.113,0.0013,-0.0016,-0.0033,-0.0225,0.0137,0.005
114,0.114,0.0058,-0.0021,-0.0085,-0.0122,0.0177,-0.0025
115,0.115,0.0135,-0.0006,-0.002,-0.0109,0.0211,-0.0121
116,0.116,0.0186,0.0006,-0.0045,-0.0073,0.0213,-0.0183
117,0.117,0.0269,-0.0006,-0.0023,-0.0019,0.0148,-0.0172
118,0.118,0.0246,0.0031,0.0011,0,0.0007,-0.0116
119,0.119,0.0218,-0.0026,0.0066,0.004,-0.015,-0.009
120,0.12,0.0122,-0.0004,-0.0028,0.0001,-0.0216,-0.0053
121,0.121,0.0109,-0.0053,0.0009,-0.0022,-0.0114,-0.013
122,0.122,0.0031,-0.0023,-0.0001,-0.003,-0.0059,-0.0182
123,0.123,0.004,0.0018,0.0029,-0.0038,0.0025,-0.0079
124,0.124,0.0032,0.0002,-0.0017,-0.0046,0.0009,-0.0092
125,0.125,0.004,-0.0009,0.0025,-0.011,-0.0032,-0.0055
126,0.126,0.0046,0.0029,-0.0012,-0.0121,-0.0095,-0.0087
127,0.127,-0.0032,-0.0007,0.0008,-0.0087,-0.0063,-0.0035
128,0.128,-0.0042,-0.0003,-0.0009,-0.0012,-0.0054,-0.0044
129,0.129,-0.0068,-0,-0.0038,0.0014,-0.0194,-0.0053
130,0.13,-0.0127,-0.0036,-0.0023,-0.0035,-0.0214,-0.0017
131,0.131,-0.012,0.0025,-0.0012,0.0073,-0.0195,0.0047
132,0.132,-0.0126,-0.0018,-0,0.0054,-0.0178,0.0071
133,0.133,-0.0109,0.0019,0.001,0.0063,-0.0072,0.0064
134,0.134,-0.0021,-0.003,-0.0014,-0.0054,-0.0059,0.0056
135,0.135,-0.0009,0.0027,-0.0024,-0.0042,-0.0023,0.0073
136,0.136,-0.0019,-0.0026,0.0001,-0.0005,0.0009,0.0078
137,0.137,-0.0009,0.0038,0.0053,0.0028,0.0018,0.0073
