TaskID,Subject,Modality,TaskName,Muscle,MeanActivation
3,GUEA_ses1,Baseline,Rest,Bicep,3.11638331497256e-06
3,GUEA_ses1,Baseline,Rest,Tricep,1.55559523518072e-06
3,GUEA_ses1,Baseline,Rest,DeltAnt,1.10121139995164e-05
3,GUEA_ses1,Baseline,Rest,DeltPost,2.98460441330088e-06
4,GUEA_ses1,Baseline,Shoulder_Flexion,Bicep,4.62010817365802e-05
4,GUEA_ses1,Baseline,Shoulder_Flexion,Tricep,2.40448911143464e-05
4,GUEA_ses1,Baseline,Shoulder_Flexion,DeltAnt,0.00345081571689426
4,GUEA_ses1,Baseline,Shoulder_Flexion,DeltPost,4.38253668438081e-05
5,GUEA_ses1,Baseline,Elbow_Flexion,Bicep,8.0325827862842e-05
5,GUEA_ses1,Baseline,Elbow_Flexion,Tricep,1.30359975079704e-05
5,GUEA_ses1,Baseline,Elbow_Flexion,DeltAnt,0.000739409958697362
5,GUEA_ses1,Baseline,Elbow_Flexion,DeltPost,2.78575282383635e-06
6,GUEA_ses1,Baseline,Pointing_Task,Bicep,1.13713927287682e-05
6,GUEA_ses1,Baseline,Pointing_Task,Tricep,0.00018155251990723
6,GUEA_ses1,Baseline,Pointing_Task,DeltAnt,0.000103718101189702
6,GUEA_ses1,Baseline,Pointing_Task,DeltPost,0.000335009604031041
7,GUEA_ses1,Baseline,HFT_Large_Light_Objects,Bicep,3.08747275079546e-05
7,GUEA_ses1,Baseline,HFT_Large_Light_Objects,Tricep,4.18579283985485e-05
7,GUEA_ses1,Baseline,HFT_Large_Light_Objects,DeltAnt,0.00134193844762851
7,GUEA_ses1,Baseline,HFT_Large_Light_Objects,DeltPost,0.000112976125709387
8,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,Bicep,4.41081069396894e-06
8,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,Tricep,0.00016046025567127
8,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,2.06521238127083e-05
8,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,DeltPost,0.000834982925825389
10,GUEA_ses1,Baseline,HFT_Feeding_task,Bicep,0.000146089216251013
10,GUEA_ses1,Baseline,HFT_Feeding_task,Tricep,0.00034708328984042
10,GUEA_ses1,Baseline,HFT_Feeding_task,DeltAnt,0.00086296230819253
10,GUEA_ses1,Baseline,HFT_Feeding_task,DeltPost,0.000308841869865075
11,GUEA_ses1,Baseline,Box_and_Blocs_Test,Bicep,6.77793652212877e-05
11,GUEA_ses1,Baseline,Box_and_Blocs_Test,Tricep,0.000243598090412351
11,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,0.00037559593239385
11,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltPost,0.000818639885089173
