TaskID,Subject,Modality,TaskName,Agonist,Antagonist,CAI
4,GUEA_ses1,Baseline,Shoulder_Flexion,DeltAnt,DeltPost,80.5704994765437
5,GUEA_ses1,Baseline,Elbow_Flexion,Bicep,Tricep,61.3188317856224
6,GUEA_ses1,Baseline,Pointing_Task,Tricep,Bicep,20.9615063943544
6,GUEA_ses1,Baseline,Pointing_Task,DeltAnt,DeltPost,8.5002077402268
7,GUEA_ses1,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,26.1962509769702
7,GUEA_ses1,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,19.261770886699
8,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,46.4167715296611
8,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,30.3879058926785
10,GUEA_ses1,Baseline,HFT_Feeding_task,Bicep,Tricep,54.2871990698817
10,GUEA_ses1,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,29.1107124963737
11,GUEA_ses1,Baseline,Box_and_Blocs_Test,Tricep,Bicep,42.7650897283081
11,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,25.7787672494145
9,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,49.8809599227387
9,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,16.7599366718415
14,GUEA_ses1,Device,Shoulder_Flexion,DeltAnt,DeltPost,85.5650797569728
15,GUEA_ses1,Device,Elbow_Flexion,Bicep,Tricep,27.4252206604847
17,GUEA_ses1,Baseline,Pointing_Task,Tricep,Bicep,10.6235413320759
17,GUEA_ses1,Baseline,Pointing_Task,DeltAnt,DeltPost,49.839530035752
18,GUEA_ses1,Baseline,HFT_Large_Light_Objects,Bicep,Tricep,39.6219135965036
18,GUEA_ses1,Baseline,HFT_Large_Light_Objects,DeltAnt,DeltPost,46.5411373851221
19,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,Bicep,Tricep,22.1046949710475
19,GUEA_ses1,Baseline,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,66.2427879153079
20,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,66.7446411812052
20,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,28.432649806785
21,GUEA_ses1,Baseline,HFT_Feeding_task,Bicep,Tricep,39.7069598321218
21,GUEA_ses1,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,38.008687791836
22,GUEA_ses1,Baseline,Box_and_Blocs_Test,Tricep,Bicep,35.5965736781502
22,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,37.0756626344211
25,GUEA_ses1,Device,Shoulder_Flexion,DeltAnt,DeltPost,87.7439795458758
26,GUEA_ses1,Device,Elbow_Flexion,Bicep,Tricep,61.7527590690358
27,GUEA_ses1,Device,Pointing_Task,Tricep,Bicep,26.9390289565158
27,GUEA_ses1,Device,Pointing_Task,DeltAnt,DeltPost,56.9107304161459
28,GUEA_ses1,Device,HFT_Large_Light_Objects,Bicep,Tricep,44.5087679518916
28,GUEA_ses1,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,70.327680637705
29,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,26.4160713183137
29,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,32.011534163169
31,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,Bicep,Tricep,16.8340788143106
31,GUEA_ses1,Baseline,JAMAR_Palmar_Grip,DeltAnt,DeltPost,0.648517199633906
32,GUEA_ses1,Baseline,HFT_Feeding_task,Bicep,Tricep,39.7809878255983
32,GUEA_ses1,Baseline,HFT_Feeding_task,DeltAnt,DeltPost,23.5359468056462
33,GUEA_ses1,Baseline,Box_and_Blocs_Test,Tricep,Bicep,30.9844278273256
33,GUEA_ses1,Baseline,Box_and_Blocs_Test,DeltAnt,DeltPost,13.0751317254992
36,GUEA_ses1,Device,Shoulder_Flexion,DeltAnt,DeltPost,83.8107019421819
37,GUEA_ses1,Device,Elbow_Flexion,Bicep,Tricep,0.751438527097619
38,GUEA_ses1,Device,Pointing_Task,Tricep,Bicep,7.9031167143112
38,GUEA_ses1,Device,Pointing_Task,DeltAnt,DeltPost,38.821684037203
39,GUEA_ses1,Device,HFT_Large_Light_Objects,Bicep,Tricep,8.99450157695519
39,GUEA_ses1,Device,HFT_Large_Light_Objects,DeltAnt,DeltPost,62.2304126333259
40,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,Bicep,Tricep,0
40,GUEA_ses1,Device,Switch_Joystick_and_Grid_Game,DeltAnt,DeltPost,57.6149207744454
